"","comuna","1990","1992","1994","1996","1998","2000","2003","2006","2009","2011","2013","2015"
"1","Algarrobo",NA,0.275,0.471,NA,0.427,NA,0.418,0.469,0.433,0.442,0.708,0.453
"2","Alhué",0.462,0.423,0.494,NA,0.421,0.488,0.439,0.418,0.454,0.321,0.363,0.287
"3","Alto Bíobío",NA,NA,NA,NA,NA,NA,NA,0.476,0.541,0.507,0.455,0.509
"4","Alto del Carmen",NA,0.371,0.422,0.391,0.411,0.441,0.469,0.465,0.346,0.413,0.288,0.342
"5","Alto Hospicio",NA,NA,NA,NA,NA,NA,0.416,0.458,0.379,0.399,0.367,0.364
"6","Ancud",NA,NA,NA,0.436,0.485,0.478,0.464,0.437,0.426,0.441,0.394,0.417
"7","Andacollo",0.361,0.396,0.388,0.33,0.42,0.427,0.421,0.397,0.426,0.365,0.371,0.266
"8","Angol",0.574,0.415,0.481,0.627,0.486,0.504,0.458,0.503,0.48,0.472,0.363,0.422
"9","Antofagasta",0.515,0.448,0.507,0.49,0.507,0.523,0.414,0.451,0.37,0.468,0.445,0.444
"10","Antuco",NA,0.417,0.481,NA,NA,0.45,0.415,0.412,0.571,0.481,0.356,0.44
"11","Arauco",NA,0.571,0.453,0.475,0.494,0.571,0.479,0.364,0.607,0.348,0.433,0.394
"12","Arica",0.487,0.55,0.552,0.539,0.489,0.559,0.497,0.522,0.445,0.465,0.423,0.423
"13","Aysén",0.474,0.567,0.448,0.504,0.427,0.554,0.434,0.452,0.464,0.478,0.406,0.404
"14","Buin",0.522,0.474,0.403,NA,0.455,0.493,0.514,0.414,0.381,0.446,0.445,0.475
"15","Bulnes",0.556,0.676,0.489,NA,NA,0.627,0.459,0.446,0.401,0.37,0.402,0.407
"16","Cabildo",NA,0.514,0.458,0.424,0.461,0.557,0.411,0.469,0.357,0.401,0.33,0.3
"17","Cabrero",NA,0.396,0.372,NA,NA,0.491,0.442,0.422,0.434,0.482,0.328,0.318
"18","Calama",0.551,0.491,0.512,0.483,0.494,0.479,0.481,0.559,0.446,0.45,0.475,0.417
"19","Calbuco",NA,NA,NA,NA,NA,0.457,0.397,0.493,0.403,0.434,0.36,0.418
"20","Caldera",NA,0.424,0.517,0.635,0.464,0.477,0.487,0.464,0.42,0.463,0.405,0.351
"21","Calera",0.604,0.419,0.461,0.481,0.493,0.475,0.405,0.459,0.377,0.389,0.34,0.417
"22","Calera de Tango",0.4,0.443,0.502,0.599,0.484,0.563,0.646,0.542,0.466,0.593,0.355,0.424
"23","Calle Larga",NA,0.434,0.389,0.43,0.533,0.518,0.412,0.376,0.416,0.443,0.326,0.406
"24","Camarones",NA,NA,NA,NA,0.542,0.536,0.444,0.426,0.487,0.442,0.473,0.419
"25","Camiña",NA,NA,NA,NA,0.483,0.595,0.529,0.464,0.383,0.458,0.382,0.374
"26","Canela",NA,NA,0.403,NA,0.463,0.435,0.392,0.429,0.384,0.47,0.374,0.472
"27","Cañete",NA,0.541,0.475,0.488,0.594,0.555,0.713,0.433,0.362,0.428,0.41,0.423
"28","Carahue",NA,NA,NA,0.437,0.551,0.456,0.487,0.456,0.465,0.447,0.514,0.414
"29","Cartagena",0.439,0.5,0.444,0.434,0.441,0.517,0.492,0.531,0.389,0.457,0.304,0.325
"30","Casablanca",0.392,0.645,0.459,0.25,0.457,0.41,0.406,0.467,0.452,0.454,0.406,0.315
"31","Castro",0.505,0.476,0.524,NA,NA,0.409,0.505,0.48,0.396,0.523,0.374,0.46
"32","Catemu",NA,0.475,0.409,NA,0.402,0.466,0.414,0.431,0.35,0.362,0.317,0.398
"33","Cauquenes",0.491,0.588,0.556,0.509,0.527,0.52,0.418,0.449,0.52,0.42,0.371,0.357
"34","Cerrillos",NA,0.424,0.431,0.438,0.422,0.409,0.431,0.504,0.391,0.405,0.358,0.392
"35","Cerro Navia",0.46,0.352,0.41,0.386,0.404,0.379,0.425,0.36,0.36,0.312,0.33,0.321
"36","Chañaral",0.525,0.447,0.404,0.469,0.42,0.485,0.43,0.451,0.482,0.436,0.391,0.427
"37","Chanco",NA,NA,0.505,NA,NA,0.516,0.397,0.422,0.415,0.349,0.382,0.267
"38","Chépica",NA,NA,NA,0.44,0.41,0.483,0.416,0.454,0.421,0.496,0.297,0.392
"39","Chiguayante",NA,NA,NA,NA,0.576,0.47,0.573,0.573,0.433,0.524,0.428,0.397
"40","Chile Chico",NA,NA,0.561,NA,NA,NA,NA,0.501,0.534,0.47,0.372,0.441
"41","Chillán",0.58,0.535,0.49,0.526,0.501,0.52,0.506,0.465,0.392,0.418,0.417,0.463
"42","Chillán Viejo",NA,NA,NA,NA,0.46,0.434,0.49,0.466,0.492,0.381,0.425,0.396
"43","Chimbarongo",0.424,0.483,0.477,0.511,0.429,0.641,0.449,0.474,0.338,0.401,0.33,0.399
"44","Cholchol",NA,NA,NA,NA,NA,NA,NA,0.376,0.468,0.524,0.361,0.42
"45","Chonchi",0.423,0.465,0.357,NA,NA,0.485,0.428,0.432,0.478,0.457,0.435,0.432
"46","Cisnes",NA,NA,NA,0.537,0.494,0.476,0.496,0.466,0.471,0.45,0.432,0.413
"47","Cobquecura",NA,0.559,0.533,NA,NA,0.591,0.487,0.426,0.458,0.352,0.468,0.409
"48","Cochrane",NA,NA,NA,0.533,0.458,0.434,0.43,0.419,0.444,0.502,0.505,0.453
"49","Codegua",NA,NA,0.354,NA,NA,0.423,NA,0.38,0.329,0.418,0.296,0.352
"50","Coelemu",NA,0.436,0.434,NA,NA,0.47,0.448,0.491,0.383,0.712,0.374,0.425
"51","Coihueco",0.661,0.476,0.495,0.43,0.718,0.52,0.472,0.479,0.429,0.486,0.5,0.331
"52","Coinco",NA,NA,NA,NA,NA,NA,NA,0.487,0.359,0.424,0.413,0.324
"53","Colbún",NA,NA,0.414,0.436,0.359,0.573,0.448,0.462,0.395,0.384,0.374,0.388
"54","Colina",0.412,0.421,0.413,0.41,0.564,0.497,0.602,0.541,0.365,0.391,0.282,0.359
"55","Collipulli",0.539,0.539,0.451,0.547,0.491,0.493,0.425,0.51,0.498,0.529,0.475,0.436
"56","Coltauco",NA,NA,NA,0.384,0.336,0.385,0.246,0.445,0.544,0.434,0.291,0.377
