"","region","1990","1992","1994","1996","1998","2000","2003","2006","2009","2011","2013","2015"
"1","Antofagasta",0.519,0.47,0.512,0.493,0.493,0.496,0.463,0.514,0.437,0.461,0.451,0.435
"2","Araucanía",0.59,0.482,0.577,0.522,0.553,0.545,0.511,0.5,0.479,0.493,0.448,0.443
"3","Arica y Parinacota",0.487,0.55,0.552,0.542,0.501,0.581,0.502,0.487,0.457,0.465,0.425,0.428
"4","Atacama",0.555,0.513,0.487,0.522,0.468,0.482,0.475,0.462,0.437,0.46,0.421,0.425
"5","Aysén",0.512,0.517,0.508,0.503,0.527,0.526,0.496,0.456,0.512,0.511,0.461,0.438
"6","Bíobío",0.558,0.515,0.5,0.509,0.556,0.498,0.507,0.484,0.454,0.498,0.429,0.429
"7","Coquimbo",0.535,0.488,0.499,0.51,0.505,0.5,0.501,0.473,0.429,0.447,0.417,0.427
"8","Los Lagos",0.615,0.55,0.57,0.509,0.505,0.502,0.486,0.483,0.464,0.5,0.447,0.424
"9","Los Ríos",0.536,0.495,0.522,0.533,0.559,0.527,0.502,0.505,0.458,0.484,0.442,0.425
"10","Magallanes",0.536,0.556,0.473,0.47,0.601,0.504,0.592,0.502,0.553,0.479,0.42,0.454
"11","Maule",0.599,0.556,0.503,0.497,0.507,0.538,0.479,0.465,0.449,0.444,0.414,0.401
"12","Metropolitana",0.557,0.597,0.607,0.546,0.579,0.548,0.587,0.541,0.493,0.551,0.504,0.519
"13","O'Higgins",0.515,0.528,0.522,0.492,0.49,0.48,0.448,0.442,0.401,0.418,0.397,0.409
"14","Tarapacá",0.567,0.521,0.527,0.532,0.511,0.548,0.477,0.498,0.444,0.441,0.437,0.444
"15","Valparaíso",0.54,0.532,0.47,0.516,0.486,0.495,0.459,0.472,0.438,0.486,0.456,0.428
