"","provincia","1990","1992","1994","1996","1998","2000","2003","2006","2009","2011","2013","2015"
"1","Antofagasta",25319,32329,41608,65459,66092,72609,80986,120853,139704,195390,199975,206000
"2","Arauco",13365,21746,22695,34200,34348,40074,44911,53052,81115,82728,101813,116309
"3","Arica",22534,31087,42840,49193,54070,58655,62720,102752,133037,132875,127944,159083
"4","Aysén",21906,30730,35159,54422,68639,70413,82167,110894,124646,146210,157626,173611
"5","Bíobío",16425,19066,25113,36896,35483,42841,46264,61180,81363,94646,102826,127655
"6","Cachapoal",20597,32802,37545,42353,51093,55833,68000,80668,109342,132412,134000,165000
"7","Capitán Prat",NA,NA,NA,50228,81390,52440,81667,152410,111881,217929,161813,212083
"8","Cardenal Caro",10864,18973,27117,32125,42367,47108,61064,64640,94007,126904,125950,129610
"9","Cauquenes",13877,15821,19410,33043,37716,43696,52145,57163,81505,98460,121042,129802
"10","Cautín",15730,25098,32389,33203,37347,40123,42404,59142,75469,97406,110000,124124
"11","Chacabuco",17723,26288,31818,46250,54155,56362,64220,83939,110080,131280,145980,166362
"12","Chañaral",32159,32277,40698,49778,50817,69719,78728,112948,124191,160076,160317,184769
"13","Chiloé",18870,28835,46950,43495,45140,59897,63899,90334,112834,115212,119634,141500
"14","Choapa",13200,19610,23638,29244,40960,45174,45448,69628,93809,108000,110000,145000
"15","Colchagua",15158,24553,25949,38763,44589,51406,54616,67309,92829,111079,120313,148036
"16","Concepción",17384,23780,29050,42290,50200,52123,57723,75774,98927,113920,129569,144966
"17","Copiapó",22930,33223,38599,48444,55114,57535,60723,104352,125306,166968,177667,197395
"18","Cordillera",20140,31746,47152,62626,65847,70000,90743,96203,125814,137596,140063,187906
"19","Coyhaique",19980,29988,36842,53555,75177,81716,82807,121686,128415,164815,165333,212134
"20","Curicó",19600,29984,26478,36132,46920,54238,55035,73874,95350,114271,121587,143271
"21","El Loa",23587,33944,41996,46571,66271,62143,84480,113142,142945,196444,173333,238750
"22","Elqui",18013,25122,33181,45417,50388,51667,60000,76494,111911,134710,149180,160000
"23","General Carrera",NA,NA,24042,57854,47015,56120,67100,109712,145080,154496,156667,178310
"24","Huasco",17146,25238,28173,34449,48242,48328,63611,102995,107500,120000,137962,147500
"25","Iquique",29165,43562,50604,69032,73812,75000,77400,93046,125417,157691,160000,172441
"26","Limarí",13721,25205,28307,33199,37597,41728,50393,60600,90718,98183,109963,124664
"27","Linares",15376,22618,23467,33226,39857,45142,49173,62115,84030,104490,112286,136799
"28","Llanquihue",19086,26352,34510,44904,58329,51420,61750,86074,110283,115000,120514,144244
"29","Los Andes",17160,32535,38152,43000,52646,60428,60000,84083,140748,174110,130510,172001
"30","Magallanes",29582,44171,66894,76523,83141,100800,111708,142601,168568,192416,193092,240000
"31","Maipo",18404,27762,39155,47738,58600,59584,70319,93517,118334,123133,130000,161384
"32","Malleco",14100,20164,26525,30645,31740,36110,46282,56404,74028,94617,108062,119155
"33","Marga Marga",26464,37488,45410,57731,65940,70446,72500,88375,123121,128375,140856,175000
"34","Melipilla",15400,24250,30480,48992,45959,55492,59280,77696,113004,119066,127353,164580
"35","Ñuble",14434,19062,22087,31786,41126,41288,44669,56826,80655,102850,105059,125855
"36","Osorno",14155,27651,34808,32582,46920,44040,46798,75763,103693,107768,116744,136964
"37","Parinacota",NA,NA,NA,34000,55097,28450,49111,76709,88050,107120,105323,121325
"38","Petorca",12813,24878,32130,35961,44779,48055,61800,81228,110762,107314,125000,138721
"39","Quillota",17662,26299,35576,45968,54932,58432,64068,87000,102971,114000,122988,149271
"40","Ranco",20737,56700,32921,31533,30818,41131,41614,61666,80135,105754,109758,132684
"41","San Antonio",15097,32303,37422,51312,60169,60000,63893,84919,112800,118859,127500,164869
"42","San Felipe",19328,26825,34304,42927,49308,52611,60345,76754,106022,120000,126926,147421
"43","Santiago",23904,41095,54219,70167,79983,79028,94000,116942,135136,171020,173333,219321
"44","Talagante",16532,28050,34272,43650,50902,64633,65867,87864,108585,137592,149584,165536
"45","Talca",17067,26787,26469,37936,45014,44600,54260,68709,85416,115176,125000,150960
"46","Tamarugal",25414,33184,20242,26250,44948,40913,48750,71468,97498,138778,125000,160000
"47","Tierra del Fuego",25231,29134,60226,64871,77805,101461,125578,141040,201618,157628,227000,263438
"48","Tocopilla",18551,28338,36312,51500,62750,75871,94960,112193,130158,163447,164806,168333
"49","Última Esperanza",16314,27938,44323,51684,61287,76610,72531,102333,134026,156185,163000,180429
"50","Valdivia",16934,27615,27964,39737,45750,50030,46501,68828,88010,117353,114014,130590
"51","Valparaíso",19878,35805,40162,52412,63751,70137,79670,91531,124215,137357,155140,179115
