"","reply_ratio_2015","available_2013","available_2011","available_2009","available_2006","available_2003","available_2000","available_1998","available_1996","available_1994","available_1992","available_1990"
"folio",1,1,1,1,0,0,1,0,0,0,0,0
"o",1,1,1,1,1,1,1,1,1,1,1,1
"id_vivienda",1,0,0,0,0,0,0,0,0,0,0,0
"comuna",1,1,1,1,1,0,0,0,0,0,0,0
"zona",1,1,1,1,0,0,0,0,0,0,0,0
"hogar",1,0,1,1,0,1,0,0,0,0,0,0
"tot_hog",1,0,0,0,0,0,0,0,0,0,0,0
"tot_par",0.7263,0,0,0,0,0,0,0,0,0,0,0
"tot_nuc",1,0,0,0,0,0,0,0,0,0,0,0
"tot_per",1,0,0,0,0,0,0,0,0,0,0,0
"pres",0.8389,0,0,0,0,0,0,0,0,0,0,0
"marca",0.578,0,0,0,0,0,0,0,0,0,0,0
"pco1",1,1,1,1,1,1,1,1,1,1,1,1
"sexo",1,1,1,1,1,1,1,1,1,1,1,1
"edad",0.9877,1,1,1,1,1,1,1,1,1,1,1
"ecivil",1,1,1,1,1,1,1,1,1,1,1,1
"h5l",0.2809,1,0,0,0,0,0,0,0,0,0,0
"h5h",0.124,1,0,0,0,0,0,0,0,0,0,0
"pareja",1,1,1,0,0,0,0,0,0,0,0,0
"nucleo",1,1,1,1,1,1,1,1,1,1,1,1
"pco2",1,1,1,1,1,1,1,1,1,1,1,1
"e1",0.7968,1,1,1,1,1,1,1,1,1,1,1
"e2a",0.7968,1,1,0,0,0,0,0,0,0,0,0
"e2b",0.0046,1,1,0,0,0,0,0,0,0,0,0
"e2c",0.0046,1,1,0,0,0,0,0,0,0,0,0
"e3",0.9954,1,1,1,0,1,1,1,1,1,1,1
"e4",0.0403,1,1,1,1,1,1,1,1,1,1,1
"e4_esp",0.0001,0,0,0,0,0,0,0,0,0,0,0
"e5a",0.1347,0,0,0,0,0,0,0,0,0,0,0
"e5a_esp",0.0009,0,0,0,0,0,0,0,0,0,0,0
"e5b",0.1347,0,0,0,0,0,0,0,0,0,0,0
"e6a",1,1,1,0,0,0,0,0,0,0,0,0
"e6b",0.8884,1,1,0,0,0,0,0,0,0,0,0
