"","attributes(casen_2015)$variable.labels"
"folio","Identificación Hogar (comuna area seg viv hogar)"
"o","Orden personas"
"id_vivienda","Identificación Vivienda (Región com area seg viv)"
"region","Región"
"provincia","Provincia"
"comuna","Comuna"
"zona","Zona"
"hogar","Identificación del hogar en la vivenda"
"tot_hog","Total hogares en la vivienda"
"tot_par","Total de parejas"
"tot_nuc","Total de núcleos"
"tot_per","Total de personas (incluye SDPA)"
"pres","Presencia en la entrevista"
"marca","Marca Jefe de núcleo y su Esposo(a) o pareja"
"pco1","Parentesco con Jefe de Hogar"
"sexo","Sexo"
"edad","Edad"
"ecivil","Estado civil"
"h5l","h5l. Número de orden pareja legal"
"h5h","h5h. Número de orden pareja de hecho"
"pareja","Tipo de pareja"
"nucleo","Núcleo"
"pco2","Parentesco con Jefe de núcleo"
"e1","e1. ¿Sabe leer y escribir?"
"e2a","e2a. Actualmente, ¿se encuentra participando en algún programa de nivelación de estudios dirigido a personas que no completaron la enseñanza básica o media?"
"e2b","e2b. ¿Asiste a Nivelación de Estudios Básicos o Medios?"
"e2c","e2c. ¿Asiste bajo modalidad regular o flexible?"
"e3","e3. Actualmente ¿asiste a algún establecimiento educacional, jardín infantil, sala cuna u otro programa preescolar no convencional?"
"e4","e4. ¿Cuál es la principal razón por la cual no asiste actualmente a un jardín infantil, sala cuna, programa preescolar no convencional o algún establecimiento educacional?"
"e4_esp","e4esp. ¿Cuál es la principal razón por la cual no asiste actualmente a un jardín infantil, sala cuna, programa preescolar no convencional o algún establecimiento educacional? Especifique"
"e5a","e5a. ¿Cuál es la principal razón por la cual no asiste actualmente a algún establecimiento educacional?"
"e5a_esp","e5esp. ¿Cuál es la principal razón por la cual no asiste actualmente a algún establecimiento educacional? Especifique"
"e5b","e5b. ¿Cuándo fue la última vez que asistió a algún establecimiento educacional?"
"e6a","e6a. ¿Cuál es el nivel más alto alcanzado o el nivel educacional actual?"
"e6b","e6b. En ese nivel educacional, ¿cuál fue el último curso que aprobó (para los que no están estudiando) o que cursa actualmente (para los que están estudiando)?"
"e6c_cod","e6c_cod. ¿Cuál es el nombre de la carrera o programa de estudios? (cod)"
"e6c","e6c. ¿Cuál es el nombre de la carrera o programa de estudios?"
"e6d","e6d. ¿En qué tipo de institución realizó su educación superior?"
"e7nom","e7nom. Indique el establecimiento educacional, sala cuna o jardín infantil al cual asiste actualmente (Año 2015): Nombre"
"e7dir","e7dir. Indique el establecimiento educacional, sala cuna o jardín infantil al cual asiste actualmente (Año 2015): Dirección"
"e7com","e7com. Comuna del establecimiento"
"e7rbd","re7bd. Rol base de datos Mineduc"
"e7dv","e7dv. Dígito Verificador (Rol base de datos Mineduc)"
"e7depen","e7depen. Dependencia del establecimiento (Mineduc)"
"e7te","e7te. Tipo de enseñanza"
"e7rbd_sup","e7rbd_sup. rol base de datos mineduc superior"
"e7sup_gratuidad","e7sup_gratuidad. Gratuidad"
"e7com_cod","e7com_cod. Códigos de Comuna del establecimiento"
"e8","e8. ¿Cuál es la dependencia administrativa del establecimiento?"
"e9","e9. ¿A qué jornada asiste regularmente?"
"e10a","e10a. En el año escolar 2015, ¿recibe alimentación gratuita...?: Desayuno"
"e10b","e10b. En el año escolar 2015, ¿recibe alimentación gratuita...?: Almuerzo"
"e10c","e10c. En el año escolar 2015, ¿recibe alimentación gratuita..?: Once"
"e10d","e10d. En el año escolar 2015, ¿recibe alimentación gratuita...?: Colación"
"e10e","e10e. En el año escolar 2015, ¿ha recibido tarjeta JUNAEB para alimentación?"
"e11a","e11a. En el año escolar 2015, ¿ha recibido o recibió alguna beca?"
"e11bt1","e11bt1. ¿Ha recibido o recibió algunas de estas becas? Beca 1"
"e11bt1_esp","e11b1_esp. Otra beca. Especifique. Beca 1"
"e11bt2","e11bt2. ¿Ha recibido o recibió algunas de estas becas? Beca 2"
"e11bt2_esp","e11bt2_esp. Otra beca. Especifique. Beca 2"
"e12pbu","e12pbu. Útiles escolares (Ed. parvularia)"
"e12pbt","e12pbt. Textos escolares (Ed. parvularia)"
"e12pbd","e12pbd. Atención dental escolar (Ed. parvularia)"
"e12pbm","e12pbm. Atención médica escolar (Ed. parvularia)"
"e12bu","e12bu. Útiles escolares (Ed. básica)"
"e12bt","e12bt. Textos escolares (Ed. básica)"
"e12bd","e12bd. Atención dental escolar (Ed. básica)"
"e12bm","e12bm. Atención médica escolar (Ed. básica)"
"e12bpc","e12bpc. PC 7° Básico"
"e12mu","e12mu. Útiles escolares (Ed. media)"
"e12mt","e12mt. Textos escolares (Ed. media)"
"e12md","e12md. Atención dental escolar (Ed. media)"
"e12mm","e12mm. Atención médica escolar (Ed. media)"
"e13a","e13a. En el año escolar 2015, ¿paga colegiatura o financiamiento compartido?"
"e13b","e13b. ¿Cuánto paga mensualmente?"
"e14","e14. En el año escolar 2015, ¿cuánto cuesta mensualmente la carrera que estudia?"
"e15a","e15a. En el año escolar 2015, ¿cuánto paga mensualmente por la carrera que estudia?"
"e15b","e15b. ¿Quién responde la pregunta e15.a? (Registre número de orden de la persona)"
"e16t1","e16t1. En el año escolar 2015, ¿recibe alguno de los siguientes créditos universitarios...? Tipo 1"
"e16t2","e16t2. En el año escolar 2015, ¿recibe alguno de los siguientes créditos universitarios...? Tipo 2"
"e0","e0. ¿Quién (o quienes) responde(n) el módulo Educación?"
"o1","o1. La semana pasada, ¿trabajó al menos una hora, sin considerar los quehaceres del hogar?"
"o2","o2. Aunque no trabajó la semana pasada, ¿realizó alguna actividad por lo menos durante una hora …"
"o3","o3. Aunque no trabajó la semana pasada, ¿tenía algún empleo, negocio u otra actividad...?"
"o4","o4. ¿Ha trabajado alguna vez?"
"o5","o5. Si le ofrecieran un trabajo, ¿estaría disponible para comenzar a trabajar?"
"o6","o6. ¿Buscó trabajo remunerado o realizó alguna gestión para iniciar una actividad por cuenta propia (negocio o empresa) en las últimas cuatro semanas?"
