"","provincia_pacha_id","provincia_name"
"1","p151","Arica"
"2","p152","Parinacota"
"3","p11","Iquique"
"4","p12","Tamarugal"
"5","p21","Antofagasta"
"6","p22","El Loa"
"7","p23","Tocopilla"
"8","p31","Copiapó"
"9","p32","Chañaral"
"10","p33","Huasco"
"11","p41","Elqui"
"12","p42","Choapa"
"13","p43","Limarí"
"14","p51","Valparaíso"
"15","p52","Isla de Pascua"
"16","p53","Los Andes"
"17","p54","Petorca"
"18","p55","Quillota"
"19","p56","San Antonio"
"20","p57","San Felipe"
"21","p58","Marga Marga"
"22","p61","Cachapoal"
"23","p62","Cardenal Caro"
"24","p63","Colchagua"
"25","p71","Talca"
"26","p72","Cauquenes"
"27","p73","Curicó"
"28","p74","Linares"
"29","p81","Concepción"
"30","p82","Arauco"
"31","p83","Bíobío"
"32","p84","Ñuble"
"33","p91","Cautín"
"34","p92","Malleco"
"35","p141","Valdivia"
"36","p142","Ranco"
"37","p101","Llanquihue"
"38","p102","Chiloé"
"39","p103","Osorno"
"40","p104","Palena"
"41","p111","Coyhaique"
"42","p112","Aysén"
"43","p113","Capitán Prat"
"44","p114","General Carrera"
"45","p121","Magallanes"
"46","p122","Antártica"
"47","p123","Tierra del Fuego"
"48","p124","Última Esperanza"
"49","p131","Santiago"
"50","p152","Cordillera"
"51","p133","Chacabuco"
"52","p134","Maipo"
"53","p135","Melipilla"
"54","p136","Talagante"
