"","comuna","1990","1992","1994","1996","1998","2000","2003","2006","2009","2011","2013","2015"
"1","Alhué",0.462,0.423,0.494,NA,0.422,0.488,0.441,0.414,0.447,0.323,0.365,0.287
"2","Andacollo",0.361,0.396,0.389,0.33,0.404,0.406,0.409,0.393,0.421,0.368,0.342,0.266
"3","Angol",0.574,0.415,0.481,0.616,0.496,0.5,0.466,0.529,0.493,0.48,0.334,0.422
"4","Antofagasta",0.515,0.447,0.504,0.498,0.518,0.553,0.43,0.456,0.385,0.47,0.454,0.428
"5","Arica",0.482,0.527,0.545,0.488,0.455,0.584,0.496,0.524,0.433,0.468,0.423,0.424
"6","Aysén",0.478,0.571,0.469,0.503,0.45,0.576,0.435,0.43,0.445,0.5,0.396,0.402
"7","Buin",0.525,0.468,0.405,NA,0.463,0.498,0.524,0.415,0.372,0.458,0.51,0.475
"8","Bulnes",0.556,0.644,0.488,NA,NA,0.638,0.442,0.452,0.401,0.378,0.376,0.407
"9","Calama",0.547,0.456,0.512,0.422,0.525,0.427,0.482,0.441,0.415,0.446,0.463,0.418
"10","Calera",0.604,0.419,0.454,0.479,0.502,0.459,0.406,0.471,0.387,0.404,0.351,0.409
"11","Calera de Tango",0.414,0.45,0.499,0.591,0.475,0.557,0.668,0.531,0.455,0.64,0.272,0.424
"12","Cartagena",0.439,0.464,0.442,0.416,0.426,0.486,0.484,0.536,0.405,0.464,0.305,0.325
"13","Casablanca",0.392,0.62,0.454,0.25,0.457,0.416,0.409,0.468,0.396,0.453,0.381,0.315
"14","Castro",0.505,0.476,0.524,NA,NA,0.389,0.494,0.485,0.395,0.507,0.337,0.456
"15","Cauquenes",0.491,0.588,0.553,0.522,0.511,0.525,0.418,0.441,0.511,0.43,0.353,0.352
"16","Cerro Navia",0.46,0.352,0.41,0.389,0.408,0.372,0.433,0.36,0.362,0.322,0.335,0.324
"17","Chañaral",0.525,0.449,0.385,0.478,0.404,0.48,0.435,0.445,0.453,0.444,0.372,0.423
"18","Chillán",0.579,0.54,0.488,0.512,0.486,0.466,0.508,0.465,0.39,0.401,0.408,0.453
