"","provincia","1990","1992","1994","1996","1998","2000","2003","2006","2009","2011","2013","2015"
"1","Antofagasta",0.51,0.447,0.508,0.499,0.518,0.554,0.436,0.459,0.389,0.468,0.453,0.428
"2","Arauco",0.425,0.524,0.467,0.492,0.559,0.512,0.523,0.416,0.457,0.403,0.428,0.414
"3","Arica",0.482,0.527,0.545,0.488,0.455,0.584,0.496,0.524,0.433,0.468,0.423,0.424
"4","Aysén",0.478,0.571,0.469,0.506,0.468,0.53,0.459,0.436,0.453,0.497,0.407,0.403
"5","Bíobío",0.647,0.523,0.509,0.635,0.612,0.739,0.482,0.497,0.498,0.443,0.397,0.435
"6","Cachapoal",0.515,0.521,0.514,0.514,0.522,0.486,0.448,0.465,0.443,0.401,0.417,0.412
"7","Cardenal Caro",0.617,0.525,0.367,0.418,0.416,0.464,0.482,0.461,0.395,0.419,0.315,0.378
"8","Cauquenes",0.677,0.575,0.547,0.522,0.51,0.526,0.431,0.438,0.487,0.418,0.35,0.352
"9","Cautín",0.595,0.481,0.594,0.537,0.612,0.613,0.586,0.517,0.531,0.532,0.464,0.444
"10","Chacabuco",0.424,0.411,0.442,0.429,0.537,0.477,0.526,0.501,0.46,0.406,0.287,0.359
"11","Chañaral",0.52,0.536,0.414,0.484,0.498,0.481,0.486,0.466,0.461,0.487,0.437,0.423
"12","Chiloé",0.489,0.505,0.502,0.413,0.452,0.433,0.471,0.453,0.424,0.492,0.376,0.446
"13","Choapa",0.419,0.542,0.573,0.518,0.477,0.488,0.451,0.476,0.403,0.453,0.38,0.436
"14","Colchagua",0.426,0.498,0.491,0.498,0.497,0.502,0.471,0.448,0.442,0.41,0.395,0.442
"15","Concepción",0.542,0.525,0.534,0.555,0.564,0.472,0.555,0.515,0.475,0.54,0.421,0.436
"16","Copiapó",0.536,0.508,0.458,0.586,0.507,0.48,0.441,0.465,0.42,0.454,0.422,0.428
"17","Cordillera",0.485,0.527,0.458,0.401,0.449,0.54,0.45,0.498,0.383,0.379,0.358,0.381
"18","Coyhaique",0.535,0.482,0.518,0.488,0.633,0.496,0.554,0.429,0.571,0.515,0.489,0.442
"19","Curicó",0.664,0.572,0.624,0.534,0.513,0.638,0.485,0.516,0.528,0.441,0.404,0.386
"20","El Loa",0.547,0.457,0.513,0.425,0.524,0.429,0.482,0.441,0.42,0.447,0.462,0.418
"21","Elqui",0.54,0.49,0.477,0.511,0.543,0.516,0.556,0.506,0.469,0.427,0.416,0.429
"22","Huasco",0.561,0.529,0.514,0.504,0.44,0.448,0.482,0.45,0.435,0.462,0.392,0.374
"23","Iquique",0.568,0.511,0.465,0.487,0.487,0.484,0.48,0.427,0.424,0.444,0.446,0.502
"24","Limarí",0.504,0.489,0.475,0.5,0.475,0.58,0.527,0.394,0.389,0.418,0.393,0.384
"25","Linares",0.557,0.553,0.535,0.492,0.478,0.535,0.498,0.488,0.429,0.452,0.386,0.371
"26","Llanquihue",0.617,0.574,0.58,0.55,0.505,0.527,0.514,0.49,0.503,0.497,0.472,0.424
