"","region","1990","1992","1994","1996","1998","2000","2003","2006","2009","2011","2013","2015"
"1","Antofagasta",0.524,0.457,0.51,0.483,0.519,0.522,0.45,0.452,0.403,0.462,0.457,0.425
"2","Araucanía",0.595,0.482,0.584,0.546,0.604,0.602,0.575,0.519,0.523,0.526,0.456,0.454
"3","Arica y Parinacota",0.482,0.527,0.545,0.489,0.456,0.585,0.496,0.523,0.434,0.468,0.423,0.424
"4","Atacama",0.543,0.522,0.469,0.574,0.492,0.479,0.463,0.462,0.433,0.466,0.421,0.424
"5","Aysén",0.516,0.518,0.519,0.496,0.581,0.513,0.533,0.44,0.546,0.512,0.465,0.437
"6","Bíobío",0.573,0.535,0.534,0.571,0.577,0.59,0.54,0.509,0.476,0.51,0.425,0.437
"7","Coquimbo",0.531,0.495,0.494,0.521,0.537,0.536,0.549,0.49,0.454,0.434,0.413,0.427
"8","Los Lagos",0.623,0.552,0.56,0.538,0.515,0.526,0.509,0.489,0.475,0.493,0.454,0.423
"9","Los Ríos",0.521,0.494,0.527,0.576,0.568,0.535,0.567,0.512,0.477,0.493,0.454,0.469
"10","Magallanes",0.533,0.517,0.438,0.48,0.535,0.574,0.525,0.493,0.491,0.498,0.44,0.448
"11","Maule",0.601,0.556,0.544,0.544,0.518,0.573,0.522,0.487,0.502,0.455,0.421,0.437
"12","Metropolitana",0.561,0.58,0.579,0.56,0.579,0.589,0.58,0.552,0.562,0.544,0.513,0.481
"13","O'Higgins",0.511,0.526,0.515,0.51,0.516,0.492,0.458,0.465,0.444,0.406,0.412,0.419
"14","Tarapacá",0.568,0.513,0.478,0.495,0.49,0.489,0.481,0.432,0.425,0.441,0.446,0.499
"15","Valparaíso",0.535,0.528,0.49,0.492,0.518,0.498,0.465,0.479,0.472,0.484,0.458,0.445
