"","comuna","1990","1992","1994","1996","1998","2000","2003","2006","2009","2011","2013","2015"
"1","Alhué",18092,33590,49265,NA,51373,83765,82256,98306,185795,148971,162148,206743
"2","Andacollo",22716,32388,34200,38193,59447,60075,73448,85262,167723,224208,162715,177645
"3","Angol",36960,31993,46129,84200,56726,77399,101681,129855,110141,198388,167337,182922
"4","Antofagasta",44225,51386,77583,129343,146748,176211,137109,184200,195359,292634,309910,303158
"5","Arica",35584,56582,87166,84318,96778,128333,120021,145701,187531,196123,179980,229364
"6","Aysén",34829,60440,56552,96405,106158,122482,109173,158615,171491,241297,214051,241556
"7","Buin",34261,38302,52830,NA,95463,103168,138489,117141,164570,206568,245931,238633
"8","Bulnes",27648,49595,40078,NA,NA,96019,85645,106812,113302,127794,116052,181886
"9","Calama",48759,57828,85542,102788,132623,151520,151404,171607,231051,293682,248734,316137
"10","Calera",31684,26138,56959,66510,92740,104394,76919,129726,136815,126132,137299,180335
"11","Calera de Tango",23584,43096,55708,253142,89266,117379,273484,203089,167691,351775,169193,240647
"12","Cartagena",25122,42182,54309,68147,95018,87069,95171,140347,134589,148750,114922,179662
"13","Casablanca",14953,101238,53717,48173,90625,93142,86740,132946,140896,165981,156398,164292
"14","Castro",43926,71239,107588,NA,NA,93995,129156,168588,144343,215829,154566,227210
"15","Cauquenes",20362,55211,49669,63770,71871,79314,76521,83787,139487,143086,138318,160375
"16","Cerro Navia",23127,38249,58408,66656,71332,75803,98388,107237,128381,158773,148565,177824
"17","Chañaral",41972,33773,40406,58833,59305,90385,81065,149089,165196,224596,174811,235341
"18","Chillán",32546,58063,58933,75793,103979,101300,105477,126042,146106,163513,161321,226456
"19","Chimbarongo",22692,38309,39467,55580,60873,97745,81673,97953,108962,124173,142497,176394
"20","Chonchi",23231,36231,43288,NA,NA,78408,88954,128462,164881,169419,144474,174415
"21","Coihueco",29740,29612,32746,33292,76755,61631,59242,78373,93995,119035,131979,148031
"22","Colina",21436,36178,48165,62134,103046,85446,120052,172894,186404,185771,154477,190638
