"","provincia","1990","1992","1994","1996","1998","2000","2003","2006","2009","2011","2013","2015"
"1","Antofagasta",25631,34782,45107,77558,80807,91300,99108,125904,143052,187436,200208,222475
"2","Arauco",12678,21837,24480,32463,32589,40706,49062,57425,85586,81636,102292,123191
"3","Arica",22559,33482,49221,54688,70870,61655,72823,93425,133950,131015,130322,160717
"4","Aysén",21396,31223,36308,61448,70280,70604,78704,110828,123772,145682,161636,167256
"5","Bíobío",16049,20159,27102,37890,41893,52069,53235,69160,93741,103478,105563,135401
"6","Cachapoal",20388,33243,37973,46388,54546,65796,73213,90677,121728,137708,144594,170692
"7","Cardenal Caro",10864,18973,27117,36263,42401,48389,51392,65663,96500,125270,123099,142194
"8","Cauquenes",13752,16421,23736,36206,33749,44425,52956,58191,81359,99060,117000,128667
"9","Cautín",15840,25237,33064,37778,48022,49400,52283,74481,84064,100778,110000,136270
"10","Chacabuco",15934,25865,32130,47639,54547,57305,62500,87794,118465,127521,161167,148135
"11","Chañaral",32159,38012,43911,55707,60840,83715,81515,115316,147269,164346,161250,168755
"12","Chiloé",18827,29686,46937,45407,47892,61682,73079,97430,112970,119900,120984,150000
"13","Choapa",13200,19610,23666,31111,44195,47278,48342,75184,99168,110150,108218,143856
"14","Colchagua",15298,25287,26601,38210,47143,54084,60275,77390,97365,115255,122479,155067
"15","Concepción",19800,26610,39518,48333,57280,63542,68193,84683,112973,125186,133333,151586
"16","Copiapó",24307,39490,39726,58704,56070,60714,68211,110845,133447,164296,170175,193716
"17","Cordillera",20939,43288,62582,67387,73312,71133,99598,105195,121550,133110,145151,184607
"18","Coyhaique",19980,30102,39020,54592,82276,91323,102901,119167,128415,171558,170215,215884
"19","Curicó",19800,30303,28296,39636,48647,60867,59601,84128,104645,116367,116629,149961
"20","El Loa",28187,39140,52051,76381,72790,101105,102216,115902,176332,203401,154453,234057
"21","Elqui",18628,25439,38929,48946,63383,69767,75323,84535,114443,130900,148761,160000
"22","Huasco",17981,28498,36896,39437,54039,51770,74850,115470,111437,115000,135000,145972
"23","Iquique",34607,46352,52051,78000,84717,87303,88333,109944,135317,159919,170000,183333
"24","Limarí",14006,25667,32564,34255,41504,50936,61147,62227,86661,99992,122959,131237
"25","Linares",15462,23034,25708,32959,42521,48603,53890,65544,83836,102711,109323,140761
"26","Llanquihue",19673,26590,34415,43198,59682,60480,71133,100612,108250,123270,130000,148918
"27","Los Andes",17160,30569,41870,39381,65181,66537,71793,94670,197536,177111,127772,194444
"28","Magallanes",28965,42920,68116,77805,84486,122058,109798,134216,165162,198987,183667,240000
"29","Maipo",24837,29920,58550,46117,59983,62827,71096,89944,120517,116323,130000,167359
"30","Malleco",14072,20869,27150,31123,31612,39307,51737,58949,75000,97918,109293,125000
"31","Marga Marga",26464,38458,46576,68370,77350,82500,82352,105489,126119,126834,160682,183333
"32","Melipilla",16910,26194,35700,49052,50388,59758,67673,84167,119132,119066,126229,151998
"33","Ñuble",14225,21751,26880,31893,48504,49798,50979,67618,89544,107790,108056,150497
"34","Osorno",14429,27506,34808,31879,44697,44954,56114,80902,109893,107816,120000,141755
"35","Petorca",12717,24786,32634,39450,44922,51309,64528,78141,109484,105459,122689,137666
"36","Quillota",17662,26299,38049,50407,59335,65000,66271,86699,102018,110870,128133,157375
"37","Ranco",20737,56700,32921,31539,32327,39837,45800,61605,80993,104224,111059,139620
"38","San Antonio",15097,31160,37128,54989,61908,69404,67262,79040,109625,116868,127647,161683
"39","San Felipe",21093,27510,36075,44297,53453,58307,65042,84040,110043,124120,127458,148359
"40","Santiago",25176,41945,56624,78140,89267,93747,101430,128799,165077,170664,182156,211229
"41","Talagante",18120,29882,35299,48730,52949,63750,75450,93496,114405,153747,143464,141764
"42","Talca",17150,27127,34122,40105,50816,62084,65416,80580,96940,120000,132646,155000
"43","Tamarugal",22618,33184,22262,29350,53936,58290,60032,85814,98717,139976,130311,162500
"44","Tierra del Fuego",25231,29134,35927,71007,73573,101973,130606,139923,195795,157628,211800,227678
"45","Tocopilla",18551,28338,34501,56493,64118,53366,91752,105683,133080,175033,164990,174941
"46","Última Esperanza",13750,26269,39825,53904,68013,68475,67907,104070,132753,134536,132118,178010
"47","Valdivia",16777,27615,27964,41767,45831,54782,57091,75232,96584,116692,116667,154954
"48","Valparaíso",21638,36360,54107,57635,73342,83333,82982,90130,121550,139985,160867,196178
"49","General Carrera",NA,NA,26348,62958,45180,51746,64271,121898,162305,148025,156667,196809
"50","Capitán Prat",NA,NA,NA,50228,73659,52294,82660,152410,111126,162458,136934,215026
"51","Isla de Pascua",NA,NA,NA,103924,NA,NA,NA,NA,NA,NA,NA,NA
"52","Parinacota",NA,NA,NA,33494,53062,31603,49521,69756,78693,107120,105646,121325
"53","Palena",NA,NA,NA,NA,NA,43850,73726,93266,120033,NA,NA,NA
"54","Antártica",NA,NA,NA,NA,NA,NA,NA,174673,199756,NA,NA,NA
