"","region","1990","1992","1994","1996","1998","2000","2003","2006","2009","2011","2013","2015"
"1","Antofagasta",24993,34912,45281,76608,77346,92225,100050,122432,145233,193245,188056,225000
"2","Araucanía",15321,23984,31006,35833,41406,46812,52166,70781,82201,100104,109464,134057
"3","Arica y Parinacota",22559,33482,49221,54479,70870,61543,72763,93409,133306,130789,130322,160679
"4","Atacama",23508,35800,39633,53200,55717,60000,73075,111764,129958,149928,159792,183273
"5","Aysén",20423,30730,36582,55833,74504,81717,89722,117833,127766,162340,164218,201624
"6","Bíobío",16912,23881,31415,40892,48875,56539,59936,75405,100000,110908,118000,145448
"7","Coquimbo",16912,25215,34776,40927,53950,60883,66667,77661,104445,123439,137850,154346
"8","Los Lagos",17566,27254,35802,40195,52347,55409,67500,93642,110124,117670,123750,146715
"9","Los Ríos",16786,28614,28837,36767,39094,51655,53551,71387,92121,113071,114305,152755
"10","Magallanes",27735,38398,61353,75007,83141,108362,103050,126771,163507,185611,179559,230000
"11","Maule",16544,24919,28846,38149,46643,56520,59027,76682,94869,112495,120000,148506
"12","Metropolitana",24353,39804,54662,69816,80996,84516,96147,116658,149580,154525,168970,200518
"13","O'Higgins",18570,29355,34042,43576,52208,61221,69131,85627,112646,133903,137468,166538
"14","Tarapacá",32711,45638,49062,75627,82077,85739,86927,108608,132648,159916,165311,182212
"15","Valparaíso",19321,31772,45045,54542,66478,75564,75306,90205,122743,131224,146000,177308
