"","geography_level","geography_name","geography_id","year","mean_income","median_income","gini_income","ci_mean_income","ci_median_income","ci_gini_income"
"1","pais","País","pais","1990",35625,18906,0.561,"[35259, 36081]","[18807, 19008]","[0.557, 0.566]"
"2","pais","País","pais","1992",52452,27456,0.563,"[51833, 53092]","[27307, 27596]","[0.558, 0.567]"
"3","pais","País","pais","1994",61573,32880,0.558,"[60533, 62814]","[32768, 33016]","[0.55, 0.566]"
"4","pais","País","pais","1996",79894,45059,0.538,"[79206, 80699]","[44967, 45323]","[0.535, 0.542]"
"5","pais","País","pais","1998",96120,52624,0.551,"[95259, 97033]","[52409, 52856]","[0.548, 0.555]"
"6","pais","País","pais","2000",90981,52611,0.532,"[90357, 91663]","[52440, 52829]","[0.53, 0.536]"
"7","pais","País","pais","2003",104867,59966,0.538,"[103819, 105889]","[59611, 60000]","[0.534, 0.542]"
"8","pais","País","pais","2006",129945,78410,0.511,"[129119, 130822]","[78194, 78725]","[0.508, 0.514]"
"9","pais","País","pais","2009",156226,102212,0.472,"[155332, 157030]","[101854, 102595]","[0.47, 0.474]"
"10","pais","País","pais","2011",213673,130137,0.499,"[212189, 215307]","[129659, 130691]","[0.497, 0.502]"
"11","pais","País","pais","2013",202200,134864,0.46,"[201164, 203468]","[134313, 135215]","[0.458, 0.462]"
"12","pais","País","pais","2015",247199,160000,0.471,"[245922, 248495]","[159568, 160034]","[0.469, 0.474]"
