"","geography_level","geography_name","geography_id","year","mean_income","median_income","gini_income","ci_mean_income","ci_median_income","ci_gini_income"
"1","region","Antofagasta","2","1990",40996,24330,0.519,"[39495, 42557]","[23110, 24786]","[0.506, 0.53]"
"2","region","Araucanía","9","1990",30353,15262,0.59,"[28858, 32091]","[14850, 15717]","[0.571, 0.611]"
"3","region","Arica y Parinacota","15","1990",36320,22534,0.487,"[34362, 38590]","[21780, 22694]","[0.466, 0.51]"
"4","region","Atacama","3","1990",41562,21648,0.555,"[38236, 44348]","[21246, 22524]","[0.528, 0.577]"
"5","region","Aysén","11","1990",36236,20600,0.512,"[33881, 38396]","[19807, 21849]","[0.487, 0.539]"
"6","region","Bíobío","8","1990",29513,15828,0.558,"[28344, 30634]","[15663, 16126]","[0.54, 0.574]"
"7","region","Coquimbo","4","1990",28638,16626,0.535,"[27310, 29919]","[16200, 17030]","[0.519, 0.552]"
"8","region","Los Lagos","10","1990",38126,17198,0.615,"[35733, 40877]","[16905, 17546]","[0.59, 0.641]"
"9","region","Los Ríos","14","1990",30888,16974,0.536,"[29080, 32669]","[16539, 17464]","[0.517, 0.552]"
"10","region","Magallanes","12","1990",44398,26137,0.536,"[41911, 46488]","[24954, 27783]","[0.516, 0.553]"
"11","region","Maule","7","1990",34609,16473,0.599,"[32478, 37735]","[16151, 16864]","[0.576, 0.629]"
"12","region","Metropolitana","13","1990",38593,20437,0.557,"[37988, 39388]","[20136, 20554]","[0.551, 0.564]"
"13","region","O'Higgins","6","1990",29846,18620,0.515,"[28585, 30838]","[18120, 18965]","[0.497, 0.528]"
"14","region","Tarapacá","1","1990",54882,27943,0.567,"[50446, 59604]","[26588, 29641]","[0.535, 0.601]"
"15","region","Valparaíso","5","1990",32436,18573,0.54,"[31057, 34011]","[18154, 18860]","[0.522, 0.556]"
"16","region","Antofagasta","2","1992",49116,32328,0.47,"[47720, 50443]","[31824, 32965]","[0.459, 0.479]"
"17","region","Araucanía","9","1992",37241,23701,0.482,"[36082, 38266]","[23340, 24396]","[0.468, 0.492]"
"18","region","Arica y Parinacota","15","1992",54757,31087,0.55,"[50709, 59308]","[27844, 32604]","[0.521, 0.578]"
"19","region","Atacama","3","1992",50449,29508,0.513,"[48754, 52764]","[29035, 30082]","[0.499, 0.53]"
"20","region","Aysén","11","1992",52177,30335,0.517,"[47974, 60542]","[29830, 32190]","[0.474, 0.578]"
