"","comuna","1990","1992","1994","1996","1998","2000","2003","2006","2009","2011","2013","2015"
"1","Algarrobo",NA,35618,50136,NA,97795,NA,97480,133501,197198,189882,419805,283680
"2","Alhué",18092,33590,49265,NA,51360,83765,83297,100530,189108,154103,162635,206743
"3","Alto Bíobío",NA,NA,NA,NA,NA,NA,NA,58580,78367,181019,104782,155076
"4","Alto del Carmen",NA,36594,38558,40478,66843,65841,85201,137011,142640,167817,120170,172965
"5","Alto Hospicio",NA,NA,NA,NA,NA,NA,81824,99728,137518,159747,167766,179871
"6","Ancud",NA,NA,NA,62216,72631,84854,122390,165790,176432,190140,171327,194860
"7","Andacollo",22716,32388,34177,39532,60725,59762,70393,89315,167820,200227,175770,177645
"8","Angol",36960,31993,46129,79637,53314,67526,94923,119499,112760,179743,180685,193627
"9","Antofagasta",43997,51290,76382,126328,137497,151748,129084,183536,181658,294865,298677,299096
"10","Antuco",NA,26162,37261,NA,NA,61430,60437,93848,127075,137442,121754,186457
"11","Arauco",NA,52416,42404,63884,59307,84347,90308,83055,195718,110872,172456,176938
"12","Arica",36320,54757,78357,83538,93949,119945,107413,145726,180139,199729,177967,222713
"13","Aysén",35891,59257,52424,95439,100421,121773,111169,165841,179969,233124,215944,247298
"14","Buin",33869,39337,52859,NA,90654,87464,129811,118855,163358,201520,209033,238633
"15","Bulnes",27648,53578,39840,NA,NA,92966,81192,98068,110408,131181,125313,181886
"16","Cabildo",NA,36858,50082,49147,67832,87830,81825,120514,141347,146305,139556,171933
"17","Cabrero",NA,27478,32318,NA,NA,82561,61159,98234,108989,133552,115921,156810
"18","Calama",43711,60118,85558,85343,108858,107428,142601,211835,226176,278760,269836,327016
"19","Calbuco",NA,NA,NA,NA,NA,76480,78540,122789,139933,155846,123012,174208
"20","Caldera",NA,43332,61721,106215,92589,96618,113217,145357,180146,226118,179226,227998
"21","Calera",31684,26138,57993,69446,85974,103325,75394,126471,132478,125405,137064,175968
"22","Calera de Tango",22795,42451,56133,240752,89715,134549,198477,211392,167099,313479,177711,240647
"23","Calle Larga",NA,35667,46248,50497,87136,76237,74729,97462,178580,216340,164470,211181
"24","Camarones",NA,NA,NA,NA,72688,81721,92419,172049,200082,235284,220236,185135
"25","Camiña",NA,NA,NA,NA,48024,46436,64925,90506,120978,243012,91145,114870
"26","Canela",NA,NA,34520,NA,42435,54797,50420,77773,106381,137848,113398,185812
"27","Cañete",NA,42187,43363,50031,64033,68104,97226,89921,93149,100971,106417,140745
"28","Carahue",NA,NA,NA,35042,48714,49866,57466,70183,97602,117903,138588,139000
"29","Cartagena",25122,42336,54452,70457,84521,90711,85443,139901,127063,162573,127842,179662
"30","Casablanca",14953,108863,51875,48173,86776,87930,86377,135027,161241,160548,149219,164292
"31","Castro",43926,71239,107588,NA,NA,91569,132201,167131,146368,230988,165776,220905
"32","Catemu",NA,34443,41048,NA,59111,72884,75882,95473,123150,158077,145063,159980
"33","Cauquenes",20362,55211,47608,52230,70866,77210,74853,83576,142468,138417,150003,156682
"34","Cerrillos",NA,54867,95166,78550,109855,108134,133524,181070,192763,202651,196729,203934
"35","Cerro Navia",23127,38249,58408,65345,72022,73611,92772,106553,128178,144382,148308,176927
"36","Chañaral",41972,33640,44179,60053,60307,93551,88135,155275,180247,212373,191437,240143
"37","Chanco",NA,NA,36802,NA,NA,72411,66474,78605,107236,120113,151697,148059
"38","Chépica",NA,NA,NA,51218,48271,71528,62126,102078,130459,164588,121410,162001
"39","Chiguayante",NA,NA,NA,NA,115446,100400,125545,180432,154253,303365,198209,196925
"40","Chile Chico",NA,NA,48535,NA,NA,NA,NA,220081,348385,280711,214686,268972
"41","Chillán",32816,54539,58125,74995,94259,89514,101384,119590,140068,164150,162168,228554
