"","region","1990","1992","1994","1996","1998","2000","2003","2006","2009","2011","2013","2015"
"1","Antofagasta",40996,49116,66738,84864,99550,112553,127541,192942,202230,286519,279724,290118
"2","Araucanía",30353,37241,60773,54372,65250,67919,71784,93047,111583,152516,158873,177133
"3","Arica y Parinacota",36320,54757,78357,75667,88731,90217,95376,139872,166869,199046,178284,215373
"4","Atacama",41562,50449,54006,72147,76546,84821,98292,157432,165024,219009,231511,263759
"5","Aysén",36236,52177,59679,87806,118492,119842,126596,172901,214464,272192,247226,284569
"6","Bíobío",29513,34140,39266,61582,78375,69940,77103,95782,124062,164190,159079,188156
"7","Coquimbo",28638,40842,47862,61069,71245,74073,85647,104984,141261,175766,179658,212438
"8","Los Lagos",38126,50528,71659,67075,84144,84371,92051,135371,165435,191044,176478,198746
"9","Los Ríos",30888,46062,49877,60723,70424,74462,75080,108684,127455,181526,163548,186060
"10","Magallanes",44398,74646,93187,93765,148375,147445,190463,220285,304534,290285,263139,329012
"11","Maule",34609,47315,41030,56956,73085,82457,82349,100234,127972,162727,168216,191376
"12","Metropolitana",38593,73596,97739,120560,134118,127793,170358,186136,202405,299277,270987,363184
"13","O'Higgins",29846,51641,57460,64733,76750,82516,92664,107671,137013,176616,174831,216359
"14","Tarapacá",54882,72541,67620,73757,79766,86608,86168,123337,160465,219911,224800,242387
"15","Valparaíso",32436,52718,56562,83917,87552,95648,97766,129469,167922,203603,204969,235482
