"","comuna","1990","1992","1994","1996","1998","2000","2003","2006","2009","2011","2013","2015"
"1","Algarrobo",NA,29872,32300,NA,67843,NA,67280,83488,133286,122385,132000,187116
"2","Alhué",12210,25825,29842,NA,37974,53126,57209,68783,138688,117605,127708,181693
"3","Alto Bíobío",NA,NA,NA,NA,NA,NA,NA,39938,48800,114394,66323,93900
"4","Alto del Carmen",NA,27912,28346,30667,53975,44673,59040,87969,113148,111782,112615,139167
"5","Alto Hospicio",NA,NA,NA,NA,NA,NA,55802,65770,107108,121382,133708,144776
"6","Ancud",NA,NA,NA,43300,44127,51667,79040,117502,120576,142452,125000,140001
"7","Andacollo",18392,24676,27012,31046,40833,43357,51939,69680,127688,168688,140625,153151
"8","Angol",18945,22099,28560,35815,33475,41123,61554,77371,79212,109973,137255,141966
"9","Antofagasta",26108,35266,44638,84398,79482,88698,94234,127031,137541,193690,202000,211042
"10","Antuco",NA,18075,24349,NA,NA,44063,44835,66171,73959,90062,102778,123701
"11","Arauco",NA,25464,29452,41485,34477,43599,56975,64593,94850,90554,117334,135538
"12","Arica",22534,31087,42840,49193,66672,67555,61709,93425,129500,132739,127944,159333
"13","Aysén",21906,30730,35159,58996,68502,67182,81226,110828,117946,151553,161391,176619
"14","Buin",19970,26070,40162,NA,62922,56336,81080,83400,131763,131309,147450,151980
"15","Bulnes",15698,20443,25112,NA,NA,43799,54389,68744,82003,103141,94126,120080
"16","Cabildo",NA,24104,29661,34552,43738,45436,59094,77088,111534,110616,107708,143739
"17","Cabrero",NA,20172,26504,NA,NA,54028,44000,71370,78380,87866,90962,134022
"18","Calama",23587,35767,52222,60000,72346,64520,90539,110344,162067,196505,177768,240406
"19","Calbuco",NA,NA,NA,NA,NA,50317,60550,77653,97927,109612,103576,123057
"20","Caldera",NA,31312,37487,40860,61135,61812,66363,94471,136933,142605,131115,180556
"21","Calera",17657,19622,39429,45171,54528,65000,54092,85877,100033,94492,116029,124931
"22","Calera de Tango",17425,28644,32291,85792,54425,69210,79779,109333,108682,137062,143896,161384
