"","region","1990","1992","1994","1996","1998","2000","2003","2006","2009","2011","2013","2015"
"1","Antofagasta",24330,32328,40341,55422,65608,70187,85861,115902,138008,194240,191000,205021
"2","Araucanía",15262,23701,30260,32500,35140,38727,43738,58103,75000,96692,109293,122778
"3","Arica y Parinacota",22534,31087,42840,42822,54620,48806,57468,92950,116901,131991,127353,153479
"4","Atacama",21648,29508,35808,41773,50200,54132,65776,105367,118820,149840,163438,189126
"5","Aysén",20600,30335,35159,53799,69165,70604,81226,118743,129128,159694,161917,194582
"6","Bíobío",15828,20258,24353,37357,41833,44114,48289,61872,85116,102092,113769,132001
"7","Coquimbo",16626,24982,29816,36362,43495,46610,52908,68671,100084,118729,133167,150382
"8","Los Lagos",17198,27135,35878,40925,51148,51356,59244,85445,110403,113127,119838,140970
"9","Los Ríos",16974,28614,28837,35752,37971,44356,45254,65489,86120,113640,112500,130921
"10","Magallanes",26137,39140,61353,63842,73934,89509,99050,135135,174280,185000,190058,223333
"11","Maule",16473,24536,25071,35806,43595,47133,52773,67009,88226,110532,120000,141839
"12","Metropolitana",20437,34713,45485,65714,67593,70163,82725,102543,125881,154909,161377,205714
"13","O'Higgins",18620,28941,33044,40400,47734,52647,62396,73604,1e+05,127520,130000,158786
"14","Tarapacá",27943,42934,40607,43073,49875,48671,59280,76520,107856,154794,154588,169112
"15","Valparaíso",18573,29778,36564,49975,55392,60495,65867,84705,114673,128972,137381,164424
