"","geography_level","geography_name","geography_id","year","weighted_mean_income","weighted_median_income","weighted_gini_income","ci_weighted_mean_income","ci_weighted_median_income","ci_weighted_gini_income"
"1","pais","País","pais","1990",42786,22367,0.561,"[42255, 43327]","[22249, 22572]","[0.557, 0.565]"
"2","pais","País","pais","1992",66130,34496,0.565,"[65287, 67145]","[34252, 34762]","[0.561, 0.57]"
"3","pais","País","pais","1994",85112,45390,0.564,"[82761, 87444]","[45038, 45502]","[0.552, 0.575]"
"4","pais","País","pais","1996",107394,58618,0.551,"[105804, 109252]","[57947, 59304]","[0.546, 0.556]"
"5","pais","País","pais","1998",131718,67720,0.57,"[130005, 133658]","[67071, 68292]","[0.566, 0.574]"
"6","pais","País","pais","2000",130400,69588,0.562,"[128254, 132950]","[69195, 70107]","[0.556, 0.569]"
"7","pais","País","pais","2003",145046,77306,0.561,"[142231, 147590]","[76768, 77891]","[0.554, 0.568]"
"8","pais","País","pais","2006",169486,96415,0.533,"[167704, 171821]","[95846, 96915]","[0.528, 0.538]"
"9","pais","País","pais","2009",210634,121550,0.525,"[207459, 213131]","[120598, 122441]","[0.52, 0.53]"
"10","pais","País","pais","2011",230231,134651,0.514,"[227401, 234051]","[133502, 135602]","[0.509, 0.521]"
"11","pais","País","pais","2013",224461,144146,0.476,"[222363, 226627]","[143000, 145000]","[0.471, 0.479]"
"12","pais","País","pais","2015",269441,171754,0.477,"[267373, 271402]","[170741, 172544]","[0.474, 0.48]"
