"","geography_level","geography_name","geography_id","year","weighted_mean_income","weighted_median_income","weighted_gini_income","ci_weighted_mean_income","ci_weighted_median_income","ci_weighted_gini_income"
"1","provincia","Antofagasta","p21","1990",44191,26123,0.515,"[42502, 46389]","[24993, 27312]","[0.501, 0.532]"
"2","provincia","Arauco","p82","1990",22672,15712,0.47,"[20801, 24511]","[14697, 15969]","[0.443, 0.502]"
"3","provincia","Arica","p151","1990",35555,22559,0.482,"[33886, 37793]","[21841, 22702]","[0.461, 0.506]"
"4","provincia","Aysén","p112","1990",31704,19357,0.486,"[29032, 34518]","[18939, 20793]","[0.459, 0.519]"
"5","provincia","Bíobío","p83","1990",47208,18120,0.672,"[37660, 59353]","[16425, 19564]","[0.607, 0.728]"
"6","provincia","Cachapoal","p61","1990",41945,24348,0.534,"[39400, 44481]","[23528, 26087]","[0.512, 0.553]"
"8","provincia","Cardenal Caro","p62","1990",23089,10864,0.617,"[17077, 29230]","[10403, 13200]","[0.492, 0.688]"
"9","provincia","Cauquenes","p72","1990",35945,13877,0.683,"[23067, 49367]","[13199, 14585]","[0.5, 0.761]"
"10","provincia","Cautín","p91","1990",41490,20877,0.574,"[38294, 44790]","[19619, 22020]","[0.546, 0.598]"
"11","provincia","Chacabuco","p133","1990",23255,16022,0.423,"[22237, 24260]","[15423, 16683]","[0.405, 0.438]"
"12","provincia","Chañaral","p32","1990",49527,32159,0.52,"[40683, 56718]","[29815, 36048]","[0.434, 0.572]"
"13","provincia","Chiloé","p102","1990",32438,18870,0.492,"[29838, 35886]","[18261, 19719]","[0.463, 0.523]"
"14","provincia","Choapa","p42","1990",18376,13200,0.419,"[16952, 20443]","[12940, 14905]","[0.385, 0.445]"
"15","provincia","Colchagua","p63","1990",23185,17820,0.438,"[21867, 25366]","[16335, 18829]","[0.405, 0.475]"
"16","provincia","Concepción","p81","1990",36639,19800,0.55,"[34870, 38356]","[19096, 20596]","[0.533, 0.565]"
"17","provincia","Copiapó","p31","1990",48010,27660,0.534,"[42885, 55325]","[25940, 29254]","[0.483, 0.588]"
"18","provincia","Cordillera","p152","1990",35682,21101,0.482,"[32914, 38559]","[20367, 22721]","[0.456, 0.511]"
"19","provincia","Coyhaique","p111","1990",36761,19980,0.536,"[34276, 40369]","[19217, 20491]","[0.513, 0.569]"
"20","provincia","Curicó","p73","1990",47475,19600,0.662,"[37695, 55836]","[19092, 19934]","[0.592, 0.709]"
"21","provincia","El Loa","p22","1990",49066,28187,0.547,"[44992, 52864]","[24529, 29037]","[0.528, 0.569]"
"22","provincia","Elqui","p41","1990",33068,18834,0.538,"[31154, 34871]","[18582, 19615]","[0.516, 0.558]"
"24","provincia","Huasco","p33","1990",39387,17146,0.595,"[35913, 43679]","[16826, 17827]","[0.562, 0.626]"
"25","provincia","Iquique","p11","1990",63952,34607,0.568,"[58211, 69196]","[31239, 36064]","[0.541, 0.593]"
"26","provincia","Limarí","p43","1990",28783,16473,0.522,"[25800, 31005]","[15308, 17005]","[0.484, 0.549]"
"27","provincia","Linares","p74","1990",29339,15376,0.558,"[27381, 31491]","[14735, 16104]","[0.534, 0.579]"
"28","provincia","Llanquihue","p101","1990",32087,19710,0.501,"[29766, 34767]","[18920, 21140]","[0.48, 0.535]"
"29","provincia","Los Andes","p53","1990",21819,17160,0.449,"[18846, 24559]","[15008, 18506]","[0.4, 0.486]"
"30","provincia","Magallanes","p121","1990",48148,28965,0.527,"[44891, 52652]","[28153, 30094]","[0.505, 0.56]"
"31","provincia","Maipo","p134","1990",34834,23831,0.478,"[32618, 36757]","[22611, 24837]","[0.457, 0.5]"
"32","provincia","Malleco","p92","1990",28165,14100,0.585,"[25839, 31603]","[13827, 14850]","[0.55, 0.62]"
"33","provincia","Marga Marga","p58","1990",34303,26464,0.459,"[31761, 36566]","[24809, 27691]","[0.433, 0.483]"
"34","provincia","Melipilla","p135","1990",26142,16910,0.484,"[24260, 28500]","[16384, 17983]","[0.454, 0.514]"
"35","provincia","Ñuble","p84","1990",32478,16485,0.58,"[27040, 37462]","[15704, 17581]","[0.506, 0.626]"
"36","provincia","Osorno","p103","1990",39133,14874,0.641,"[34930, 43463]","[14219, 15348]","[0.616, 0.665]"
"38","provincia","Petorca","p54","1990",21855,12813,0.528,"[18099, 26740]","[12279, 13481]","[0.436, 0.602]"
