"","geography_level","geography_name","geography_id","year","weighted_mean_income","weighted_median_income","weighted_gini_income","ci_weighted_mean_income","ci_weighted_median_income","ci_weighted_gini_income"
"1","region","Antofagasta","2","1990",45933,26458,0.528,"[44186, 48536]","[24993, 28206]","[0.514, 0.545]"
"2","region","Araucanía","9","1990",41713,21326,0.573,"[37727, 45995]","[20122, 22338]","[0.537, 0.599]"
"3","region","Arica y Parinacota","15","1990",35555,22559,0.482,"[33886, 37793]","[21841, 22702]","[0.461, 0.506]"
"4","region","Atacama","3","1990",48096,27707,0.534,"[42829, 54478]","[25863, 29267]","[0.491, 0.583]"
"5","region","Aysén","11","1990",35195,19850,0.523,"[32621, 37880]","[19357, 20439]","[0.495, 0.549]"
"6","region","Bíobío","8","1990",36927,18678,0.574,"[35381, 39076]","[18120, 19116]","[0.556, 0.598]"
"7","region","Coquimbo","4","1990",31991,18541,0.535,"[30621, 33777]","[17977, 18721]","[0.519, 0.554]"
"8","region","Los Lagos","10","1990",35503,17337,0.581,"[33367, 37473]","[16960, 18055]","[0.561, 0.598]"
"9","region","Los Ríos","14","1990",33486,20000,0.487,"[31629, 35571]","[19494, 21389]","[0.471, 0.508]"
"10","region","Magallanes","12","1990",48148,28965,0.527,"[44950, 51784]","[28153, 30713]","[0.5, 0.55]"
"11","region","Maule","7","1990",32303,18120,0.525,"[30825, 34260]","[17417, 19364]","[0.511, 0.54]"
"12","region","Metropolitana","13","1990",45846,23744,0.562,"[44920, 46823]","[23302, 24048]","[0.556, 0.568]"
"13","region","O'Higgins","6","1990",39841,23071,0.533,"[37719, 41714]","[22354, 23795]","[0.511, 0.55]"
"14","region","Tarapacá","1","1990",63952,34607,0.568,"[58950, 69375]","[32592, 36019]","[0.532, 0.596]"
"15","region","Valparaíso","5","1990",41627,22046,0.554,"[39155, 44197]","[21305, 23323]","[0.533, 0.575]"
"16","region","Antofagasta","2","1992",52261,35185,0.456,"[50577, 54379]","[34406, 36989]","[0.442, 0.465]"
"17","region","Araucanía","9","1992",42547,28886,0.439,"[40729, 44268]","[27844, 29913]","[0.423, 0.452]"
"18","region","Arica y Parinacota","15","1992",56721,33762,0.525,"[52172, 61016]","[32060, 35401]","[0.495, 0.556]"
"19","region","Atacama","3","1992",60842,35800,0.524,"[57622, 64527]","[34248, 36219]","[0.506, 0.544]"
"20","region","Aysén","11","1992",55202,32190,0.522,"[50411, 63865]","[30327, 32914]","[0.478, 0.586]"
"21","region","Bíobío","8","1992",41860,23919,0.533,"[40650, 43104]","[23447, 24199]","[0.521, 0.544]"
"22","region","Coquimbo","4","1992",47907,27238,0.503,"[45577, 50236]","[26147, 28681]","[0.487, 0.52]"
"23","region","Los Lagos","10","1992",57024,31112,0.539,"[53312, 60110]","[30037, 32327]","[0.522, 0.555]"
"24","region","Los Ríos","14","1992",47071,30048,0.482,"[44355, 49856]","[28810, 30724]","[0.464, 0.505]"
