"","comuna","1990","1992","1994","1996","1998","2000","2003","2006","2009","2011","2013","2015"
"1","Algarrobo",NA,0.275,0.469,NA,0.412,NA,0.422,0.455,0.423,0.416,0.571,0.453
"2","Alhué",0.462,0.423,0.494,NA,0.422,0.488,0.441,0.414,0.447,0.323,0.365,0.287
"3","Alto Bíobío",NA,NA,NA,NA,NA,NA,NA,0.467,0.541,0.396,0.439,0.509
"4","Alto del Carmen",NA,0.371,0.422,0.437,0.407,0.447,0.465,0.469,0.347,0.417,0.256,0.342
"5","Alto Hospicio",NA,NA,NA,NA,NA,NA,0.415,0.475,0.367,0.405,0.386,0.358
"6","Ancud",NA,NA,NA,0.43,0.484,0.462,0.464,0.442,0.412,0.45,0.404,0.439
"7","Andacollo",0.361,0.396,0.389,0.33,0.404,0.406,0.409,0.393,0.421,0.368,0.342,0.266
"8","Angol",0.574,0.415,0.481,0.616,0.496,0.5,0.466,0.529,0.493,0.48,0.334,0.422
"9","Antofagasta",0.515,0.447,0.504,0.498,0.518,0.553,0.43,0.456,0.385,0.47,0.454,0.428
"10","Antuco",NA,0.417,0.481,NA,NA,0.49,0.417,0.408,0.574,0.458,0.347,0.44
"11","Arauco",NA,0.542,0.454,0.473,0.516,0.555,0.475,0.367,0.556,0.362,0.446,0.377
"12","Arica",0.482,0.527,0.545,0.488,0.455,0.584,0.496,0.524,0.433,0.468,0.423,0.424
"13","Aysén",0.478,0.571,0.469,0.503,0.45,0.576,0.435,0.43,0.445,0.5,0.396,0.402
"14","Buin",0.525,0.468,0.405,NA,0.463,0.498,0.524,0.415,0.372,0.458,0.51,0.475
"15","Bulnes",0.556,0.644,0.488,NA,NA,0.638,0.442,0.452,0.401,0.378,0.376,0.407
"16","Cabildo",NA,0.533,0.465,0.443,0.447,0.574,0.401,0.468,0.353,0.452,0.337,0.3
"17","Cabrero",NA,0.401,0.373,NA,NA,0.499,0.435,0.42,0.418,0.474,0.349,0.318
"18","Calama",0.547,0.456,0.512,0.422,0.525,0.427,0.482,0.441,0.415,0.446,0.463,0.418
"19","Calbuco",NA,NA,NA,NA,NA,0.478,0.415,0.475,0.4,0.446,0.373,0.4
"20","Caldera",NA,0.424,0.513,0.608,0.463,0.471,0.492,0.473,0.454,0.449,0.388,0.351
"21","Calera",0.604,0.419,0.454,0.479,0.502,0.459,0.406,0.471,0.387,0.404,0.351,0.409
"22","Calera de Tango",0.414,0.45,0.499,0.591,0.475,0.557,0.668,0.531,0.455,0.64,0.272,0.424
"23","Calle Larga",NA,0.451,0.389,0.422,0.516,0.517,0.426,0.369,0.416,0.442,0.324,0.406
"24","Camarones",NA,NA,NA,NA,0.542,0.511,0.424,0.415,0.481,0.442,0.439,0.419
"25","Camiña",NA,NA,NA,NA,0.49,0.597,0.524,0.471,0.385,0.41,0.419,0.374
"26","Canela",NA,NA,0.403,NA,0.462,0.442,0.399,0.439,0.386,0.468,0.386,0.472
"27","Cañete",NA,0.552,0.477,0.502,0.62,0.542,0.677,0.428,0.38,0.425,0.411,0.431
"28","Carahue",NA,NA,NA,0.418,0.523,0.457,0.472,0.456,0.458,0.449,0.504,0.431
"29","Cartagena",0.439,0.464,0.442,0.416,0.426,0.486,0.484,0.536,0.405,0.464,0.305,0.325
"30","Casablanca",0.392,0.62,0.454,0.25,0.457,0.416,0.409,0.468,0.396,0.453,0.381,0.315
"31","Castro",0.505,0.476,0.524,NA,NA,0.389,0.494,0.485,0.395,0.507,0.337,0.456
"32","Catemu",NA,0.482,0.41,NA,0.402,0.467,0.404,0.416,0.352,0.396,0.321,0.398
"33","Cauquenes",0.491,0.588,0.553,0.522,0.511,0.525,0.418,0.441,0.511,0.43,0.353,0.352
"34","Cerrillos",NA,0.424,0.431,0.436,0.422,0.392,0.441,0.505,0.401,0.457,0.384,0.392
"35","Cerro Navia",0.46,0.352,0.41,0.389,0.408,0.372,0.433,0.36,0.362,0.322,0.335,0.324
"36","Chañaral",0.525,0.449,0.385,0.478,0.404,0.48,0.435,0.445,0.453,0.444,0.372,0.423
"37","Chanco",NA,NA,0.505,NA,NA,0.555,0.406,0.411,0.406,0.329,0.373,0.267
"38","Chépica",NA,NA,NA,0.451,0.415,0.489,0.423,0.431,0.435,0.496,0.275,0.392
"39","Chiguayante",NA,NA,NA,NA,0.563,0.462,0.59,0.568,0.426,0.517,0.43,0.401
"40","Chile Chico",NA,NA,0.581,NA,NA,NA,NA,0.488,0.534,0.478,0.385,0.438
"41","Chillán",0.579,0.54,0.488,0.512,0.486,0.466,0.508,0.465,0.39,0.401,0.408,0.453
"42","Chillán Viejo",NA,NA,NA,NA,0.452,0.437,0.469,0.473,0.5,0.459,0.419,0.397
"43","Chimbarongo",0.42,0.477,0.47,0.495,0.417,0.622,0.444,0.454,0.338,0.383,0.295,0.382
"44","Cholchol",NA,NA,NA,NA,NA,NA,NA,0.372,0.45,0.484,0.34,0.42
"45","Chonchi",0.423,0.465,0.357,NA,NA,0.48,0.432,0.435,0.478,0.472,0.409,0.432
"46","Cisnes",NA,NA,NA,0.509,0.498,0.395,0.506,0.462,0.495,0.475,0.436,0.413
"47","Cobquecura",NA,0.559,0.533,NA,NA,0.615,0.488,0.447,0.455,0.323,0.461,0.409
"48","Cochrane",NA,NA,NA,0.521,0.452,0.433,0.432,0.419,0.447,0.516,0.502,0.456
"49","Codegua",NA,NA,0.354,NA,NA,0.423,NA,0.357,0.32,0.446,0.293,0.325
"50","Coelemu",NA,0.438,0.433,NA,NA,0.45,0.458,0.492,0.374,0.688,0.36,0.425
"51","Coihueco",0.659,0.474,0.492,0.441,0.711,0.528,0.462,0.48,0.411,0.491,0.48,0.331
