"","provincia","1990","1992","1994","1996","1998","2000","2003","2006","2009","2011","2013","2015"
"1","Antofagasta",0.515,0.447,0.508,0.498,0.519,0.554,0.436,0.459,0.388,0.47,0.453,0.43
"2","Arauco",0.47,0.529,0.467,0.49,0.526,0.512,0.523,0.416,0.456,0.399,0.428,0.41
"3","Arica",0.482,0.525,0.545,0.488,0.455,0.584,0.496,0.524,0.433,0.467,0.422,0.423
"4","Aysén",0.486,0.586,0.481,0.504,0.451,0.574,0.437,0.436,0.454,0.497,0.404,0.411
"5","Bíobío",0.672,0.513,0.509,0.634,0.623,0.739,0.482,0.497,0.498,0.44,0.4,0.417
"6","Cachapoal",0.534,0.504,0.494,0.523,0.536,0.492,0.455,0.465,0.443,0.403,0.419,0.412
"7","Capitán Prat",NA,NA,NA,0.533,0.458,0.434,0.43,0.419,0.446,0.514,0.501,0.462
"8","Cardenal Caro",0.617,0.525,0.367,0.454,0.475,0.464,0.5,0.461,0.4,0.419,0.318,0.391
"9","Cauquenes",0.683,0.563,0.547,0.522,0.511,0.526,0.431,0.438,0.485,0.424,0.349,0.36
"10","Cautín",0.574,0.439,0.546,0.543,0.616,0.613,0.586,0.517,0.537,0.532,0.465,0.44
"11","Chacabuco",0.423,0.421,0.442,0.429,0.537,0.477,0.526,0.501,0.449,0.392,0.292,0.371
"12","Chañaral",0.52,0.535,0.414,0.484,0.498,0.481,0.485,0.466,0.467,0.488,0.43,0.408
"13","Chiloé",0.492,0.505,0.504,0.43,0.484,0.433,0.471,0.453,0.423,0.502,0.37,0.441
"14","Choapa",0.419,0.53,0.573,0.518,0.477,0.488,0.451,0.476,0.401,0.446,0.385,0.426
"15","Colchagua",0.438,0.496,0.48,0.505,0.524,0.518,0.487,0.448,0.445,0.414,0.391,0.428
"16","Concepción",0.55,0.524,0.534,0.557,0.561,0.472,0.555,0.515,0.475,0.538,0.42,0.439
"17","Copiapó",0.534,0.511,0.458,0.559,0.507,0.48,0.441,0.465,0.42,0.454,0.423,0.421
"18","Cordillera",0.482,0.521,0.458,0.401,0.449,0.54,0.45,0.498,0.382,0.38,0.36,0.39
"19","Coyhaique",0.536,0.484,0.518,0.488,0.633,0.496,0.554,0.429,0.571,0.52,0.49,0.442
"20","Curicó",0.662,0.573,0.624,0.565,0.529,0.638,0.485,0.516,0.506,0.445,0.401,0.37
"21","El Loa",0.547,0.457,0.513,0.425,0.524,0.429,0.482,0.441,0.42,0.448,0.462,0.421
"22","Elqui",0.538,0.501,0.477,0.512,0.543,0.516,0.556,0.506,0.475,0.427,0.417,0.425
"23","General Carrera",NA,NA,0.561,0.434,0.466,0.54,0.473,0.507,0.546,0.493,0.369,0.436
"24","Huasco",0.595,0.53,0.514,0.526,0.44,0.448,0.482,0.45,0.434,0.462,0.396,0.386
"25","Iquique",0.568,0.51,0.465,0.487,0.487,0.484,0.48,0.427,0.421,0.443,0.444,0.506
"26","Limarí",0.522,0.505,0.475,0.514,0.475,0.58,0.527,0.394,0.39,0.419,0.389,0.392
"27","Linares",0.558,0.552,0.535,0.509,0.503,0.535,0.498,0.488,0.433,0.446,0.39,0.367
"28","Llanquihue",0.501,0.534,0.622,0.557,0.511,0.527,0.514,0.49,0.508,0.502,0.476,0.427
