"","provincia","1990","1992","1994","1996","1998","2000","2003","2006","2009","2011","2013","2015"
"1","Antofagasta",44191,50586,76986,127594,143302,172179,136246,184461,196114,294492,305317,303544
"2","Arauco",22672,38395,37353,56891,61158,69987,80349,78575,122659,107879,142093,163487
"3","Arica",35555,56721,86944,84318,96621,128072,119872,145871,187510,196137,181078,226325
"4","Aysén",31704,65604,59652,96091,106516,122534,109737,158685,179410,239285,213747,244076
"5","Bíobío",47208,34550,45033,108411,105617,209984,83192,112836,144408,148885,141373,183769
"6","Cachapoal",41945,72084,75790,86599,104922,110817,114406,140777,180926,197296,193337,228357
"7","Capitán Prat",NA,NA,NA,85882,108924,76249,110545,196842,182191,333127,262005,325242
"8","Cardenal Caro",23089,33243,32762,46248,68537,73670,109673,95268,130412,174641,139447,183559
"9","Cauquenes",35945,32033,44769,63770,71700,77956,76793,83478,130237,140152,143719,168213
"10","Cautín",41490,42507,78648,70619,108817,108629,105180,125519,146549,183385,170411,189189
"11","Chacabuco",23255,37889,47407,62134,94207,82511,109515,141916,174302,164710,168964,204410
"12","Chañaral",49527,69946,58270,82550,94793,119565,134243,171376,200608,277026,227684,291894
"13","Chiloé",32438,50370,70533,61904,74323,88711,110368,146468,155042,198657,156176,203054
"14","Choapa",18376,37127,46978,52247,66195,72011,70058,114482,131756,157937,143234,196588
"15","Colchagua",23185,37504,42118,69379,83005,95672,100692,113380,146824,162942,162469,206690
"16","Concepción",36639,45362,71034,95852,115417,98464,126563,144707,174454,214712,183535,220142
"17","Copiapó",48010,63311,57768,118345,94921,99110,94748,170294,173566,237782,238709,268364
"18","Cordillera",35682,69227,89384,89790,100115,122098,142559,175404,153696,168497,175615,244236
"19","Coyhaique",36761,50669,71421,89880,174136,144920,185359,153587,249780,310215,271492,315044
"20","Curicó",47475,62247,61956,79978,96802,143788,96155,148769,171433,170789,162112,180245
"21","El Loa",49066,57510,84320,101754,131642,150522,150455,170900,232330,295706,245658,317619
"22","Elqui",33068,47720,61163,91221,113550,115720,136940,140369,184050,192109,199969,231715
"23","General Carrera",NA,NA,48535,78593,71708,103907,91636,207857,284960,261004,196823,254571
"24","Huasco",39387,50552,61569,73910,78118,72354,110273,161926,150519,177160,185397,197342
"25","Iquique",63952,81433,79932,110969,138869,125980,140446,146302,177618,222424,243282,315428
"26","Limarí",28783,48345,51177,57263,64216,100197,102436,84891,116482,142506,154952,165328
"27","Linares",29339,41603,46154,59769,72910,83791,86408,101177,116117,158059,150276,173626
"28","Llanquihue",32087,59659,90621,98305,115354,106996,119580,163914,187436,203327,206378,212268
"29","Los Andes",21819,62265,63374,85745,99843,113903,119373,149521,254415,291533,173230,230453
"30","Magallanes",48148,72604,90702,122372,148719,239112,174912,209808,236923,314440,255962,351024
"31","Maipo",34834,47581,90535,84821,97640,100302,122970,125361,152348,173967,175846,226511
"32","Malleco",28165,32094,50165,70310,59076,66567,86429,99711,105947,157450,150508,184318
"33","Marga Marga",34303,58223,69724,105945,120674,122982,117102,143885,171893,215856,214407,250896
"34","Melipilla",26142,41414,49783,88136,79434,104852,140278,128940,165696,164548,156547,205400
"35","Ñuble",32478,41898,45604,67063,93635,81582,87108,106986,131212,161016,150889,192739
"36","Osorno",39133,54111,74503,69393,90383,100129,104425,132199,175165,175417,183823,185594
"37","Parinacota",NA,NA,NA,54556,90585,84586,77798,99206,106566,138873,165673,191683
"38","Petorca",21855,43689,52836,59717,75518,86023,88992,113671,142284,140147,141477,165858
"39","Quillota",25391,46537,54480,81071,90019,111157,98118,125872,148508,162881,165764,206763
"40","Ranco",53138,81342,55390,54412,56402,74022,73848,105802,127874,161362,170799,192656
"41","San Antonio",23430,50026,54913,88571,94924,97901,96823,124331,147566,154098,171314,199385
"42","San Felipe",42072,52878,57350,72607,78244,95181,96451,109876,154667,183281,164345,182396
"43","Santiago",49648,85386,117832,150673,181373,169720,212226,242443,315954,316291,308267,367729
"44","Talagante",32001,54185,49587,76464,83352,92873,122175,147708,169995,229080,205406,217187
"45","Talca",32279,52172,51731,85679,99578,104709,117384,120262,160078,188298,205230,229474
"46","Tamarugal",34285,55153,30912,36276,82798,104863,84580,134994,150477,174899,154607,191018
"47","Tierra del Fuego",26820,42747,88134,114957,255899,148042,320412,250904,498578,367382,288528,293647
"48","Tocopilla",27293,42470,51630,91121,93620,80901,116734,136655,197798,246086,223387,245455
"49","Última Esperanza",29366,46099,83069,74918,117063,119789,150726,157465,204696,217929,270704,260842
"50","Valdivia",33370,46989,66827,83797,100888,103379,117306,130263,147639,191177,172664,238026
"51","Valparaíso",41613,64008,84389,97954,137519,135054,124718,155649,208065,221064,254826,283346
