"","region","1990","1992","1994","1996","1998","2000","2003","2006","2009","2011","2013","2015"
"1","Antofagasta",45886,52261,77136,117656,137198,159978,139270,178181,206369,292704,285746,304971
"2","Araucanía",41374,42401,78433,70563,99955,98981,100958,120049,138373,178273,166581,188113
"3","Arica y Parinacota",35555,56721,86944,84092,96545,127636,119417,145418,186622,195837,181001,226012
"4","Atacama",47922,60842,58880,101538,90425,94527,103410,168342,170539,227129,225785,251634
"5","Aysén",35195,55202,67696,91766,152438,137597,161275,160441,228272,284481,247409,293119
"6","Bíobío",36895,41860,57088,89935,105471,113316,105148,124370,154509,181107,164636,202709
"7","Coquimbo",31944,47866,56456,77977,94236,106085,119408,123659,161896,176655,183410,211711
"8","Los Lagos",35582,56943,82918,82149,100517,100696,112804,150451,176297,194294,188448,202427
"9","Los Ríos",33410,47056,66802,83538,100509,93558,105864,123883,142606,183706,172204,227533
"10","Magallanes",48026,72420,90656,115981,148262,220624,176616,204943,242255,302886,259040,337856
"11","Maule",32397,52056,52426,76498,90717,107715,100521,120587,149768,172745,175584,195853
"12","Metropolitana",45846,79319,109008,138172,161781,154060,192270,219056,274130,278668,271869,334604
"13","O'Higgins",39641,67972,71812,80964,98114,104596,110551,131736,170124,187834,183220,221259
"14","Tarapacá",63865,81358,79747,110165,134444,124376,136290,145358,175203,218274,234872,307034
"15","Valparaíso",41538,60921,70901,93535,115018,120340,113182,140627,183231,204055,209677,245867
