"","comuna","1990","1992","1994","1996","1998","2000","2003","2006","2009","2011","2013","2015"
"1","Algarrobo",NA,29872,33433,NA,80047,NA,67280,86816,133286,146134,112000,187116
"2","Alhué",12210,25825,29842,NA,38872,53126,55187,67969,139138,118904,127708,181693
"3","Alto Bíobío",NA,NA,NA,NA,NA,NA,NA,40552,42046,104199,49942,93900
"4","Alto del Carmen",NA,27912,28346,30739,55737,44749,60210,90050,114707,109400,113457,139167
"5","Alto Hospicio",NA,NA,NA,NA,NA,NA,55715,66828,112800,119795,136135,148083
"6","Ancud",NA,NA,NA,43338,47334,54647,83309,115010,120576,139962,124974,141500
"7","Andacollo",18392,24676,27029,30714,41444,44337,53771,64621,127687,194335,140625,153151
"8","Angol",18945,22099,28560,38258,33857,45622,64000,82406,76296,121177,128522,133717
"9","Antofagasta",26123,35796,45281,83205,82027,93333,100988,127031,143135,184912,203183,222475
"10","Antuco",NA,18075,24349,NA,NA,45390,44529,65932,72272,96017,106898,123701
"11","Arauco",NA,25847,29506,41893,36511,50000,59520,66582,105699,89136,118611,134095
"12","Arica",22559,33482,49221,54688,70990,62147,72942,93425,133937,131005,130344,160717
"13","Aysén",21396,31223,36308,61565,68502,66573,77280,110828,121550,148329,164667,167256
"14","Buin",20168,25752,40162,NA,64844,61409,81080,82488,133568,132046,147967,151980
"15","Bulnes",15698,22199,25204,NA,NA,43799,61205,74546,81969,102947,89776,120080
"16","Cabildo",NA,24104,31337,36369,46313,46472,58948,75396,111534,121142,109000,143739
"17","Cabrero",NA,19986,26916,NA,NA,53333,43521,69511,75360,87866,89173,134022
"18","Calama",28187,39684,52221,76608,72790,101117,102917,115902,177244,204025,154861,234057
"19","Calbuco",NA,NA,NA,NA,NA,51376,62837,77108,97927,107055,103146,122354
"20","Caldera",NA,31312,37487,72325,52133,61893,66363,89355,137064,146010,131270,180556
"21","Calera",17657,19622,39429,42535,56770,68932,54358,85861,100148,88480,120625,127538
"22","Calera de Tango",17399,29706,32230,85792,54425,60208,90080,108750,110882,136203,164914,161384
"23","Calle Larga",NA,26085,35672,38358,52292,41065,53593,75372,120239,135801,135666,162167
"24","Camarones",NA,NA,NA,NA,43172,49471,67050,128728,146273,171758,127350,123285
"25","Camiña",NA,NA,NA,NA,36287,21334,40556,66195,98745,155615,86895,90726
"26","Canela",NA,NA,25017,NA,33850,43143,42000,56959,82464,78449,82843,114167
"27","Cañete",NA,22832,28386,31822,33468,40226,40584,60600,79102,70842,78528,97008
"28","Carahue",NA,NA,NA,26903,26552,37324,37995,49633,66660,83014,82121,95844
"29","Cartagena",19008,31003,37844,50000,67150,58355,62577,83177,101672,101944,113974,146864
"30","Casablanca",11330,43297,37825,45968,62962,65601,65217,91783,106049,103059,143750,139132
"31","Castro",24833,42891,63421,NA,NA,72225,82694,101300,110764,143796,128812,149436
"32","Catemu",NA,24352,29220,NA,46546,56857,58227,70239,100366,117511,122625,109143
"33","Cauquenes",12749,23050,25073,36206,43925,45167,56141,57064,82992,104169,110808,128667
"34","Cerrillos",NA,38938,66824,57587,85355,92906,103925,114300,149175,128804,174412,152500
"35","Cerro Navia",14850,31529,42001,51300,54467,57218,69581,88896,103830,137734,128774,149968
"36","Chañaral",24821,22681,31594,39050,40645,58792,60856,102787,113116,143841,135520,165252
"37","Chanco",NA,NA,20186,NA,NA,41144,48249,60964,77641,95251,131032,135400
"38","Chépica",NA,NA,NA,35285,37564,44724,46569,67270,90858,103615,108742,127527
"39","Chiguayante",NA,NA,NA,NA,61082,76134,68256,91790,117130,185841,144304,151586
"40","Chile Chico",NA,NA,26348,NA,NA,NA,NA,154952,224175,166333,163439,196809
"41","Chillán",16485,34618,34063,47516,71775,75549,61971,82443,115345,118842,119567,150497
"42","Chillán Viejo",NA,NA,NA,NA,48671,47100,57824,85627,75000,122817,117143,152271
"43","Chimbarongo",18414,25782,26112,33404,43126,43745,52900,62715,85366,103949,125000,137161
"44","Cholchol",NA,NA,NA,NA,NA,NA,NA,60734,68058,72427,95355,86348
"45","Chonchi",16485,24260,36705,NA,NA,50014,60926,93105,98258,106645,106282,123957
"46","Cisnes",NA,NA,NA,61064,80131,96700,90000,112066,128027,130995,134966,164500
"47","Cobquecura",NA,21709,17350,NA,NA,32107,54700,53616,72457,106344,88750,118333
"48","Cochrane",NA,NA,NA,50228,73659,52294,82660,152410,111126,162458,136934,215026
"49","Codegua",NA,NA,27408,NA,NA,50449,NA,82613,111766,112164,130434,153365
"50","Coelemu",NA,17374,23973,NA,NA,40144,49466,62691,79868,68030,121647,123178
"51","Coihueco",12257,18971,19278,24140,28162,33942,39763,52873,70207,68654,89752,117447
"52","Coinco",NA,NA,NA,NA,NA,NA,NA,93154,109829,116462,105845,126291
"53","Colbún",NA,NA,23305,37716,45930,46676,40143,59426,95853,118152,92223,136007
"54","Colina",14669,26288,32692,47639,57484,56000,61900,104535,123273,140191,161377,147997
"55","Collipulli",11784,21718,23140,28958,33064,40452,44909,53245,78896,94617,101964,110389
"56","Coltauco",NA,NA,NA,36327,53547,45414,63804,88573,92246,136736,123750,151092
"57","Combarbalá",12026,22035,21160,34050,36131,50738,52247,68175,95022,83893,134294,107647
"58","Concepción",21581,33772,52955,61175,102824,85912,79397,97770,125864,117474,158012,174649
"59","Conchalí",24485,32617,53550,60860,68637,75765,81593,109695,124147,162969,132744,167943
"60","Concón",NA,NA,NA,NA,106775,78297,81821,132653,195000,94075,203660,238980
