"","provincia","1990","1992","1994","1996","1998","2000","2003","2006","2009","2011","2013","2015"
"1","Antofagasta",26123,34782,45107,79296,80807,91300,99108,125904,143052,187719,201046,220057
"2","Arauco",15712,22142,24480,35309,35908,40706,49062,57425,85453,81784,101983,117865
"3","Arica",22559,33762,49221,54688,70870,61655,72823,93425,133963,131135,130963,160112
"4","Aysén",19357,34787,36654,61565,68502,66598,77280,110828,123915,146995,162500,166529
"5","Bíobío",18120,20024,27102,44605,46853,52069,53235,69160,92858,103545,105563,130989
"6","Cachapoal",24348,42174,48311,52534,57104,70150,76192,90677,121502,138018,140260,168104
"7","Capitán Prat",NA,NA,NA,50228,81390,52440,81667,152410,111126,176174,142737,215026
"8","Cardenal Caro",10864,18973,27117,30268,43440,48389,68900,65663,96472,126904,123195,134974
"9","Cauquenes",13877,15821,23736,36206,43769,44425,52956,58191,81437,99060,117000,131016
"10","Cautín",20877,28797,43813,39138,48875,49400,52283,74481,84717,101376,112059,130000
"11","Chacabuco",16022,26470,32130,47639,54547,57305,62500,87794,116209,129385,160400,159834
"12","Chañaral",32159,38760,43911,55707,60840,83715,81515,115316,138463,167954,153500,228600
"13","Chiloé",18870,28835,46950,43380,47334,61682,73079,97430,112970,119900,120984,140625
"14","Choapa",13200,19610,23666,31111,44195,47278,48342,75184,99168,107387,107378,148215
"15","Colchagua",17820,23810,26615,44000,46960,54567,61028,77390,97746,116918,122067,150033
"16","Concepción",19800,26496,39518,48780,59404,63542,68193,84683,113504,121870,133333,150000
"17","Copiapó",27660,39018,39726,58704,56070,60714,68211,110845,133824,164405,172095,190652
"18","Cordillera",21101,44776,62582,67387,73312,71133,99598,105195,121740,133110,145592,187440
"19","Coyhaique",19980,32068,39123,54592,82276,91323,102901,119167,126159,173823,170000,217845
"20","Curicó",19600,29984,28296,39992,54509,60867,59601,84128,101719,117632,116572,141986
"21","El Loa",28187,39140,52051,76213,72790,101105,102216,115902,176500,204932,153750,234057
"22","Elqui",18834,26899,38929,51875,63383,69767,75323,84535,114177,132178,148400,160000
"23","General Carrera",NA,NA,24042,57854,47015,56120,67100,121898,176953,154496,155899,167584
"24","Huasco",17146,28671,36896,41751,54039,51770,74850,115470,111420,115028,133867,145972
"25","Iquique",34607,46510,52051,78000,84717,87303,88333,109944,132874,159595,165390,186899
"26","Limarí",16473,28341,32564,34875,41504,50936,61147,62227,85793,100620,118333,126750
"27","Linares",15376,22618,25708,34618,41323,48603,53890,65544,84005,103230,109855,137160
"28","Llanquihue",19710,32335,36742,49770,67695,60480,71133,100612,110181,123212,130887,147502
"29","Los Andes",17160,40002,41870,56450,65181,69174,71793,94670,177292,190000,127736,174444
"30","Magallanes",28965,42526,68116,77805,84486,122058,109798,134216,165162,198987,183333,240000
"31","Maipo",23831,29920,58550,51667,59983,62827,71096,89944,120517,117472,130000,164286
"32","Malleco",14100,20164,26525,34167,33475,39307,51737,58949,75000,99363,108928,117349
"33","Marga Marga",26464,37488,46576,68370,77350,82500,82352,105489,124665,131262,160578,180000
"34","Melipilla",16910,25900,35700,50521,50388,59758,67673,84167,116924,119066,127353,153494
"35","Ñuble",16485,22062,26880,37785,56585,49798,50979,67618,90329,107802,108725,134333
"36","Osorno",14874,30331,38563,36152,52495,47500,56114,80902,110128,110198,122057,140000
"37","Parinacota",NA,NA,NA,34000,53145,31603,50329,69756,80098,107120,105646,128522
"38","Petorca",12813,25329,32634,39450,44922,51309,64528,78141,108586,105367,123333,138731
"39","Quillota",17662,26299,38049,56442,59335,65000,66271,86699,102000,114454,128150,152690
"40","Ranco",20737,56700,32921,31533,30818,39837,45800,61605,80994,105009,109758,135011
"41","San Antonio",15097,32818,37128,53908,61908,65875,67262,79040,109604,118859,128403,155983
"42","San Felipe",19328,30244,36075,45660,53453,59109,65042,84040,109178,124372,129926,150167
"43","Santiago",24698,41890,56624,80019,89267,88270,101430,128799,163000,164100,178636,213719
"44","Talagante",18040,29008,35299,43650,52949,63750,75450,93496,115050,153583,144102,157026
"45","Talca",18120,27606,34122,44320,56820,62084,65416,80580,97783,121117,133821,152821
"46","Tamarugal",25414,33184,20242,23225,53936,58290,60032,85814,98537,137963,128313,148571
"47","Tierra del Fuego",25231,29134,60226,71007,73573,101973,130606,139923,201659,157628,211800,226125
"48","Tocopilla",18551,28338,34501,52917,60302,53366,91752,105683,133080,184850,166382,178222
"49","Última Esperanza",16314,27938,44323,53904,68013,68475,67907,104070,132815,133074,132128,177679
"50","Valdivia",19992,30045,37760,44238,51712,58409,57091,75232,97988,117225,117961,150000
"51","Valparaíso",22046,36479,54107,59323,73342,87522,82982,90130,123259,138293,160725,184524
