"","region","1990","1992","1994","1996","1998","2000","2003","2006","2009","2011","2013","2015"
"1","Antofagasta",26458,35185,45281,76732,77618,92225,100050,122432,145233,193654,189527,224710
"2","Araucanía",20877,28794,43802,37778,45350,46812,52166,70781,82858,101008,111226,127080
"3","Arica y Parinacota",22559,33762,49221,54688,70870,61543,72763,93409,133293,130789,130938,160000
"4","Atacama",27660,35800,39633,55000,55717,60000,73075,111764,129958,152581,161472,182936
"5","Aysén",19850,32190,37840,55833,76493,85188,91389,117833,128415,163446,164191,201624
"6","Bíobío",18670,23919,31415,45968,53385,56537,59936,75405,100505,109400,117328,140418
"7","Coquimbo",18541,27238,34776,43964,53950,60883,66667,77661,104775,123987,135864,150452
"8","Los Lagos",17333,31109,37825,45000,59670,56975,67500,93642,110403,117864,125000,144017
"9","Los Ríos",19993,30047,37760,44222,51237,52373,53551,71387,92850,113285,114436,145159
"10","Magallanes",28897,42526,67851,75004,83141,108362,103050,126786,163566,185611,179197,230750
"11","Maule",18057,27600,28846,40524,51058,56520,59027,76682,94734,114043,120875,143343
"12","Metropolitana",23744,39848,54662,74498,80996,81232,96147,116658,147500,150714,165714,201900
"13","O'Higgins",22859,38098,44588,48792,53728,64388,72493,85627,112765,134047,134028,162500
"14","Tarapacá",34513,46430,52051,77950,82077,85739,86927,108608,128917,155313,160302,183333
"15","Valparaíso",22046,35425,45045,57778,66478,75564,75306,90205,120000,131224,144040,169167
