"","provincia","1990","1992","1994","1996","1998","2000","2003","2006","2009","2011","2013","2015"
"1","Antofagasta",42618,50617,76986,125939,143150,172179,136246,184461,196188,293783,304351,303113
"2","Arauco",17790,37310,37353,51784,59852,69987,80349,78575,124094,109028,143326,167577
"3","Arica",35584,56582,87166,84318,96621,128072,119872,145871,187595,196318,180028,229339
"4","Aysén",34829,60440,56552,95234,114141,125282,115372,158685,176356,237501,213481,241568
"5","Bíobío",38102,35904,45033,89253,88227,209984,83192,112836,145798,149152,142933,196291
"6","Cachapoal",34073,59716,65151,78599,96064,102847,108435,140777,180092,196258,196625,231501
"7","Cardenal Caro",23089,33243,32762,47321,63701,73670,83866,95268,129820,171471,138773,184081
"8","Cauquenes",35187,34795,44769,63770,54032,77956,76793,83478,130810,137870,144082,160531
"9","Cautín",31960,40063,68348,67045,104991,108629,105180,125519,144204,183700,167268,200592
"10","Chacabuco",23163,35964,47407,62134,94207,82511,109515,141916,186383,165725,166476,190899
"11","Chañaral",49527,69075,58270,82550,94793,119565,134203,171376,209565,274304,241759,237771
"12","Chiloé",31751,52198,69863,63705,71174,88711,110368,146468,155016,194012,158204,220347
"13","Choapa",18376,38584,46978,52247,66195,72011,70058,114482,131940,168131,144799,193552
"14","Colchagua",20159,39882,42795,63817,76884,89293,92339,113380,143916,160105,164153,219668
"15","Concepción",35943,45458,71034,93928,112805,98471,126563,144707,174015,215814,183587,220002
"16","Copiapó",42471,63479,57768,130354,94921,99110,94748,170294,172805,237778,236489,274724
"17","Cordillera",35837,68779,89384,89790,100115,122098,142559,175404,153999,167962,174613,237612
"18","Coyhaique",36628,49046,71229,89880,174136,144920,185359,153587,252083,303953,272150,314732
"19","Curicó",48633,62930,61956,74212,85415,143788,96155,148769,185486,167440,163477,192397
"20","El Loa",48759,57629,84320,101803,131642,150522,150455,170900,231818,293387,247183,316187
"21","Elqui",32701,42968,61163,84818,113550,115720,136940,140369,181229,192004,200515,233539
"22","Huasco",38487,50389,61569,66765,78118,72354,110273,161926,150907,176851,186008,194866
"23","Iquique",63952,80745,79932,110969,138869,125980,140446,146302,180143,227765,249419,307944
"24","Limarí",23479,42421,51177,55190,64216,100197,102436,84891,116762,141700,159677,169469
"25","Linares",29472,42399,46154,53279,68426,83791,86408,101177,114848,159763,148228,176496
"26","Llanquihue",43966,53272,71268,82236,100918,106996,119580,163914,183026,201103,202757,215786
"27","Los Andes",21819,51410,63374,68003,99843,110067,119373,149521,272532,280115,173362,265242
"28","Magallanes",48184,73743,90702,122406,148719,239112,174912,209808,236691,314646,256141,355518
"29","Maipo",35634,48221,90535,78469,97640,100302,122970,125361,152173,169815,177372,224762
"30","Malleco",28213,31891,51955,56235,51976,66567,86429,99711,106043,156166,151335,202518
"31","Marga Marga",34303,57340,69724,105945,120674,122982,117102,143885,177423,213035,215041,256780
"32","Melipilla",26072,38149,49783,83336,79434,104852,140278,128940,170811,165111,156117,212045
"33","Ñuble",27671,40961,45604,54895,81859,81582,87108,106986,129473,160360,150575,221109
"34","Osorno",37539,48678,67633,60980,75771,90541,104425,132199,168054,175485,180206,190227
"35","Petorca",19478,41688,52836,59717,75518,86023,88992,113671,142714,143614,142068,170310
"36","Quillota",25781,48532,54480,74055,90019,111157,98118,125872,149419,159954,164745,215881
"37","Ranco",53138,81342,55390,63363,60370,74022,73848,105802,125493,161234,173265,199479
"38","San Antonio",23430,51819,54913,85006,94924,96737,96823,124331,148727,149708,175886,203739
"39","San Felipe",42386,45437,57350,67991,78244,92559,96451,109876,156259,184864,158410,195194
"40","Santiago",50198,85409,117832,153842,181373,196933,212226,242443,326900,330976,325435,348813
"41","Talagante",31965,55540,49587,76383,83352,92873,122175,147708,165424,232573,205825,249605
"42","Talca",30943,47324,51731,73142,87515,104709,117384,120262,156419,185237,202113,246168
"43","Tamarugal",32664,51651,32032,52648,82798,104863,84580,134994,146066,174532,160514,211634
"44","Tierra del Fuego",26820,42747,81393,115118,255899,148042,320412,251607,426385,364636,287457,299314
"45","Tocopilla",27293,42470,51630,87169,91776,80901,116734,136655,195971,244812,226059,235811
"46","Última Esperanza",30319,43992,61839,74723,117063,119789,150726,157465,203880,218055,270802,265117
"47","Valdivia",27060,42635,49956,74937,90038,95684,117306,130263,145502,191532,170418,252071
"48","Valparaíso",40206,64320,84389,95888,137519,132966,124718,155649,205519,223894,255207,301648
"49","General Carrera",NA,NA,52509,83775,71728,99137,87176,207857,283359,250816,202339,276953
"50","Capitán Prat",NA,NA,NA,87677,105325,79937,110490,196842,180033,323895,261468,320757
"51","Isla de Pascua",NA,NA,NA,188470,NA,NA,NA,NA,NA,NA,NA,NA
"52","Parinacota",NA,NA,NA,52548,90063,84586,75763,99206,106368,138478,167133,173818
"53","Palena",NA,NA,NA,NA,NA,62482,114469,149258,186440,NA,NA,NA
"54","Antártica",NA,NA,NA,NA,NA,NA,NA,246919,267315,NA,NA,NA
