"","region","1990","1992","1994","1996","1998","2000","2003","2006","2009","2011","2013","2015"
"1","Antofagasta",43458,52050,77136,116184,136241,159978,139270,178181,204854,290708,285352,304240
"2","Araucanía",30983,37400,63174,64366,89513,98981,100958,120049,136118,178558,163481,200910
"3","Arica y Parinacota",35584,56582,87166,83267,96539,127636,119410,145418,186927,196077,179951,229080
"4","Atacama",42734,60688,58880,105457,90425,94527,103396,168342,171769,224674,222903,257235
"5","Aysén",35976,52997,64116,91340,144572,132897,153070,160441,230819,282774,249650,291527
"6","Bíobío",32132,41907,57088,80040,96232,113320,105148,124370,153826,182591,165067,211702
"7","Coquimbo",28632,42483,56456,72809,94236,106085,119408,123659,158748,176726,185540,220051
"8","Los Lagos",39828,51437,69811,72220,88077,97016,112804,150451,171253,192283,185291,209881
"9","Los Ríos",29493,46040,50589,68924,73992,89957,105864,123883,140955,183907,171127,240594
"10","Magallanes",44845,68315,86614,116011,148262,220624,176616,204951,239277,303222,259262,341183
"11","Maule",35011,48108,52426,67617,79527,107715,100521,120587,155600,169628,172160,210260
"12","Metropolitana",46914,79274,109008,136068,161781,175540,192270,219056,287132,294510,291731,318139
"13","O'Higgins",29425,52707,58011,72893,89255,97728,102850,131736,169035,187564,187000,227951
"14","Tarapacá",61422,78541,75167,107159,134444,124376,136290,145358,177979,224118,243429,303135
"15","Valparaíso",33457,56057,70901,88465,115018,118685,113182,140627,187144,204685,213775,261776
