"","region","1990","1992","1994","1996","1998","2000","2003","2006","2009","2011","2013","2015"
"1","Antofagasta",26458,35185,45281,76732,77709,92225,100050,122432,145233,193654,189527,224710
"2","Araucanía",21326,28886,44345,37778,45350,46812,52166,70781,82858,101008,111226,127080
"3","Arica y Parinacota",22559,33762,49221,54688,70870,61543,72763,93409,133293,130789,130938,160000
"4","Atacama",27707,35800,39633,55000,55717,60000,73075,111764,129958,152581,161472,182936
"5","Aysén",19850,32190,37841,55951,76749,85445,91408,117833,128415,163446,164191,201624
"6","Bíobío",18678,23919,31415,45969,53385,56539,59936,75405,100505,109400,117328,140418
"7","Coquimbo",18541,27238,34776,43970,53950,60883,66667,77661,104775,123987,135864,150452
"8","Los Lagos",17337,31112,37915,45000,59670,56975,67500,93642,110403,117864,125000,144017
"9","Los Ríos",20000,30048,37822,44238,51712,52373,53551,71387,92850,113285,114436,145159
"10","Magallanes",28965,42526,68116,75004,83141,108362,103050,126786,163566,185611,179197,230750
"11","Maule",18120,27612,28846,40563,51074,56520,59027,76682,94734,114043,120875,143343
"12","Metropolitana",23744,39848,54662,74498,80996,81227,96147,116658,147500,150714,165714,201900
"13","O'Higgins",23071,38638,44667,48847,53728,64471,72584,85627,112765,134047,134028,162500
"14","Tarapacá",34607,46510,52051,77950,82077,85739,86927,108608,128917,155313,160302,183333
"15","Valparaíso",22046,35437,45045,57795,66478,75564,75306,90205,120000,131224,144040,169167
