"","region","1990","1992","1994","1996","1998","2000","2003","2006","2009","2011","2013","2015"
"1","Antofagasta",34338.5217883155,42012.2735959395,56809.730162767,73229.7855877141,87058.5595488434,95174.4658927142,104887.092803895,138350.014816464,160371.34797665,231758.544212722,220597.827897556,181879.093703216
"2","Araucanía",23171.2647176535,28513.7687314666,50283.7890839545,42630.5537691091,54404.3080796529,53707.8207973714,55278.6066764133,68339.6005562905,90997.2998713813,120234.246308118,126738.609342704,108804.877915106
"3","Atacama",32595.9923930269,42846.5994860499,47404.839596137,63786.4847977685,64754.6829149798,67650.3592144718,80710.7911402277,107942.699844061,126333.95793731,185137.378635409,193490.122079226,156747.342859134
"4","Aysén",30710.4770193923,45117.4710180224,51463.9299413196,63712.0592417062,93845.4908437645,99863.9492864424,111451.381526104,140667.566705676,170394.257172131,221463.700369914,202574.560226301,175953.318467971
"5","Biobío",24248.1332113672,26140.0417624546,30530.8468151379,49373.0771818722,66297.4991390528,52457.9050538145,64542.8996729736,74679.0038909902,98171.3215256875,133712.128457309,131209.42806243,119223.909495281
"6","Coquimbo",24109.5423277864,32839.1513414354,39076.970903766,51416.4473279836,57579.9127189618,56759.2127687904,70030.3068928326,83158.5973487948,115149.576618588,147057.562821047,150089.088585848,123920.120957258
"7","Los Lagos",26656.8342775196,37544.7593886558,52625.1342226092,53337.5590697674,67067.6066205378,61988.1783865755,72643.2173677069,93449.8812723118,115046.142295547,154351.847679802,141100.518611535,118802.334338743
"8","Magallanes",34076.4097430407,58941.7332082552,75712.3206688597,71682.869297164,127851.651732882,112663.535400084,156981.588209415,157636.648108632,232394.006996771,240584.011957796,223918.446206765,209383.991877644
"9","Maule",26067.6596008456,36918.5525914041,33988.9109529141,46391.0960751797,57357.8004619575,61250.2964261357,62097.6753641065,75051.9536923001,103554.90115903,128555.989643511,130368.220298491,113310.077730465
"10","Metropolitana",31693.9942059983,62525.7446231947,82123.2769537768,103133.794541081,115000.711146895,105135.691484197,149375.786284583,151491.504775082,170277.377977924,250188.106650348,226773.663750158,198380.567695994
"11","O'Higgins",24455.8867542832,42518.1915844298,47429.444554238,49651.9740331492,62204.3313269519,61411.0525683181,76457.6532448646,84568.5244930052,113122.961214223,142786.417248989,138995.020899434,122086.715916133
"12","Tarapacá",37157.6463373539,53593.5024662846,60601.5510781431,67014.6287377613,68847.8409047755,72634.184375949,76611.472545032,93904.8512465954,127223.472295515,185189.695115059,197368.749449339,158197.005898635
"13","Valparaíso",25609.7002616945,44134.1484043066,46463.0210173444,68043.4115143057,72199.5500847421,73709.3800153007,81409.8883152503,99106.1795275324,126929.064189333,163452.399432674,168112.487380135,136902.093924345
"14","Arica y Parinacota",NA,NA,NA,NA,NA,NA,NA,81495.2058080808,118644.021830005,166886.768032787,145006.313183273,133549.288388695
"15","Los Ríos",NA,NA,NA,NA,NA,NA,NA,80389.1795649308,96068.7157868649,146267.512164535,129890.746556474,108186.045827851
"16","País",28755.4111378804,43400.9025771043,51513.289624724,66787.5981270903,81378.3323208707,72675.5714173414,89318.0315176911,100998.307813049,125755.423555303,176338.233600321,167087.4508474,147376.341618462
