"","region","provincia","comuna","1990","1992","1994","1996","1998","2000","2003","2006","2009","2011","2013","2015"
"1","Antofagasta","Antofagasta","Antofagasta",21140,28613.3333333333,37485,66099,70280,75000,79281.6666666667,98800,112970,164100,166666.666666667,120000
"2","Antofagasta","Antofagasta","Mejillones",19800,30401.6666666667,43081.8571428571,46500,NA,NA,NA,79040,128916.666666667,133468,155000,124000
"3","Antofagasta","Antofagasta","Sierra Gorda",19932,27591.4285714286,30260,60000,65009,51250,69166.6666666667,88880,110500,149513.333333333,1e+05,1e+05
"4","Antofagasta","Antofagasta","Taltal",NA,21460,26775,40714.2857142857,47951.25,50000,60000,95950,110500,198925.666666667,156666.666666667,1e+05
"5","Antofagasta","El Loa","Calama",20133.3333333333,31434,45160.5,53333.3333333333,58592.375,62238.25,80000,84166.6666666667,127492.857142857,159452.833333333,148968.6,116666.666666667
"6","Antofagasta","El Loa","San Pedro de Atacama",NA,19620.5714285714,21420,33333.3333333333,54502.8571428571,48855.7142857143,70000,93064.2857142857,104975,151908,93333.3333333333,125000
"7","Antofagasta","Tocopilla","María Elena",NA,NA,33468.75,53333.3333333333,60240,NA,86428.5714285714,88375,114920,148784,148000,141250
"8","Antofagasta","Tocopilla","Tocopilla",15504,24740.4285714286,24418.8,40860,50702,51428.5714285714,70000,76760,103133.333333333,150626.666666667,137500,1e+05
"9","Araucanía","Cautín","Carahue",NA,NA,NA,17674.0555555555,16757.1428571429,28185.2857142857,21692.3076923077,30089.75,55244.5,71766.4,50000,50000
"10","Araucanía","Cautín","Cholchol",NA,NA,NA,NA,NA,NA,NA,30300,40504.2857142857,58346.6666666667,75000,56571.4285714286
"11","Araucanía","Cautín","Cunco",NA,NA,NA,NA,NA,26250,30000,47470,53408.3333333333,65640,75000,61000
"12","Araucanía","Cautín","Curarrehue",NA,NA,NA,30645,29325,32897.7777777778,26666.6666666667,47874,49725,79643.2,68888.8888888889,62340.3333333334
"13","Araucanía","Cautín","Freire",NA,NA,NA,23333.3333333333,22439.4,25000,24850,34087.5,47883.3333333333,65640,70000,70000
"14","Araucanía","Cautín","Galvarino",NA,NA,NA,NA,NA,21333.3333333333,21126.2,25250,45872.6666666667,58271.6666666667,57500,50000
"15","Araucanía","Cautín","Gorbea",NA,NA,16643,33010.6666666666,23928.6666666667,40000,35000,40400,66300,54700,74561.6666666667,80166.6666666667
"16","Araucanía","Cautín","Lautaro",NA,NA,NA,20694.2857142857,27916.6666666667,33333.3333333333,34250,49400,61197.5,65640,78333.3333333333,67083.3333333333
"17","Araucanía","Cautín","Loncoche",NA,NA,NA,25161.25,29325,26666.6666666667,36666.6666666667,45450,60775,98460,90000,65708.3333333333
"18","Araucanía","Cautín","Melipeuco",NA,NA,NA,NA,NA,21250,25000,37875,54773.3333333333,83177.25,73333.3333333333,71250
"19","Araucanía","Cautín","Nueva Imperial",NA,NA,NA,27328,NA,30000,NA,49377.7777777778,62248.3333333333,78995.3333333333,52500,62500
"20","Araucanía","Cautín","Padre Las Casas",NA,NA,NA,26000,27091.2,32583.3333333334,38643.5,47133.3333333333,57520.1111111112,61620,85000,60000
"21","Araucanía","Cautín","Perquenco",NA,NA,NA,NA,NA,22448.3333333333,28750,37033.3333333333,58685.7142857143,68466.6666666667,70000,68750
"22","Araucanía","Cautín","Pitrufquén",17395.2,20655.25,NA,23987,31280,NA,33666.6666666667,42813.3333333333,68878.3333333333,69286.6666666667,96750,75000
"23","Araucanía","Cautín","Pucón",9900,16095,22695,15125,24096,NA,36104,56032,69615,102106.666666667,90000,80000
"24","Araucanía","Cautín","Saavedra",7671.75,14306.6666666667,5140.8,14301,NA,15666.6666666667,13857.1428571429,21280,41990,49230,77500,62500
"25","Araucanía","Cautín","Temuco",14122.3333333333,21460,35190,40000,62750,59366.5,63360,79186.6666666667,79560,103930,101750,83333.3333333333
"26","Araucanía","Cautín","Teodoro Schmidt",8250,19314,NA,16396.8,19550,18260,NA,NA,54470.25,54773.3333333333,50000,53333.3333333333
"27","Araucanía","Cautín","Toltén",7593.14285714286,14677.5,10710,NA,NA,NA,20000,32825,51350,71890,51666.6666666667,56666.6666666667
"28","Araucanía","Cautín","Vilcún",NA,NA,NA,20430,26080,NA,30000,33666.6666666667,55250,65640,70000,60000
"29","Araucanía","Cautín","Villarrica",19800,25036.6666666667,32130,30000,34610,33333.3333333333,50000,51376,89006.6666666667,75917.25,96750,75000
"30","Araucanía","Malleco","Angol",16912,18241,25704,24000,27215,30000,50640,55381.6666666666,65728,91166.6666666667,112500,70000
"31","Araucanía","Malleco","Collipulli",8154,13795.7142857143,11067,24002.625,27610,28416.6666666667,32933.3333333333,35927.2727272727,68466.6666666667,77947.5,75000,75000
"32","Araucanía","Malleco","Curacautín",9060,13412.5,28421.75,20000,22509.75,NA,36666.6666666667,39520,55250,89975,66666.6666666667,72500
"33","Araucanía","Malleco","Ercilla",NA,NA,NA,NA,NA,20000,24286.5,30300,47883.3333333333,46978.3333333333,55714.2857142857,60000
"34","Araucanía","Malleco","Lonquimay",NA,NA,NA,20000,19550,25000,26250,39520,53408.3333333333,65275.3333333333,66000,75000
"35","Araucanía","Malleco","Los Sauces",NA,NA,NA,12258,20080,28000,25844,38957.1428571429,60036.5,71474.6666666667,74000,72000
"36","Araucanía","Malleco","Lumaco",NA,NA,NA,NA,NA,23912.5,28750,35350,44195.6,65640,70000,58260.6666666667
"37","Araucanía","Malleco","Purén",NA,NA,NA,29251.0714285714,39100,NA,24700,40400,55986.6666666667,68466.6666666667,54821.4285714286,50000
"38","Araucanía","Malleco","Renaico",12728.5714285714,20794.8,15850.8,NA,NA,28000,32000,36360,61620,64272.5,73333.3333333333,62666.6666666667
"39","Araucanía","Malleco","Traiguén",10066.6666666667,14306.6666666667,32130,22983.75,25362.8571428571,NA,34182,40400,58933.3333333333,46215,75000,61875
"40","Araucanía","Malleco","Victoria",10469.3333333333,13949,16493.4,19875,26066.6666666667,28571.4285714286,35000,45450,56769.375,69100,87500,70000
"41","Arica Y Parinacota","Arica","Arica",18422,25036.6666666667,33712.75,40860,50438.7083333334,46666.6666666667,53846.6666666667,69160,96687.5,110515,101428.571428571,81666.6666666667
"42","Arica Y Parinacota","Arica","Camarones",NA,NA,NA,NA,NA,NA,NA,59280,73944,154050,1e+05,43928.5714285714
"43","Arica Y Parinacota","Parinacota","Putre",NA,NA,NA,30645,62625.5833333334,41880,49400,49400,55250,96356.6666666665,78750,75000
"44","Atacama","Chañaral","Chañaral",19800,20657.2222222222,26775,33333.3333333333,35403.6363636364,NA,57351.1111111111,70655.6,102700,115477.777777778,112857.142857143,1e+05
"45","Atacama","Chañaral","Diego de Almagro",36240,45244.8333333333,49980,54285.7142857143,56224,67500,65866.6666666667,94940,110223.75,138664.5,150000,108125
"46","Atacama","Copiapó","Caldera",NA,26825,33831.2857142857,39073.75,56224,50000,53771.4285714286,72453.3333333333,102212.5,127451,1e+05,112416.666666666
"47","Atacama","Copiapó","Copiapó",19800,30848.75,33660,46666.6666666667,46895,NA,54500,84166.6666666667,104975,145866.666666667,160000,1e+05
"48","Atacama","Copiapó","Tierra Amarilla",13529.6,25245.25,30345,40000,45180,45750,50000,74336,91218.125,140032,137500,80000
"49","Atacama","Huasco","Alto del Carmen",NA,19570,21738.75,24453.3333333333,43423,35011.1111111111,50000,55147.25,95225,105024,89000,116666.666666667
"50","Atacama","Huasco","Freirina",9422.4,18066,17850,33198.75,33968.5714285714,31250,51000,59142,85085,122487.5,1e+05,1e+05
"51","Atacama","Huasco","Huasco",9664,24142.5,29345.4,NA,40160,38700,59280,78780,100664,116693.333333333,150000,85416.6666666667
"52","Atacama","Huasco","Vallenar",14668.5714285714,21460,30600,33333.3333333333,43292.6666666667,43333.3333333333,53333.3333333333,73008.5714285714,88400,102700,125000,83333.3333333333
"53","Aysén","Aysén","Aysén",19800,24142.5,32283,41736.2333333334,NA,NA,NA,NA,105140,138573.333333333,133333.333333333,1e+05
"54","Aysén","Aysén","Cisnes",NA,NA,NA,30400,50200,NA,70571.4285714286,101000,126824.25,109400,120000,133333.333333333
"55","Aysén","Capitán Prat","Cochrane",NA,NA,NA,40860,50451,49140,75000,134370,96297.5,169570,136666.666666667,120250
"56","Aysén","Coyhaique","Coyhaique",17314.6666666667,27208.2142857143,34272,42500,58232,NA,70000,98800,110440,135075,132857.142857143,120000
"57","Aysén","General Carrera","Chile Chico",NA,NA,22491,NA,NA,NA,NA,96960,154050,154050,139060.75,125000
"58","Aysén","General Carrera","Río Ibáñez",NA,NA,NA,28166.6666666667,32328.8,NA,65000,73113.3333333333,82160,103930,105000,1e+05
"59","Biobío","Arauco","Arauco",NA,21460,24276,30753.25,29325,33750,50000,47133.3333333333,82160,87520,1e+05,86666.6666666667
"60","Biobío","Arauco","Cañete",NA,15361.8333333333,18912.5,23048.8857142857,26940.6666666667,NA,26346.6666666667,42420,55250,58346.6666666667,64875,63666.6666666666
"61","Biobío","Arauco","Contulmo",NA,13193,13387.5,13271,19684.5,25000,32933.3333333333,34580,55250,63965,70000,60000
"62","Biobío","Arauco","Curanilahue",11743.5714285714,16095,14994,24897.75,31124,32434,40000,41325.8333333334,57460,73944,88750,75000
"63","Biobío","Arauco","Lebu",10066.6666666667,14306.6666666667,17136,25177.3333333333,23594,30000,39520,37875,48062.25,65640,59495.4,75000
"64","Biobío","Arauco","Tirúa",NA,14306.6666666667,7735,NA,NA,NA,28392.5,29290,57768.75,53025,73333.3333333333,60000
"65","Biobío","Biobío","Alto Biobío",NA,NA,NA,NA,NA,NA,NA,27270,55250,95182.1428571429,64444.4444444444,60000
"66","Biobío","Biobío","Antuco",NA,15098.6428571428,17595,NA,NA,30000,42000,51640,70443.75,62960,1e+05,90000
"67","Biobío","Biobío","Cabrero",NA,15656,20836,NA,NA,40000,38571.4285714286,53866.6666666667,66300,80226.6666666667,77142.8571428571,75000
"68","Biobío","Biobío","Laja",NA,18106.875,35700,30822.5,35857.1428571429,30000,50000,52693.3333333333,77350,79315,70000,82166.6666666667
"69","Biobío","Biobío","Mulchén",9900,13806,15300,23901.5,23343,NA,35000,39520,60775,87520,105000,75000
"70","Biobío","Biobío","Nacimiento",NA,18492.8928571428,26775,27333.3333333333,33466.6666666667,43824,49400,54287.5,71890,83579.5,71428.5714285714,86666.6666666667
"71","Biobío","Biobío","Negrete",NA,15022,17403.75,22000,26104,25000,28833.3333333333,41121.4285714286,66300,78768,70000,66000
"72","Biobío","Biobío","Quilaco",NA,16095,12608.3333333333,14949.2857142857,21335,22500,26666.6666666667,37929.1666666667,55250,76580,110000,80333.3333333333
"73","Biobío","Biobío","Quilleco",NA,14306.6666666667,14994,NA,NA,24166.6666666667,32933.3333333333,39642.5,55250,66369.3333333333,66666.6666666667,75000
