"","provincia","1990","1992","1994","1996","1998","2000","2003","2006","2009","2011","2013","2015"
"1","Antofagasta",20798.2222222222,27591.4285714286,34807.5,56021.4285714286,60240,60000,70000,90900,114183.333333333,164100,166250,116666.666666667
"2","Arauco",11274.6666666667,15022,16660,25378.8235294118,28042.1428571429,30000,37500,39137.5,58933.3333333333,66369.3333333333,75000,70000
"3","Arica",18422,25036.6666666667,33712.75,40860,45628.8888888889,44955.9,52693.3333333333,67333.3333333333,92485.3333333333,110931.6,100714.285714286,80000
"4","Aysén",19800,24142.5,32283,35022.8571428571,51338.6666666667,58979.8,70812.4,98475,110500,132738.666666667,133333.333333333,103333.333333333
"5","Bíobío",12563.2,14753.75,18383.4,28147.1428571429,32128,30433.3333333333,38333.3333333333,45450,64458.3333333333,78768,83333.3333333333,80000
"6","Cachapoal",17602.2857142857,26825,31346.6666666667,34000,42168,45000,59280,64640,91162.5,109400,105000,80333.3333333333
"7","Capitán Prat",NA,NA,NA,40860,50451,49140,75000,134370,96297.5,169570,136666.666666667,120250
"8","Cardenal Caro",10570,14306.6666666667,18564,26666.6666666667,32923.2142857143,36000,52500,51762.5,77350,100374.5,96666.6666666667,80000
"9","Cauquenes",8633.25,11742,16065,26000,29325,30433.3333333333,39520,43766.6666666667,64187.5,68192.6666666667,86000,65833.3333333333
"10","Cautín",11880,19570,24208,24600,28446.6666666667,30000,30000,42211,58933.3333333333,75917.25,83333.3333333333,66666.6666666667
"11","Chacabuco",15006.2222222222,23069.5,28560,41699.7,48875,46000,56857.1428571429,67333.3333333333,102212.5,109400,116666.666666667,80000
"12","Chañaral",25972,31245,37825,41815.5,45733,60000,60000,83436.5,103268.75,126904,125000,1e+05
"13","Chiloé",14850,22354.1666666667,29049.6,34050,32583.3333333333,40451.2,50000,54934,73357.1428571429,91166.6666666667,88000,75000
"14","Choapa",11880,17168,16945.6,20750,36144,33333.3333333333,39520,50500,73758.75,92252,93333.3333333333,80333.3333333333
"15","Colchagua",12080,20961.6666666667,18985.9090909091,31200,37650,40000,46000,52520,79560,96024.5,97500,75000
"16","Concepción",14496,18026.4,23941.6666666667,33000,40197.5,40000,50000,59280,77350,93008.3333333333,102228.809523809,80333.3333333333
"17","Copiapó",18120,27898,33222.8571428571,43333.3333333333,47690,48750,53271.3666666667,76255,101400,144955,150000,1e+05
"18","Cordillera",16488,26825,40162.5,53750,58566.6666666667,57666.6666666667,79040,79040,104975,123075,120000,83333.3333333333
"19","Coyhaique",17314.6666666667,27208.2142857143,34272,42500,58232,70440,70000,98800,110440,135075,132857.142857143,120000
"20","Curicó",14254.5,24462.5,21634.2,28602,37285.4,37666.6666666667,45714.2857142857,58075,81493.75,98460,1e+05,80000
"21","El Loa",20133.3333333333,29355,36842.4,40858.4615384615,57326.6071428571,55000,75000,86411.1111111111,118787.5,157536,140000,120000
"22","Elqui",14899.5,21460,26775,40000,40160,40000,50000,59280,92430,113046.666666667,120000,81666.6666666667
"23","General Carrera",NA,NA,22491,28166.6666666667,32328.8,45650,65000,86798.6,102700,136860,125000,116250
"24","Huasco",12240,21460,24418.8,30645,40160,36520,51125,67333.3333333333,92083.3333333333,106987.333333334,114285.714285714,87083.3333333333
"25","Iquique",24160,36482,42840,61290,63934.1666666666,60000,65866.6666666667,74100,99450,134015,140000,1e+05
"26","Limarí",10872,18861,21420,26000,29709.2727272727,31955,39520,49400,75313.3333333333,83144,1e+05,67000
"27","Linares",11000.3333333333,17168,18809.5,27248.75,32328.8,32000,36666.6666666667,45450,68466.6666666667,78768,80000,75000
"28","Llanquihue",14012.8,19985.3333333333,26239.5,36916.6666666666,49865.3333333333,37500,49400,63630,77350,99554,95666.6666666667,75000
"29","Los Andes",10872,25617.875,32130,34025,42042.5,43333.3333333333,49666.6666666667,64416.75,91162.5,128545,105000,99024
"30","Magallanes",21994.6666666667,35258.5571428571,55692,59185.75,66096.6666666667,75000,96100.0833333333,107733.333333333,133087.5,164100,163333.333333333,125000
"31","Maipo",15704,23484,32130,40000,48828.75,50000,60000,75750,101107.5,102700,106666.666666667,80000
"32","Malleco",10354.2857142857,15656,20081.25,21833.3333333333,26066.6666666667,27390,31222.8571428571,39520,56631.25,68466.6666666667,82250,67500
"33","Marga Marga",22146.6666666667,26825,34042.5,44814.6666666667,53546.6666666667,55000,60000,65866.6666666667,89060.7777777778,102700,112500,84127
"34","Melipilla",12080,19570,25704,40000,39405.0666666667,43333.3333333333,50254.375,64220,91689.8333333333,99844,105000,81666.6666666667
"35","Ñuble",10469.3333333333,13412.5,14994,25250.8333333333,30622,26666.6666666667,33333.3333333333,41979.6,60775,76580,78250,70000
"36","Osorno",10469.3333333333,19570,28917,28869.75,40160,31857.1428571429,35520,47030,66300,79315,90272.1428571428,75000
"37","Parinacota",NA,NA,NA,30645,45180,30000,34580,47133.3333333333,55250,96356.6666666665,78750,75000
"38","Petorca",11031.5,20762.6,27632,29200,39100,36520,50833.3333333333,63630,84973.5,98460,105000,75000
"39","Quillota",14093.3333333333,21084.5,29843.5,34050,44442,48000,52597.5,67333.3333333333,88400,99007,105000,75000
"40","Ranco",18120,43993,32130,25428.5714285714,26773.3333333333,30433.3333333333,35156.5,45450,61620,82414.6666666667,83333.3333333333,70000
"41","San Antonio",11880,25752,32130,40860,50200,48333.3333333333,52890,70700,92083.3333333333,102700,100605.6,79462.5
"42","San Felipe",18132.6666666667,22264.6666666667,28060.2,34800,40160,40000,49333.3333333333,60600,88400,99554,102000,80000
"43","Santiago",20052.7619047619,34336,47766.6,60000,69220,66666.6666666667,82000,95927,110500,139594.4,145000,1e+05
"44","Talagante",14069,23176.8,30260,35777.7777777778,45616.6666666667,50000,59280,68175,91162.5,109400,120000,80333.3333333333
"45","Talca",13705.8666666667,21460,21420,31857.1428571428,34212.5,32500,39880,50500,70772.625,94813.3333333333,99000,80000
"46","Tamarugal",18925.3333333334,24951.75,17269.875,27240,37650,34000,47260,49778.5714285714,78433.3333333333,109400,1e+05,90000
"47","Tierra del Fuego",21341.3333333333,23525.5,44625,46269.25,73114,91300,103040,109080,171275,133468,2e+05,150000
"48","Tocopilla",15504,24740.4285714286,29452.5,46250,54662.2222222222,60000,76135.5555555556,84166.6666666667,109362.5,149878,137500,107500
"49","Última Esperanza",13288,24784.5,36550,42666.6,58125,68216,60000,77206,114643.75,136750,131000,112916.666666666
"50","Valdivia",13860,18509.25,22758.75,30000,36813.3333333333,37500,38333.3333333333,48480,64458.3333333333,95725,90000,74285.7142857143
"51","Valparaíso",15345,27898,32130,42024.6,51186.125,54000,66666.6666666667,70195,99450,109400,120000,87638.9
"52","País",15414,21996.5,26775,37250,45180,41000,50000,60600,82875,109035.333333333,106666.666666667,83333.3333333333
