"","region","1990","1992","1994","1996","1998","2000","2003","2006","2009","2011","2013","2015"
"1","Antofagasta",20014.2857142857,27591.4285714286,33553.75,48000,58566.6666666667,58333.3333333333,73000,88375,113149.428571429,162884.444444444,156000,116666.666666667
"2","Araucanía",10899.2,17613,22950,24000,27413.5,29216,30084.8,40400,58933.3333333333,73662.6666666667,83333.3333333333,67333.3333333333
"3","Arica y Parinacota",18422,25036.6666666667,33712.75,38000,45575.7777777778,41085,48357.1666666666,59280,84240,110024.416666667,1e+05,80000
"4","Atacama",16912,25752,29988,37000,43987.5,44160,55155.5555555556,72383.3333333333,96687.5,128717.333333333,136666.666666667,1e+05
"5","Aysén",18321.3333333333,26037.5,32130,38285.7142857143,50269.6666666667,57970,70571.4285714286,98800,109546.666666667,136750,132857.142857143,116666.666666667
"6","Bíobío",12563.2,14949.8333333333,17689.25,28750,34422.8571428571,30956,39412,45450,66300,82050,90000,78048.6666666667
"7","Coquimbo",13590,19879.4,22695,30692.4,35140,36000,45000,53025,82875,99554,110000,80000
"8","Los Lagos",12797.2,20074.0416666666,27412.5,32688,43043.6,36520,46666.6666666667,58327.5,74007.1428571429,91166.6666666667,92000,75000
"9","Los Ríos",14496,19570,24208,28602,32033.4,33333.3333333333,37500,47470,63869,91896,87500,72000
"10","Magallanes",19932,32190,50433.3333333333,50000,62248,73040,85000,104294.4,147333.333333333,156806.666666667,162500,125000
"11","Maule",12375,19314,20427,28960.4444444444,33982.5,33750,40000,50500,72020,88692.1666666667,94000,80000
"12","Metropolitana",17125.25,28625.6,39635.6666666667,55000,58650,58942.8571428571,71800,83628,106080,129482.5,133333.333333333,1e+05
"13","O'Higgins",15324.25,23844.4444444444,27524.8333333333,32509.625,40160,40800,52500,59275.5,86696,103711.2,1e+05,80000
"14","Tarapacá",22702,34586.3333333333,33915,42240,42334.8333333333,42500,53856,59280,87799.9107142857,131280,136000,1e+05
"15","Valparaíso",14850,24142.5,30260,40000,45559.625,46500,54045.7142857143,65866.6666666667,91162.5,103074,110000,83333.3333333333
"16","País",15414,21996.5,26775,37250,45180,41000,50000,60600,82875,109035.333333333,106666.666666667,83333.3333333333
