"","geography_level","geography_name","geography_id","year","mean_income","median_income","gini_income"
"1","pais","País","pais","1990",247199.308299745,160000,0.471205751861102
"2","pais","País","pais","1992",202199.744849803,134864,0.459953690293995
"3","pais","País","pais","1994",213673.085959728,130136.8,0.499428279328925
"4","pais","País","pais","1996",156225.716766246,102212.5,0.472129369524173
"5","pais","País","pais","1998",129945.408733026,78409.8888888889,0.510809080265219
"6","pais","País","pais","2000",104866.708548538,59966,0.537529123535414
"7","pais","País","pais","2003",90981.0643162022,52611.1666666667,0.532440714776626
"8","pais","País","pais","2006",96120.0131611628,52623.5,0.55120428201493
"9","pais","País","pais","2009",79894.1418396113,45059,0.538347829708865
"10","pais","País","pais","2011",61573.0160368495,32880,0.557524727135642
"11","pais","País","pais","2013",52451.5352376649,27456,0.56278942836567
"12","pais","País","pais","2015",35625.4296026468,18905.7571428572,0.561159652311398
