"","geography_level","geography_name","geography_id","year","mean_income","median_income","gini_income","lb_mean_income","ub_mean_income","lb_median_income","ub_median_income","lb_gini_income","ub_gini_income"
"1","provincia","Antofagasta","p21","1990",41612,25319,0.506,39725,43330,24742,26448,0.49,0.52
"2","provincia","Arauco","p82","1990",19503,13365,0.448,18304,20682,12819,14218,0.424,0.471
"3","provincia","Arica","p151","1990",36320,22534,0.487,34362,38590,21780,22694,0.466,0.51
"4","provincia","Aysén","p112","1990",35891,21906,0.474,32966,38009,20793,22434,0.452,0.497
"5","provincia","Bíobío","p83","1990",38711,16425,0.644,32625,47736,15316,18120,0.577,0.698
"6","provincia","Cachapoal","p61","1990",34435,20597,0.518,32824,36213,20095,21308,0.5,0.535
"7","provincia","Capitán Prat","p113","1990",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","provincia","Cardenal Caro","p62","1990",23089,10864,0.617,17077,29230,10403,13200,0.492,0.688
"9","provincia","Cauquenes","p72","1990",35945,13877,0.683,23067,49367,13199,14585,0.5,0.761
"10","provincia","Cautín","p91","1990",31166,15730,0.591,29201,32921,15301,16083,0.568,0.613
"11","provincia","Chacabuco","p133","1990",24799,17723,0.425,23775,25707,16840,18353,0.407,0.442
"12","provincia","Chañaral","p32","1990",49527,32159,0.52,40683,56718,29815,36048,0.434,0.572
"13","provincia","Chiloé","p102","1990",32438,18870,0.492,29838,35886,18261,19719,0.463,0.523
"14","provincia","Choapa","p42","1990",18376,13200,0.419,16952,20443,12940,14905,0.385,0.445
"15","provincia","Colchagua","p63","1990",20118,15158,0.43,19197,21173,14460,15554,0.411,0.446
"16","provincia","Concepción","p81","1990",31345,17384,0.541,30075,32773,17027,17692,0.524,0.556
"17","provincia","Copiapó","p31","1990",40469,22930,0.535,36657,45084,22109,24032,0.499,0.576
"18","provincia","Cordillera","p152","1990",45604,20140,0.605,41720,50257,19027,20778,0.579,0.638
"19","provincia","Coyhaique","p111","1990",36449,19980,0.534,33255,39331,19345,20491,0.495,0.56
"20","provincia","Curicó","p73","1990",47475,19600,0.662,37695,55836,19092,19934,0.592,0.709
"21","provincia","El Loa","p22","1990",43711,23587,0.551,40491,47684,22354,24712,0.531,0.575
"22","provincia","Elqui","p41","1990",31528,18013,0.544,30014,32928,17504,18541,0.526,0.563
"23","provincia","General Carrera","p114","1990",NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","provincia","Huasco","p33","1990",39387,17146,0.595,35913,43679,16826,17827,0.562,0.626
"25","provincia","Iquique","p11","1990",59917,29165,0.575,55278,64916,27881,32753,0.547,0.6
"26","provincia","Limarí","p43","1990",22963,13721,0.5,21392,24575,13411,14488,0.467,0.528
"27","provincia","Linares","p74","1990",29339,15376,0.558,27381,31491,14735,16104,0.534,0.579
"28","provincia","Llanquihue","p101","1990",41383,19086,0.607,36770,46927,18644,20132,0.564,0.651
"29","provincia","Los Andes","p53","1990",21819,17160,0.449,18846,24559,15008,18506,0.4,0.486
"30","provincia","Magallanes","p121","1990",49723,29582,0.531,46657,52257,28313,31198,0.506,0.554
"31","provincia","Maipo","p134","1990",28898,18404,0.484,27625,30597,18039,19043,0.465,0.508
"32","provincia","Malleco","p92","1990",28165,14100,0.585,25839,31603,13827,14850,0.55,0.62
"33","provincia","Marga Marga","p58","1990",34303,26464,0.459,31761,36566,24809,27691,0.433,0.483
"34","provincia","Melipilla","p135","1990",24347,15400,0.494,23272,25360,14819,15997,0.473,0.512
"35","provincia","Ñuble","p84","1990",27981,14434,0.595,25572,30691,13345,14853,0.557,0.628
"36","provincia","Osorno","p103","1990",35865,14155,0.654,31753,41481,13741,14809,0.617,0.689
"37","provincia","Parinacota","p152","1990",NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","provincia","Petorca","p54","1990",21855,12813,0.528,18099,26740,12279,13481,0.436,0.602
"39","provincia","Quillota","p55","1990",25391,17662,0.454,22670,28572,16720,18745,0.403,0.498
