"","geography_level","geography_name","geography_id","year","sexo","mean_income","median_income","ci_mean_income","ci_median_income"
"1","comuna","Alhué","2","1990","Hombre",46426,36240,"[41350, 51057]","[33824, 36618]"
"2","comuna","Andacollo","7","1990","Hombre",60027,52702,"[50782, 70566]","[41671, 61034]"
"3","comuna","Angol","8","1990","Hombre",86059,43488,"[64447, 108047]","[39725, 60400]"
"4","comuna","Antofagasta","9","1990","Hombre",109608,60400,"[97481, 120185]","[59400, 72480]"
"5","comuna","Arica","12","1990","Hombre",80100,56776,"[74184, 87575]","[54360, 59400]"
"6","comuna","Aysén","13","1990","Hombre",93631,60400,"[80369, 111705]","[54360, 67648]"
"7","comuna","Buin","14","1990","Hombre",78368,42280,"[61041, 95010]","[38656, 48320]"
"8","comuna","Bulnes","15","1990","Hombre",62793,31408,"[37226, 108026]","[30200, 35640]"
"9","comuna","Calama","19","1990","Hombre",115316,66440,"[100490, 131852]","[59400, 72480]"
"10","comuna","Calera","22","1990","Hombre",74058,45904,"[50748, 109234]","[31408, 52992]"
"11","comuna","Calera de Tango","23","1990","Hombre",51714,39600,"[46713, 60701]","[36792, 42108]"
"12","comuna","Cartagena","30","1990","Hombre",74730,48910,"[43058, 120072]","[19800, 59400]"
"13","comuna","Casablanca","31","1990","Hombre",41536,36240,"[36171, 47451]","[33824, 37270]"
"14","comuna","Castro","32","1990","Hombre",113298,59400,"[78335, 149262]","[48320, 70135]"
"15","comuna","Cauquenes","34","1990","Hombre",49436,32012,"[36314, 65050]","[26833, 39438]"
"16","comuna","Cerro Navia","36","1990","Hombre",60425,48320,"[55360, 66467]","[42280, 51535]"
"17","comuna","Chañaral","39","1990","Hombre",94333,59400,"[65784, 160518]","[49528, 70969]"
"18","comuna","Chillán","43","1990","Hombre",77597,36240,"[54346, 103739]","[36240, 41555]"
"19","comuna","Chimbarongo","45","1990","Hombre",50541,34056,"[44046, 58269]","[31408, 36304]"
"20","comuna","Chonchi","47","1990","Hombre",49093,35422,"[38331, 61994]","[33001, 36240]"
"21","comuna","Coihueco","55","1990","Hombre",63548,28992,"[30155, 116054]","[24734, 30200]"
"22","comuna","Colina","59","1990","Hombre",52882,40516,"[47218, 60560]","[36251, 42280]"
"23","comuna","Collipulli","60","1990","Hombre",30191,31408,"[26733, 33210]","[30200, 32818]"
"24","comuna","Combarbalá","62","1990","Hombre",35320,31408,"[29042, 42789]","[29700, 32616]"
"25","comuna","Concepción","64","1990","Hombre",96810,49500,"[84242, 108552]","[45904, 56897]"
"26","comuna","Conchalí","65","1990","Hombre",86767,60400,"[74366, 101793]","[54360, 65527]"
"27","comuna","Constitución","66","1990","Hombre",112780,60400,"[77264, 155795]","[54360, 84560]"
"28","comuna","Copiapó","68","1990","Hombre",96309,54360,"[80589, 113204]","[48320, 59400]"
"29","comuna","Coquimbo","69","1990","Hombre",65289,38656,"[58816, 75521]","[36240, 42914]"
