"","geography_level","geography_name","geography_id","year","sexo","mean_income","median_income","ci_mean_income","ci_median_income"
"1","pais","País","pais","1990","Hombre",84628,45904,"[82884, 87055]","[44735, 47506]"
"2","pais","País","pais","1990","Mujer",57351,36240,"[55866, 58987]","[36240, 36240]"
"3","pais","País","pais","1992","Hombre",122943,64380,"[120106, 126048]","[64380, 64380]"
"4","pais","País","pais","1992","Mujer",89235,53650,"[86827, 92610]","[53650, 53650]"
"5","pais","País","pais","1994","Hombre",146174,78676,"[140551, 155628]","[77112, 80325]"
"6","pais","País","pais","1994","Mujer",110599,69080,"[107117, 113196]","[66343, 69615]"
"7","pais","País","pais","1996","Hombre",191238,109884,"[187662, 195055]","[104475, 110000]"
"8","pais","País","pais","1996","Mujer",140295,85000,"[136683, 143771]","[81853, 90000]"
"9","pais","País","pais","1998","Hombre",228609,127075,"[222953, 234723]","[123988, 130520]"
"10","pais","País","pais","1998","Mujer",165977,100400,"[162680, 169577]","[100400, 100400]"
"11","pais","País","pais","2000","Hombre",210199,120000,"[207137, 213393]","[120000, 120000]"
"12","pais","País","pais","2000","Mujer",162629,104000,"[159837, 165019]","[100500, 105000]"
"13","pais","País","pais","2003","Hombre",248642,140000,"[243860, 253261]","[140000, 140000]"
"14","pais","País","pais","2003","Mujer",188303,118560,"[184750, 191871]","[118560, 120000]"
"15","pais","País","pais","2006","Hombre",265348,151765,"[261932, 269772]","[151500, 157833]"
"16","pais","País","pais","2006","Mujer",204790,136350,"[201708, 208576]","[136350, 136350]"
"17","pais","País","pais","2009","Hombre",330576,221000,"[327805, 334516]","[220545, 221000]"
"18","pais","País","pais","2009","Mujer",255390,182325,"[251932, 259490]","[182325, 182325]"
"19","pais","País","pais","2011","Hombre",451652,273500,"[446963, 457753]","[273500, 273500]"
"20","pais","País","pais","2011","Mujer",328851,207712,"[324074, 335023]","[205400, 207860]"
"21","pais","País","pais","2013","Hombre",415128,280000,"[409854, 419642]","[280000, 280000]"
"22","pais","País","pais","2013","Mujer",308608,210000,"[305117, 312408]","[210000, 210000]"
"23","pais","País","pais","2015","Hombre",478068,3e+05,"[475482, 482394]","[3e+05, 3e+05]"
"24","pais","País","pais","2015","Mujer",366002,250000,"[362196, 369707]","[250000, 250000]"
