"","geography_level","geography_name","geography_id","year","sexo","mean_income","median_income","ci_mean_income","ci_median_income"
"1","provincia","Antofagasta","p21","1990","Hombre",104619,62816,"[96678, 112163]","[60400, 71272]"
"2","provincia","Arauco","p82","1990","Hombre",51881,36240,"[46941, 58157]","[36240, 40709]"
"3","provincia","Arica","p151","1990","Hombre",80100,56776,"[74184, 87575]","[54360, 59400]"
"4","provincia","Aysén","p112","1990","Hombre",93631,60400,"[80369, 111705]","[54360, 67648]"
"5","provincia","Bíobío","p83","1990","Hombre",102093,42280,"[70145, 141662]","[38484, 46969]"
"6","provincia","Cachapoal","p61","1990","Hombre",85986,48320,"[78089, 97391]","[47292, 54360]"
"7","provincia","Cardenal Caro","p62","1990","Hombre",43081,32779,"[36651, 50237]","[31408, 38373]"
"8","provincia","Cauquenes","p72","1990","Hombre",71050,31408,"[38701, 125168]","[29700, 36098]"
"9","provincia","Cautín","p91","1990","Hombre",78872,38656,"[69399, 93300]","[36240, 39600]"
"10","provincia","Chacabuco","p133","1990","Hombre",58512,41555,"[53455, 62978]","[39864, 42280]"
"11","provincia","Chañaral","p32","1990","Hombre",130114,78520,"[102874, 172712]","[60400, 89100]"
"12","provincia","Chiloé","p102","1990","Hombre",79850,43488,"[68351, 103680]","[36240, 48320]"
"13","provincia","Choapa","p42","1990","Hombre",53570,39600,"[47010, 60686]","[36240, 51480]"
"14","provincia","Colchagua","p63","1990","Hombre",48139,36240,"[44761, 53254]","[33392, 36240]"
"15","provincia","Concepción","p81","1990","Hombre",84953,48320,"[75809, 95753]","[48320, 50736]"
"16","provincia","Copiapó","p31","1990","Hombre",92290,54360,"[78111, 113274]","[48320, 59400]"
"17","provincia","Cordillera","p152","1990","Hombre",105621,48320,"[87768, 120603]","[47686, 51724]"
"18","provincia","Coyhaique","p111","1990","Hombre",88378,54360,"[75977, 102649]","[48880, 59400]"
"19","provincia","Curicó","p73","1990","Hombre",92011,36240,"[68626, 119718]","[36240, 39600]"
"20","provincia","El Loa","p22","1990","Hombre",115316,66440,"[100490, 131852]","[59400, 72480]"
"21","provincia","Elqui","p41","1990","Hombre",84164,43488,"[72872, 97156]","[41039, 48320]"
"22","provincia","Huasco","p33","1990","Hombre",100597,42280,"[74541, 137675]","[36240, 53786]"
"23","provincia","Iquique","p11","1990","Hombre",150063,89100,"[126487, 184925]","[77103, 96640]"
"24","provincia","Limarí","p43","1990","Hombre",54832,33824,"[46305, 67009]","[32616, 36240]"
"25","provincia","Linares","p74","1990","Hombre",64243,33001,"[54899, 73010]","[31408, 36240]"
"26","provincia","Llanquihue","p101","1990","Hombre",81639,39600,"[68710, 96874]","[38656, 42432]"
"27","provincia","Los Andes","p53","1990","Hombre",63054,41072,"[48520, 83846]","[31408, 59400]"
"28","provincia","Magallanes","p121","1990","Hombre",99620,59400,"[91521, 109007]","[50510, 60400]"
"29","provincia","Maipo","p134","1990","Hombre",68604,42280,"[62016, 76613]","[41072, 43488]"
"30","provincia","Malleco","p92","1990","Hombre",56758,33824,"[50290, 66274]","[32616, 36240]"
"31","provincia","Marga Marga","p58","1990","Hombre",85521,72480,"[74218, 98688]","[58314, 84560]"
"32","provincia","Melipilla","p135","1990","Hombre",54837,36240,"[50422, 60909]","[36240, 36240]"
"33","provincia","Ñuble","p84","1990","Hombre",64677,31408,"[50499, 82010]","[31408, 33001]"
"34","provincia","Osorno","p103","1990","Hombre",87574,32616,"[67687, 109055]","[31408, 35496]"
"35","provincia","Petorca","p54","1990","Hombre",57098,34056,"[41121, 85827]","[32616, 37270]"
"36","provincia","Quillota","p55","1990","Hombre",53313,36240,"[46887, 60666]","[35606, 38656]"
"37","provincia","Ranco","p142","1990","Hombre",126697,49500,"[87263, 183261]","[33824, 105655]"
"38","provincia","San Antonio","p56","1990","Hombre",54332,39260,"[44253, 71541]","[33666, 48630]"
"39","provincia","San Felipe","p57","1990","Hombre",95535,41072,"[61903, 149173]","[38248, 43488]"
"40","provincia","Santiago","p131","1990","Hombre",106275,59400,"[101781, 112506]","[57984, 59400]"
"41","provincia","Talagante","p136","1990","Hombre",74414,42280,"[65877, 84307]","[40829, 43488]"
