"","geography_level","geography_name","geography_id","year","sexo","mean_income","median_income","ci_mean_income","ci_median_income"
"1","region","Antofagasta","2","1990","Hombre",105015,60400,"[96704, 114448]","[60400, 68960]"
"2","region","Araucanía","9","1990","Hombre",72410,36240,"[63968, 81316]","[36240, 37191]"
"3","region","Arica y Parinacota","15","1990","Hombre",80100,56776,"[74184, 87575]","[54360, 59400]"
"4","region","Atacama","3","1990","Hombre",100780,54360,"[87334, 112982]","[48320, 59400]"
"5","region","Aysén","11","1990","Hombre",90488,59192,"[83045, 99572]","[54360, 60400]"
"6","region","Bíobío","8","1990","Hombre",76765,42280,"[70751, 84997]","[39600, 42280]"
"7","region","Coquimbo","4","1990","Hombre",74763,39600,"[66010, 84220]","[36361, 41604]"
"8","region","Los Lagos","10","1990","Hombre",83674,36240,"[71748, 97763]","[36240, 38656]"
"9","region","Los Ríos","14","1990","Hombre",71682,39600,"[63210, 78296]","[36240, 42280]"
"10","region","Magallanes","12","1990","Hombre",90364,49500,"[83405, 100900]","[48320, 56202]"
"11","region","Maule","7","1990","Hombre",75238,36240,"[67285, 85281]","[36240, 36240]"
"12","region","Metropolitana","13","1990","Hombre",88810,48320,"[85190, 92303]","[48320, 48320]"
"13","region","O'Higgins","6","1990","Hombre",73608,42280,"[67982, 81044]","[39600, 43488]"
"14","region","Tarapacá","1","1990","Hombre",134259,79200,"[118962, 161889]","[72480, 85140]"
"15","region","Valparaíso","5","1990","Hombre",78986,42280,"[72729, 89752]","[39600, 43815]"
"16","region","Antofagasta","2","1990","Mujer",69362,48320,"[61750, 77440]","[39725, 51974]"
"17","region","Araucanía","9","1990","Mujer",52414,31904,"[45655, 58017]","[31408, 36240]"
"18","region","Arica y Parinacota","15","1990","Mujer",62029,36240,"[54179, 69974]","[34255, 42884]"
"19","region","Atacama","3","1990","Mujer",54052,36240,"[47509, 59960]","[32616, 36240]"
"20","region","Aysén","11","1990","Mujer",62014,39600,"[53534, 71652]","[36240, 44696]"
"21","region","Bíobío","8","1990","Mujer",49724,32616,"[44272, 54361]","[31408, 36240]"
"22","region","Coquimbo","4","1990","Mujer",49467,33824,"[43921, 56637]","[31408, 36240]"
"23","region","Los Lagos","10","1990","Mujer",48607,31408,"[44665, 54383]","[31408, 33824]"
"24","region","Los Ríos","14","1990","Mujer",50611,36240,"[45881, 56082]","[33190, 39739]"
"25","region","Magallanes","12","1990","Mujer",61845,36240,"[55777, 70131]","[33824, 42280]"
"26","region","Maule","7","1990","Mujer",51884,35640,"[47126, 58855]","[32115, 36240]"
"27","region","Metropolitana","13","1990","Mujer",61454,37448,"[59432, 64042]","[36297, 39600]"
"28","region","O'Higgins","6","1990","Mujer",47468,33893,"[43096, 50894]","[31408, 36240]"
"29","region","Tarapacá","1","1990","Mujer",102661,48320,"[76410, 125242]","[41329, 51480]"
"30","region","Valparaíso","5","1990","Mujer",50211,31408,"[44267, 58407]","[31408, 34458]"
"31","region","Antofagasta","2","1992","Hombre",129112,85840,"[122644, 134424]","[85840, 91205]"
"32","region","Araucanía","9","1992","Hombre",86983,55796,"[81700, 91918]","[53650, 58710]"
"33","region","Arica y Parinacota","15","1992","Hombre",132039,75110,"[115081, 149953]","[64380, 78280]"
"34","region","Atacama","3","1992","Hombre",124375,78280,"[116049, 133299]","[75110, 78280]"
"35","region","Aysén","11","1992","Hombre",130797,75110,"[112687, 159110]","[68579, 78611]"
"36","region","Bíobío","8","1992","Hombre",80495,48925,"[77475, 83875]","[48589, 50758]"
"37","region","Coquimbo","4","1992","Hombre",96083,62234,"[89089, 105020]","[58710, 64380]"
"38","region","Los Lagos","10","1992","Hombre",110019,58710,"[102605, 118981]","[58710, 59015]"
"39","region","Los Ríos","14","1992","Hombre",98616,53650,"[90667, 109568]","[51020, 58345]"
"40","region","Magallanes","12","1992","Hombre",150222,75110,"[130779, 174980]","[74719, 78280]"
"41","region","Maule","7","1992","Hombre",103363,50686,"[94161, 112606]","[48285, 53650]"
"42","region","Metropolitana","13","1992","Hombre",166629,75110,"[160030, 173579]","[75110, 78280]"
"43","region","O'Higgins","6","1992","Hombre",117524,62234,"[106727, 127314]","[58710, 64380]"
"44","region","Tarapacá","1","1992","Hombre",169668,97850,"[151734, 185039]","[88065, 107300]"
"45","region","Valparaíso","5","1992","Hombre",127228,67321,"[118355, 136404]","[64380, 69745]"
"46","region","Antofagasta","2","1992","Mujer",77015,53650,"[71899, 82422]","[48925, 53650]"
"47","region","Araucanía","9","1992","Mujer",65390,48285,"[61005, 69850]","[42920, 53140]"
"48","region","Arica y Parinacota","15","1992","Mujer",92828,59015,"[77929, 108487]","[53650, 64380]"
"49","region","Atacama","3","1992","Mujer",85480,55796,"[77199, 95070]","[53087, 61606]"
"50","region","Aysén","11","1992","Mujer",84878,53650,"[67433, 102966]","[48285, 61832]"
"51","region","Bíobío","8","1992","Mujer",69231,42920,"[63455, 74805]","[41418, 42920]"
"52","region","Coquimbo","4","1992","Mujer",74586,48285,"[67224, 85868]","[43939, 53395]"
"53","region","Los Lagos","10","1992","Mujer",77359,48285,"[69698, 85892]","[42920, 53650]"
"54","region","Los Ríos","14","1992","Mujer",82200,50968,"[69200, 96435]","[42920, 58710]"
"55","region","Magallanes","12","1992","Mujer",105873,53650,"[92478, 124321]","[53368, 59578]"
"56","region","Maule","7","1992","Mujer",75665,48285,"[68963, 83186]","[45066, 51504]"
"57","region","Metropolitana","13","1992","Mujer",108361,64380,"[102507, 113676]","[59015, 64380]"
"58","region","O'Higgins","6","1992","Mujer",78970,53650,"[70456, 87898]","[51504, 57942]"
"59","region","Tarapacá","1","1992","Mujer",114036,64380,"[98009, 131457]","[62127, 75110]"
"60","region","Valparaíso","5","1992","Mujer",83572,48285,"[75817, 96548]","[46926, 52047]"
"61","region","Antofagasta","2","1994","Hombre",173608,107100,"[159176, 195163]","[107100, 114064]"
"62","region","Araucanía","9","1994","Hombre",142460,72828,"[123719, 163141]","[64260, 74970]"
"63","region","Arica y Parinacota","15","1994","Hombre",186297,107100,"[158821, 216335]","[104848, 113475]"
"64","region","Atacama","3","1994","Hombre",138116,90780,"[132381, 146239]","[85680, 93739]"
"65","region","Aysén","11","1994","Hombre",139773,90780,"[128172, 153048]","[85680, 95319]"
"66","region","Bíobío","8","1994","Hombre",89821,58798,"[86601, 92621]","[56727, 58905]"
"67","region","Coquimbo","4","1994","Hombre",113951,64260,"[105765, 121200]","[64260, 64260]"
"68","region","Los Lagos","10","1994","Hombre",144122,74970,"[127915, 160379]","[72624, 75650]"
"69","region","Los Ríos","14","1994","Hombre",116766,64260,"[105447, 129251]","[64260, 74970]"
"70","region","Magallanes","12","1994","Hombre",181623,117810,"[165026, 194038]","[107100, 128520]"
"71","region","Maule","7","1994","Hombre",93945,60520,"[88007, 99909]","[60520, 63042]"
"72","region","Metropolitana","13","1994","Hombre",231773,107100,"[204759, 267936]","[107100, 107100]"
"73","region","O'Higgins","6","1994","Hombre",138442,74970,"[126546, 148100]","[74970, 76418]"
"74","region","Tarapacá","1","1994","Hombre",175163,107100,"[154222, 197198]","[107100, 121040]"
"75","region","Valparaíso","5","1994","Hombre",133053,85680,"[128962, 137464]","[85680, 85680]"
"76","region","Antofagasta","2","1994","Mujer",111844,74970,"[95134, 132645]","[64260, 74970]"
"77","region","Araucanía","9","1994","Mujer",118376,64260,"[101841, 136538]","[59976, 74970]"
"78","region","Arica y Parinacota","15","1994","Mujer",157629,90780,"[130014, 201764]","[76506, 105910]"
"79","region","Atacama","3","1994","Mujer",91170,64260,"[85167, 97547]","[64260, 74970]"
"80","region","Aysén","11","1994","Mujer",111567,64260,"[96387, 128760]","[60070, 70432]"
"81","region","Bíobío","8","1994","Mujer",85103,55692,"[81040, 90681]","[53550, 55692]"
