"","sexo","region","1990","1992","1994","1996","1998","2000","2003","2006","2009","2011","2013","2015"
"1","Hombre","Antofagasta",105015,129112,173608,234207,267094,291419,293778,362981,453371,611714,588969,612180
"2","Hombre","Araucanía",72410,86983,142460,129502,164348,170955,164217,191127,256450,321038,316658,334009
"3","Hombre","Arica y Parinacota",80100,132039,186297,189051,187002,210164,190810,200507,336254,465999,374671,426425
"4","Hombre","Atacama",100780,124375,138116,195939,194701,198434,232816,293373,345345,492080,504175,564992
"5","Hombre","Aysén",90488,130797,139773,176581,253045,265545,282833,336490,412971,517489,464553,514059
"6","Hombre","Bíobío",76765,80495,89821,146919,201227,162998,186824,212036,271836,367314,343160,395570
"7","Hombre","Coquimbo",74763,96083,113951,147096,166160,170276,197666,233935,308118,395792,400352,445056
"8","Hombre","Los Lagos",83674,110019,144122,156439,194607,178462,207796,240924,306748,391569,335119,359905
"9","Hombre","Los Ríos",71682,98616,116766,151775,173511,163199,194572,223146,272202,371539,320776,333576
"10","Hombre","Magallanes",90364,150222,181623,187682,361358,275548,395971,350316,552914,598529,510400,601958
"11","Hombre","Maule",75238,103363,93945,130759,162452,179217,167798,193432,263035,311704,313719,358878
"12","Hombre","Metropolitana",88810,166629,231773,281541,308734,288829,409098,384193,432784,611951,529929,658325
"13","Hombre","O'Higgins",73608,117524,138442,143347,174897,169131,202604,215745,283182,350929,344622,401183
"14","Hombre","Tarapacá",134259,169668,175163,218533,203737,215347,232516,262847,361830,505327,524071,511647
"15","Hombre","Valparaíso",78986,127228,133053,195600,200207,216046,225297,262770,330849,416952,426351,456861
"16","Mujer","Antofagasta",69362,77015,111844,146276,168868,180043,209183,278776,308908,413553,373432,429830
"17","Mujer","Araucanía",52414,65390,118376,108961,143917,136817,157356,169332,218094,268574,272042,293420
"18","Mujer","Arica y Parinacota",62029,92828,157629,108893,127894,145998,153362,147967,243615,317012,267340,314716
"19","Mujer","Atacama",54052,85480,91170,121335,145676,154139,165737,191175,247801,324059,337039,391147
"20","Mujer","Aysén",62014,84878,111567,128874,166484,172657,215867,258076,340906,390625,357813,426846
"21","Mujer","Bíobío",49724,69231,85103,118249,150078,135782,161805,173928,222757,270153,265445,312332
"22","Mujer","Coquimbo",49467,74586,77472,123859,135433,140169,150797,178423,215585,262214,268651,309374
"23","Mujer","Los Lagos",48607,77359,133770,117951,150331,150559,170378,196711,240402,299660,276797,314914
"24","Mujer","Los Ríos",50611,82200,94198,117800,155958,191993,168297,181581,227003,303147,263489,277332
"25","Mujer","Magallanes",61845,105873,134168,121961,151207,205211,232616,273745,379653,376561,359678,433033
"26","Mujer","Maule",51884,75665,79165,98868,124591,138093,132318,161019,223896,247338,257616,289775
"27","Mujer","Metropolitana",61454,108361,146102,182618,206943,201593,256270,261941,308363,423476,382061,470014
"28","Mujer","O'Higgins",47468,78970,95505,97060,125321,133824,151206,167757,221327,262717,261262,316723
"29","Mujer","Tarapacá",102661,114036,122125,178255,163462,154802,161429,187714,261887,336851,360155,353600
"30","Mujer","Valparaíso",50211,83572,93544,145032,144368,154064,158170,183095,237667,298612,283646,325540
