"","sexo","region","1990","1992","1994","1996","1998","2000","2003","2006","2009","2011","2013","2015"
"1","Hombre","Antofagasta",60400,85840,107100,163440,190760,189327,220000,252500,331500,437600,450000,450000
"2","Hombre","Araucanía",36240,55796,72828,80000,90360,1e+05,110000,131300,182325,205400,210000,250000
"3","Hombre","Arica y Parinacota",56776,75110,107100,118494,140560,127820,128440,147325,239911,328200,3e+05,3e+05
"4","Hombre","Atacama",54360,78280,90780,120000,140560,140000,158080,197600,276250,382900,4e+05,420000
"5","Hombre","Aysén",59192,75110,90780,106000,136850,146080,197600,242400,298350,328200,3e+05,350000
"6","Hombre","Bíobío",42280,48925,58798,90000,110440,1e+05,120000,136350,193375,218800,250000,280000
"7","Hombre","Coquimbo",39600,62234,64260,90000,100400,110000,120000,151500,205400,273500,3e+05,3e+05
"8","Hombre","Los Lagos",36240,58710,74970,91935,117300,109560,135000,151500,205400,218800,220000,250000
"9","Hombre","Los Ríos",39600,53650,64260,80000,97750,105832,120000,138370,198900,218800,210000,250000
"10","Hombre","Magallanes",49500,75110,117810,130000,160640,180000,197600,227245,353600,382900,362000,4e+05
"11","Hombre","Maule",36240,50686,60520,77796,96384,1e+05,115000,136350,182325,205141,210000,250000
"12","Hombre","Metropolitana",48320,75110,107100,150000,156400,160000,188822,202000,272673,328200,3e+05,4e+05
"13","Hombre","O'Higgins",42280,62234,74970,84000,100400,109560,120000,141400,198900,229740,242668,3e+05
"14","Hombre","Tarapacá",79200,97850,107100,163440,152608,150000,180000,181800,281775,382900,4e+05,4e+05
"15","Hombre","Valparaíso",42280,67321,85680,120000,120480,136950,150000,161600,221000,260743,270000,3e+05
"16","Mujer","Antofagasta",48320,53650,74970,90744,117300,120000,141440,158830,221000,273500,280000,3e+05
"17","Mujer","Araucanía",31904,48285,64260,68516,85340,91300,1e+05,113120,175074,196920,210000,240000
"18","Mujer","Arica y Parinacota",36240,59015,90780,75000,97750,97444,110000,118560,186745,218800,2e+05,240000
"19","Mujer","Atacama",36240,55796,64260,80000,100400,1e+05,115500,136350,184860,218800,250000,3e+05
"20","Mujer","Aysén",39600,53650,64260,79029,100400,105000,136698,164630,205400,218800,220000,3e+05
"21","Mujer","Bíobío",32616,42920,55692,71000,95380,1e+05,111000,121200,165750,196920,202000,241000
"22","Mujer","Coquimbo",33824,48285,57834,70000,85340,1e+05,110000,131300,180115,199108,210000,242000
"23","Mujer","Los Lagos",31408,48285,64260,70752,90360,1e+05,115000,131300,182325,199108,210000,241000
"24","Mujer","Los Ríos",36240,50968,62118,80146,94459,1e+05,105346,121200,176800,202390,210000,240000
"25","Mujer","Magallanes",36240,53650,90780,80000,100400,126871,140000,159840,221000,240680,250000,3e+05
"26","Mujer","Maule",35640,48285,55692,65000,80822,1e+05,92933,128270,176800,199108,210000,241000
"27","Mujer","Metropolitana",37448,64380,85680,120000,120480,130000,150000,161600,209950,240680,250000,3e+05
"28","Mujer","O'Higgins",33893,53650,64260,70000,84336,1e+05,115000,131300,182325,199108,210000,250000
"29","Mujer","Tarapacá",48320,64380,85680,130000,117300,109560,120000,129280,198900,240680,250000,280000
"30","Mujer","Valparaíso",31408,48285,64260,85000,92260,1e+05,115000,131300,182325,199108,210000,250000
