"","geography_level","geography_name","geography_id","year","sexo","rama","mean_income","median_income","ci_mean_income","ci_median_income"
"1","comuna","Algarrobo","1","2011","Hombre","Agricultura, Ganadería, Caza y Silvicultura",383082,191450,"[146733, 745926]","[125536, 760330]"
"2","comuna","Algarrobo","1","2011","Hombre","Electricidad, Gas y Agua",142220,142220,"[2898, 130738]","[2898, 130738]"
"3","comuna","Algarrobo","1","2011","Hombre","Construcción",448200,448200,"[382900, 513500]","[382900, 513500]"
"4","comuna","Algarrobo","1","2011","Hombre","Comercio",472420,472420,"[410800, 534040]","[410800, 534040]"
"5","comuna","Algarrobo","1","2011","Hombre","Hoteles y Restaurantes",393840,393840,"[8023, 362044]","[8023, 362044]"
"6","comuna","Algarrobo","1","2011","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler",228538,223040,"[192955, 265642]","[180510, 287560]"
"7","comuna","Algarrobo","1","2011","Hombre","Administración Pública y Defensa",207860,207860,"[4235, 191079]","[4235, 191079]"
"8","comuna","Algarrobo","1","2011","Hombre","Enseñanza",328200,328200,"[6686, 301703]","[6686, 301703]"
"9","comuna","Algarrobo","1","2011","Hombre","Servicios Sociales y de Salud",415720,415720,"[8468, 382157]","[8468, 382157]"
"10","comuna","Algarrobo","1","2011","Hombre","Servicios Comunitarios, Sociales y Personales",268030,268030,"[218800, 317260]","[218800, 317260]"
"11","comuna","Algarrobo","1","2011","Hombre","Servicio Doméstico",193921,213330,"[125910, 239221]","[122282, 246150]"
"12","comuna","Alhué","2","2011","Hombre","Agricultura, Ganadería, Caza y Silvicultura",261289,240680,"[187512, 330836]","[199108, 328200]"
"13","comuna","Alhué","2","2011","Hombre","Explotación de Minas y Canteras",347102,382900,"[282937, 419323]","[251620, 424870]"
"14","comuna","Alhué","2","2011","Hombre","Construcción",309967,273500,"[204897, 401133]","[191450, 451959]"
"15","comuna","Alhué","2","2011","Hombre","Comercio",166835,158630,"[120340, 220509]","[109400, 240680]"
"16","comuna","Alhué","2","2011","Hombre","Transporte, Almacenamiento y Comunicaciones",318354,318354,"[199108, 437600]","[199108, 437600]"
"17","comuna","Alhué","2","2011","Hombre","Servicios Comunitarios, Sociales y Personales",246480,246480,"[5022, 226581]","[5022, 226581]"
"18","comuna","Alto Bíobío","3","2011","Hombre","Agricultura, Ganadería, Caza y Silvicultura",316134,199108,"[142720, 602367]","[102700, 218800]"
"19","comuna","Alto Bíobío","3","2011","Hombre","Explotación de Minas y Canteras",240680,240680,"[4903, 221249]","[4903, 221249]"
"20","comuna","Alto Bíobío","3","2011","Hombre","Industrias Manufactureras",218800,218800,"[196920, 240680]","[196920, 240680]"
"21","comuna","Alto Bíobío","3","2011","Hombre","Electricidad, Gas y Agua",239970,229740,"[209517, 274069]","[199655, 291882]"
"22","comuna","Alto Bíobío","3","2011","Hombre","Construcción",242819,205400,"[207054, 283359]","[199368, 273500]"
"23","comuna","Alto Bíobío","3","2011","Hombre","Hoteles y Restaurantes",4261160,4261160,"[306320, 8216000]","[306320, 8216000]"
"24","comuna","Alto Bíobío","3","2011","Hombre","Transporte, Almacenamiento y Comunicaciones",547000,547000,"[11143, 502839]","[11143, 502839]"
"25","comuna","Alto Bíobío","3","2011","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler",975650,975650,"[513500, 1437800]","[513500, 1437800]"
"26","comuna","Alto Bíobío","3","2011","Hombre","Administración Pública y Defensa",262560,262560,"[218800, 306320]","[218800, 306320]"
"27","comuna","Alto Bíobío","3","2011","Hombre","Enseñanza",252988,252988,"[199655, 306320]","[199655, 306320]"
"28","comuna","Alto Bíobío","3","2011","Hombre","Servicios Sociales y de Salud",497770,497770,"[492300, 503240]","[492300, 503240]"
"29","comuna","Alto Bíobío","3","2011","Hombre","Servicios Comunitarios, Sociales y Personales",199655,199655,"[199655, 199655]","[199655, 199655]"
"30","comuna","Alto Bíobío","3","2011","Hombre","Servicio Doméstico",246480,246480,"[5022, 226581]","[5022, 226581]"
"31","comuna","Alto del Carmen","4","2011","Hombre","Agricultura, Ganadería, Caza y Silvicultura",258747,207860,"[217463, 300882]","[202037, 292088]"
"32","comuna","Alto del Carmen","4","2011","Hombre","Explotación de Minas y Canteras",369500,410800,"[287037, 449537]","[218800, 410800]"
"33","comuna","Alto del Carmen","4","2011","Hombre","Electricidad, Gas y Agua",128217,128217,"[92334, 164100]","[92334, 164100]"
"34","comuna","Alto del Carmen","4","2011","Hombre","Construcción",414178,393840,"[300102, 542855]","[308100, 437600]"
"35","comuna","Alto del Carmen","4","2011","Hombre","Comercio",352301,262560,"[202988, 528174]","[196920, 575120]"
"36","comuna","Alto del Carmen","4","2011","Hombre","Transporte, Almacenamiento y Comunicaciones",424131,325465,"[307620, 649181]","[292645, 632795]"
"37","comuna","Alto del Carmen","4","2011","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler",492300,492300,"[10028, 452555]","[10028, 452555]"
"38","comuna","Alto del Carmen","4","2011","Hombre","Administración Pública y Defensa",629050,629050,"[492300, 765800]","[492300, 765800]"
"39","comuna","Alto del Carmen","4","2011","Hombre","Enseñanza",440335,240680,"[190014, 868431]","[185980, 1094000]"
"40","comuna","Alto del Carmen","4","2011","Hombre","Servicios Sociales y de Salud",565233,547000,"[328200, 820500]","[328200, 820500]"
"41","comuna","Alto del Carmen","4","2011","Hombre","Servicios Comunitarios, Sociales y Personales",109400,109400,"[2229, 100568]","[2229, 100568]"
"42","comuna","Alto Hospicio","5","2011","Hombre","Agricultura, Ganadería, Caza y Silvicultura",366150,390260,"[294260, 424200]","[246480, 437600]"
"43","comuna","Alto Hospicio","5","2011","Hombre","Pesca",383788,437600,"[320005, 449127]","[263450, 513500]"
"44","comuna","Alto Hospicio","5","2011","Hombre","Explotación de Minas y Canteras",628958,547000,"[577043, 690839]","[492300, 601700]"
"45","comuna","Alto Hospicio","5","2011","Hombre","Industrias Manufactureras",386515,328200,"[327282, 440050]","[287560, 382900]"
"46","comuna","Alto Hospicio","5","2011","Hombre","Electricidad, Gas y Agua",294833,284440,"[213056, 370866]","[196920, 413532]"
"47","comuna","Alto Hospicio","5","2011","Hombre","Construcción",368481,306320,"[329591, 409433]","[295380, 328200]"
"48","comuna","Alto Hospicio","5","2011","Hombre","Comercio",343012,306320,"[316044, 366749]","[273500, 317260]"
"49","comuna","Alto Hospicio","5","2011","Hombre","Hoteles y Restaurantes",362720,369720,"[274635, 450934]","[218800, 437600]"
"50","comuna","Alto Hospicio","5","2011","Hombre","Transporte, Almacenamiento y Comunicaciones",447518,393840,"[413185, 479529]","[365407, 437600]"
"51","comuna","Alto Hospicio","5","2011","Hombre","Intermediación Financiera",334490,286081,"[224858, 487650]","[196920, 568880]"
"52","comuna","Alto Hospicio","5","2011","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler",369440,278970,"[322104, 449052]","[240680, 339140]"
"53","comuna","Alto Hospicio","5","2011","Hombre","Administración Pública y Defensa",472618,415720,"[409327, 534932]","[382900, 466317]"
"54","comuna","Alto Hospicio","5","2011","Hombre","Enseñanza",490704,492300,"[417593, 574999]","[362798, 581862]"
"55","comuna","Alto Hospicio","5","2011","Hombre","Servicios Sociales y de Salud",404780,328200,"[240680, 667340]","[218800, 929900]"
"56","comuna","Alto Hospicio","5","2011","Hombre","Servicios Comunitarios, Sociales y Personales",453185,328200,"[336329, 615905]","[306320, 437600]"
"57","comuna","Alto Hospicio","5","2011","Hombre","Servicio Doméstico",224200,196920,"[157294, 322452]","[143780, 308100]"
"58","comuna","Ancud","6","2011","Hombre","Agricultura, Ganadería, Caza y Silvicultura",243706,205400,"[203469, 293267]","[196920, 246480]"
"59","comuna","Ancud","6","2011","Hombre","Pesca",256830,205400,"[218242, 302081]","[196920, 295380]"
"60","comuna","Ancud","6","2011","Hombre","Industrias Manufactureras",250292,229740,"[198841, 299090]","[196920, 315209]"
"61","comuna","Ancud","6","2011","Hombre","Electricidad, Gas y Agua",382900,382900,"[7800, 351987]","[7800, 351987]"
"62","comuna","Ancud","6","2011","Hombre","Construcción",322850,202254,"[224994, 478266]","[196920, 328200]"
"63","comuna","Ancud","6","2011","Hombre","Comercio",455637,263030,"[291314, 749766]","[203748, 410800]"
"64","comuna","Ancud","6","2011","Hombre","Hoteles y Restaurantes",286595,214830,"[205400, 439556]","[205400, 439556]"
"65","comuna","Ancud","6","2011","Hombre","Transporte, Almacenamiento y Comunicaciones",491582,390260,"[352973, 640057]","[218800, 501257]"
