"","geography_level","geography_name","geography_id","year","sexo","rama","mean_income","median_income","ci_mean_income","ci_median_income"
"1","pais","País","pais","2011","Hombre","Agricultura, Ganadería, Caza y Silvicultura",286676,199108,"[273027, 298828]","[199108, 199108]"
"2","pais","País","pais","2011","Hombre","Pesca",369976,284440,"[349982, 394869]","[273500, 306320]"
"3","pais","País","pais","2011","Hombre","Explotación de Minas y Canteras",649993,492300,"[628930, 674120]","[492300, 492300]"
"4","pais","País","pais","2011","Hombre","Industrias Manufactureras",414929,273500,"[395718, 430742]","[273500, 273500]"
"5","pais","País","pais","2011","Hombre","Electricidad, Gas y Agua",545972,328200,"[485566, 607511]","[273500, 328200]"
"6","pais","País","pais","2011","Hombre","Construcción",393612,273500,"[380600, 405324]","[273500, 273500]"
"7","pais","País","pais","2011","Hombre","Comercio",391220,246480,"[380165, 405175]","[242239, 251620]"
"8","pais","País","pais","2011","Hombre","Hoteles y Restaurantes",420073,229740,"[385406, 466796]","[218800, 240680]"
"9","pais","País","pais","2011","Hombre","Transporte, Almacenamiento y Comunicaciones",475709,328200,"[459980, 494081]","[328200, 328200]"
"10","pais","País","pais","2011","Hombre","Intermediación Financiera",874822,547000,"[792616, 988442]","[492300, 555342]"
"11","pais","País","pais","2011","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler",725654,382900,"[689139, 761324]","[350080, 382900]"
"12","pais","País","pais","2011","Hombre","Administración Pública y Defensa",630268,470420,"[602935, 659595]","[437600, 492300]"
"13","pais","País","pais","2011","Hombre","Enseñanza",577668,426660,"[553059, 608385]","[391375, 437600]"
"14","pais","País","pais","2011","Hombre","Servicios Sociales y de Salud",850448,410800,"[741717, 997912]","[380028, 437600]"
"15","pais","País","pais","2011","Hombre","Servicios Comunitarios, Sociales y Personales",430236,262560,"[403029, 459993]","[240680, 273500]"
"16","pais","País","pais","2011","Hombre","Servicio Doméstico",277042,218800,"[255796, 308113]","[218800, 240680]"
"17","pais","País","pais","2011","Hombre","Organizaciones y órganos Extraterritoriales",986200,525120,"[349381, 2051035]","[251620, 719031]"
"18","pais","País","pais","2011","Mujer","Agricultura, Ganadería, Caza y Silvicultura",212991,196920,"[196984, 232141]","[196109, 196920]"
"19","pais","País","pais","2011","Mujer","Pesca",285280,201296,"[232847, 358956]","[199108, 204230]"
"20","pais","País","pais","2011","Mujer","Explotación de Minas y Canteras",541699,328200,"[476467, 612543]","[308508, 382900]"
"21","pais","País","pais","2011","Mujer","Industrias Manufactureras",307797,202390,"[288803, 327006]","[199108, 205368]"
"22","pais","País","pais","2011","Mujer","Electricidad, Gas y Agua",390580,273500,"[322279, 496073]","[218800, 306320]"
"23","pais","País","pais","2011","Mujer","Construcción",488470,308100,"[430750, 534550]","[273500, 328316]"
"24","pais","País","pais","2011","Mujer","Comercio",272652,200202,"[265220, 280000]","[199108, 202390]"
"25","pais","País","pais","2011","Mujer","Hoteles y Restaurantes",295579,199108,"[281168, 314509]","[199108, 202390]"
"26","pais","País","pais","2011","Mujer","Transporte, Almacenamiento y Comunicaciones",433118,262560,"[395038, 488323]","[240680, 273500]"
"27","pais","País","pais","2011","Mujer","Intermediación Financiera",550928,382900,"[499791, 598803]","[358949, 427571]"
"28","pais","País","pais","2011","Mujer","Actividades Inmobiliarias, Empresariales y de Alquiler",515249,283172,"[486554, 559270]","[273500, 306320]"
"29","pais","País","pais","2011","Mujer","Administración Pública y Defensa",457496,328200,"[436912, 476276]","[328200, 328200]"
"30","pais","País","pais","2011","Mujer","Enseñanza",409264,317260,"[399795, 418743]","[306320, 328200]"
"31","pais","País","pais","2011","Mujer","Servicios Sociales y de Salud",453836,306320,"[430355, 476074]","[296419, 323003]"
"32","pais","País","pais","2011","Mujer","Servicios Comunitarios, Sociales y Personales",360193,218800,"[330772, 384878]","[217636, 229740]"
"33","pais","País","pais","2011","Mujer","Servicio Doméstico",155538,148883,"[152472, 159124]","[142220, 153160]"
"34","pais","País","pais","2011","Mujer","Organizaciones y órganos Extraterritoriales",366515,231381,"[163446, 632877]","[89065, 382900]"
"35","pais","País","pais","2013","Hombre","Agricultura, Ganadería, Caza y Silvicultura",245508,210000,"[237532, 253230]","[210000, 210000]"
"36","pais","País","pais","2013","Hombre","Pesca",301358,210000,"[275647, 324586]","[210000, 230000]"
