"","geography_level","geography_name","geography_id","year","sexo","rama","mean_income","median_income","ci_mean_income","ci_median_income"
"1","provincia","Antofagasta","p21","2011","Hombre","Agricultura, Ganadería, Caza y Silvicultura",361802,350080,"[243743, 514631]","[218800, 437600]"
"2","provincia","Antofagasta","p21","2011","Hombre","Pesca",474556,410800,"[416745, 518779]","[410800, 513500]"
"3","provincia","Antofagasta","p21","2011","Hombre","Explotación de Minas y Canteras",810326,601700,"[750847, 885908]","[547000, 656400]"
"4","provincia","Antofagasta","p21","2011","Hombre","Industrias Manufactureras",660104,437600,"[588629, 766909]","[437600, 492300]"
"5","provincia","Antofagasta","p21","2011","Hombre","Electricidad, Gas y Agua",593111,437600,"[446217, 746049]","[382900, 672806]"
"6","provincia","Antofagasta","p21","2011","Hombre","Construcción",543613,383529,"[490384, 612598]","[382900, 415720]"
"7","provincia","Antofagasta","p21","2011","Hombre","Comercio",536729,393840,"[489140, 588525]","[379731, 413383]"
"8","provincia","Antofagasta","p21","2011","Hombre","Hoteles y Restaurantes",596240,306320,"[374304, 903795]","[256270, 394387]"
"9","provincia","Antofagasta","p21","2011","Hombre","Transporte, Almacenamiento y Comunicaciones",552399,415720,"[503807, 600192]","[410800, 437600]"
"10","provincia","Antofagasta","p21","2011","Hombre","Intermediación Financiera",806405,782760,"[559288, 1089905]","[401088, 984600]"
"11","provincia","Antofagasta","p21","2011","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler",694044,462477,"[615481, 768353]","[409976, 519600]"
"12","provincia","Antofagasta","p21","2011","Hombre","Administración Pública y Defensa",690533,497770,"[579350, 859214]","[437600, 763910]"
"13","provincia","Antofagasta","p21","2011","Hombre","Enseñanza",712724,617422,"[615554, 799419]","[468779, 678280]"
"14","provincia","Antofagasta","p21","2011","Hombre","Servicios Sociales y de Salud",772237,656400,"[636813, 940501]","[471446, 875200]"
"15","provincia","Antofagasta","p21","2011","Hombre","Servicios Comunitarios, Sociales y Personales",408241,273500,"[340008, 489840]","[240680, 388643]"
"16","provincia","Antofagasta","p21","2011","Hombre","Servicio Doméstico",280270,254355,"[188204, 381262]","[199368, 335831]"
"17","provincia","Arauco","p82","2011","Hombre","Agricultura, Ganadería, Caza y Silvicultura",208933,199108,"[189695, 228672]","[196920, 218800]"
"18","provincia","Arauco","p82","2011","Hombre","Pesca",228140,210760,"[188369, 287048]","[153212, 287560]"
"19","provincia","Arauco","p82","2011","Hombre","Explotación de Minas y Canteras",343730,218800,"[200287, 522588]","[196920, 252167]"
"20","provincia","Arauco","p82","2011","Hombre","Industrias Manufactureras",306451,273500,"[270219, 350201]","[218800, 306320]"
"21","provincia","Arauco","p82","2011","Hombre","Electricidad, Gas y Agua",186605,207860,"[137047, 224758]","[142220, 235210]"
"22","provincia","Arauco","p82","2011","Hombre","Construcción",257739,218800,"[233597, 288179]","[196920, 240680]"
"23","provincia","Arauco","p82","2011","Hombre","Comercio",236754,196920,"[182439, 273375]","[155348, 224270]"
"24","provincia","Arauco","p82","2011","Hombre","Hoteles y Restaurantes",325070,325070,"[218800, 431340]","[218800, 431340]"
