"","geography_level","geography_name","geography_id","year","sexo","rama","mean_income","median_income","ci_mean_income","ci_median_income"
"1","region","Antofagasta","2","2011","Hombre","Agricultura, Ganadería, Caza y Silvicultura",277021,246150,"[215442, 344835]","[203105, 328200]"
"2","region","Araucanía","9","2011","Hombre","Agricultura, Ganadería, Caza y Silvicultura",222084,185980,"[205794, 242140]","[175155, 196920]"
"3","region","Arica y Parinacota","15","2011","Hombre","Agricultura, Ganadería, Caza y Silvicultura",382210,218800,"[313168, 446011]","[202390, 236523]"
"4","region","Atacama","3","2011","Hombre","Agricultura, Ganadería, Caza y Silvicultura",299812,218800,"[277438, 322462]","[218800, 270275]"
"5","region","Aysén","11","2011","Hombre","Agricultura, Ganadería, Caza y Silvicultura",396376,246480,"[347457, 434840]","[234116, 298948]"
"6","region","Bíobío","8","2011","Hombre","Agricultura, Ganadería, Caza y Silvicultura",217444,196920,"[205138, 231240]","[196920, 196920]"
"7","region","Coquimbo","4","2011","Hombre","Agricultura, Ganadería, Caza y Silvicultura",239915,199108,"[219403, 262875]","[198534, 199108]"
"8","region","Los Lagos","10","2011","Hombre","Agricultura, Ganadería, Caza y Silvicultura",399181,201296,"[321726, 534966]","[199108, 205400]"
"9","region","Los Ríos","14","2011","Hombre","Agricultura, Ganadería, Caza y Silvicultura",316543,199636,"[272646, 375638]","[199108, 202390]"
"10","region","Magallanes","12","2011","Hombre","Agricultura, Ganadería, Caza y Silvicultura",699211,262560,"[337701, 1523024]","[218800, 328200]"
"11","region","Maule","7","2011","Hombre","Agricultura, Ganadería, Caza y Silvicultura",243913,199108,"[231585, 259427]","[199108, 199108]"
"12","region","Metropolitana","13","2011","Hombre","Agricultura, Ganadería, Caza y Silvicultura",382893,218800,"[331241, 463832]","[207100, 218800]"
"13","region","O'Higgins","6","2011","Hombre","Agricultura, Ganadería, Caza y Silvicultura",258627,199108,"[247023, 271925]","[199108, 202390]"
"14","region","Tarapacá","1","2011","Hombre","Agricultura, Ganadería, Caza y Silvicultura",325215,218800,"[244568, 447426]","[196920, 313376]"
"15","region","Valparaíso","5","2011","Hombre","Agricultura, Ganadería, Caza y Silvicultura",266632,199108,"[242759, 294082]","[197959, 204578]"
"16","region","Antofagasta","2","2011","Hombre","Pesca",468031,410800,"[419962, 513142]","[410800, 472420]"
"17","region","Araucanía","9","2011","Hombre","Pesca",260484,240680,"[212843, 303628]","[184860, 293192]"
"18","region","Arica y Parinacota","15","2011","Hombre","Pesca",409778,328420,"[335060, 487364]","[278423, 402744]"
"19","region","Atacama","3","2011","Hombre","Pesca",488381,410800,"[392856, 615444]","[371774, 456631]"
"20","region","Aysén","11","2011","Hombre","Pesca",416627,308100,"[371403, 471073]","[306320, 335301]"
"21","region","Bíobío","8","2011","Hombre","Pesca",276513,218800,"[223205, 320912]","[196920, 250701]"
"22","region","Coquimbo","4","2011","Hombre","Pesca",380733,308100,"[298137, 470171]","[205400, 371774]"
"23","region","Los Lagos","10","2011","Hombre","Pesca",318100,218800,"[279352, 356174]","[205400, 240680]"
"24","region","Los Ríos","14","2011","Hombre","Pesca",334239,212100,"[266107, 406707]","[199108, 308100]"
