"","sexo","rama","comuna","2011","2013","2015"
"1","Hombre","Agricultura, Ganadería, Caza y Silvicultura","Algarrobo",383082,220000,225000
"2","Hombre","Electricidad, Gas y Agua","Algarrobo",142220,380000,NA
"3","Hombre","Construcción","Algarrobo",448200,291000,268000
"4","Hombre","Comercio","Algarrobo",472420,3072000,222500
"5","Hombre","Hoteles y Restaurantes","Algarrobo",393840,265000,866667
"6","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler","Algarrobo",228538,917642,1045000
"7","Hombre","Administración Pública y Defensa","Algarrobo",207860,350000,4e+05
"8","Hombre","Enseñanza","Algarrobo",328200,750000,1766667
"9","Hombre","Servicios Sociales y de Salud","Algarrobo",415720,162000,NA
"10","Hombre","Servicios Comunitarios, Sociales y Personales","Algarrobo",268030,344750,255000
"11","Hombre","Servicio Doméstico","Algarrobo",193921,268167,251667
"12","Hombre","Agricultura, Ganadería, Caza y Silvicultura","Alhué",261289,261852,260923
"13","Hombre","Explotación de Minas y Canteras","Alhué",347102,522727,518456
"14","Hombre","Construcción","Alhué",309967,233333,281875
"15","Hombre","Comercio","Alhué",166835,550000,343283
"16","Hombre","Transporte, Almacenamiento y Comunicaciones","Alhué",318354,183333,452500
"17","Hombre","Servicios Comunitarios, Sociales y Personales","Alhué",246480,3e+05,NA
"18","Hombre","Agricultura, Ganadería, Caza y Silvicultura","Alto Bíobío",316134,154615,156824
"19","Hombre","Explotación de Minas y Canteras","Alto Bíobío",240680,NA,450000
"20","Hombre","Industrias Manufactureras","Alto Bíobío",218800,272500,185000
"21","Hombre","Electricidad, Gas y Agua","Alto Bíobío",239970,5e+05,3e+05
"22","Hombre","Construcción","Alto Bíobío",242819,327745,382286
"23","Hombre","Hoteles y Restaurantes","Alto Bíobío",4261160,NA,3e+06
"24","Hombre","Transporte, Almacenamiento y Comunicaciones","Alto Bíobío",547000,366667,NA
"25","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler","Alto Bíobío",975650,447362,2e+05
"26","Hombre","Administración Pública y Defensa","Alto Bíobío",262560,242167,259500
"27","Hombre","Enseñanza","Alto Bíobío",252988,NA,412500
"28","Hombre","Servicios Sociales y de Salud","Alto Bíobío",497770,540000,NA
"29","Hombre","Servicios Comunitarios, Sociales y Personales","Alto Bíobío",199655,205000,3e+05
"30","Hombre","Servicio Doméstico","Alto Bíobío",246480,NA,NA
"31","Hombre","Agricultura, Ganadería, Caza y Silvicultura","Alto del Carmen",258747,257571,384615
"32","Hombre","Explotación de Minas y Canteras","Alto del Carmen",369500,365000,6e+05
"33","Hombre","Electricidad, Gas y Agua","Alto del Carmen",128217,NA,NA
"34","Hombre","Construcción","Alto del Carmen",414178,210000,3e+05
"35","Hombre","Comercio","Alto del Carmen",352301,NA,2e+05
"36","Hombre","Transporte, Almacenamiento y Comunicaciones","Alto del Carmen",424131,255000,3e+05
"37","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler","Alto del Carmen",492300,NA,NA
"38","Hombre","Administración Pública y Defensa","Alto del Carmen",629050,290000,NA
"39","Hombre","Enseñanza","Alto del Carmen",440335,5e+05,NA
"40","Hombre","Servicios Sociales y de Salud","Alto del Carmen",565233,NA,350000
"41","Hombre","Servicios Comunitarios, Sociales y Personales","Alto del Carmen",109400,NA,NA
"42","Hombre","Agricultura, Ganadería, Caza y Silvicultura","Alto Hospicio",366150,206000,424000
"43","Hombre","Pesca","Alto Hospicio",383788,354118,351278
"44","Hombre","Explotación de Minas y Canteras","Alto Hospicio",628958,599623,618708
"45","Hombre","Industrias Manufactureras","Alto Hospicio",386515,387362,401829
"46","Hombre","Electricidad, Gas y Agua","Alto Hospicio",294833,376000,5e+05
"47","Hombre","Construcción","Alto Hospicio",368481,385276,401964
"48","Hombre","Comercio","Alto Hospicio",343012,348239,324183
"49","Hombre","Hoteles y Restaurantes","Alto Hospicio",362720,364846,312273
"50","Hombre","Transporte, Almacenamiento y Comunicaciones","Alto Hospicio",447518,416653,426736
"51","Hombre","Intermediación Financiera","Alto Hospicio",334490,412110,950000
