"","sexo","rama","2011","2013","2015"
"1","Hombre","Agricultura, Ganadería, Caza y Silvicultura",286676,245508,293506
"2","Hombre","Pesca",369976,301358,351072
"3","Hombre","Explotación de Minas y Canteras",649993,665175,762099
"4","Hombre","Industrias Manufactureras",414929,372788,422215
"5","Hombre","Electricidad, Gas y Agua",545972,504069,585884
"6","Hombre","Construcción",393612,361862,413398
"7","Hombre","Comercio",391220,350111,394732
"8","Hombre","Hoteles y Restaurantes",420073,340289,387223
"9","Hombre","Transporte, Almacenamiento y Comunicaciones",475709,401613,464353
"10","Hombre","Intermediación Financiera",874822,815470,1044147
"11","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler",725654,758054,867481
"12","Hombre","Administración Pública y Defensa",630268,616256,690488
"13","Hombre","Enseñanza",577668,573742,671154
"14","Hombre","Servicios Sociales y de Salud",850448,727280,866710
"15","Hombre","Servicios Comunitarios, Sociales y Personales",430236,356574,435891
"16","Hombre","Servicio Doméstico",277042,227750,249997
"17","Hombre","Organizaciones y órganos Extraterritoriales",986200,398851,2454098
"18","Mujer","Agricultura, Ganadería, Caza y Silvicultura",212991,208777,241371
"19","Mujer","Pesca",285280,215605,297430
"20","Mujer","Explotación de Minas y Canteras",541699,560353,721955
"21","Mujer","Industrias Manufactureras",307797,236389,291027
"22","Mujer","Electricidad, Gas y Agua",390580,353145,494564
"23","Mujer","Construcción",488470,392489,529024
"24","Mujer","Comercio",272652,225424,263654
"25","Mujer","Hoteles y Restaurantes",295579,237669,270837
"26","Mujer","Transporte, Almacenamiento y Comunicaciones",433118,343333,407312
"27","Mujer","Intermediación Financiera",550928,626359,705781
"28","Mujer","Actividades Inmobiliarias, Empresariales y de Alquiler",515249,456521,557191
"29","Mujer","Administración Pública y Defensa",457496,499282,591150
"30","Mujer","Enseñanza",409264,411637,464622
"31","Mujer","Servicios Sociales y de Salud",453836,460445,527268
"32","Mujer","Servicios Comunitarios, Sociales y Personales",360193,279722,325913
"33","Mujer","Servicio Doméstico",155538,158338,191220
"34","Mujer","Organizaciones y órganos Extraterritoriales",366515,615794,929273
