"","sexo","region","rama","2011","2013","2015"
"1","Hombre","Antofagasta","Agricultura, Ganadería, Caza y Silvicultura",277021,223252,289028
"2","Hombre","Araucanía","Agricultura, Ganadería, Caza y Silvicultura",222084,241085,234932
"3","Hombre","Arica y Parinacota","Agricultura, Ganadería, Caza y Silvicultura",382210,240966,217273
"4","Hombre","Atacama","Agricultura, Ganadería, Caza y Silvicultura",299812,257356,386160
"5","Hombre","Aysén","Agricultura, Ganadería, Caza y Silvicultura",396376,270458,340387
"6","Hombre","Bíobío","Agricultura, Ganadería, Caza y Silvicultura",217444,226393,269799
"7","Hombre","Coquimbo","Agricultura, Ganadería, Caza y Silvicultura",239915,239427,254799
"8","Hombre","Los Lagos","Agricultura, Ganadería, Caza y Silvicultura",399181,233368,276047
"9","Hombre","Los Ríos","Agricultura, Ganadería, Caza y Silvicultura",316543,253505,278828
"10","Hombre","Magallanes","Agricultura, Ganadería, Caza y Silvicultura",699211,356426,689584
"11","Hombre","Maule","Agricultura, Ganadería, Caza y Silvicultura",243913,231290,278140
"12","Hombre","Metropolitana","Agricultura, Ganadería, Caza y Silvicultura",382893,283396,421266
"13","Hombre","O'Higgins","Agricultura, Ganadería, Caza y Silvicultura",258627,251622,314744
"14","Hombre","Tarapacá","Agricultura, Ganadería, Caza y Silvicultura",325215,160513,221333
"15","Hombre","Valparaíso","Agricultura, Ganadería, Caza y Silvicultura",266632,267352,311270
"16","Hombre","Antofagasta","Pesca",468031,312143,234665
"17","Hombre","Araucanía","Pesca",260484,219609,418089
"18","Hombre","Arica y Parinacota","Pesca",409778,331508,463333
"19","Hombre","Atacama","Pesca",488381,326364,303204
"20","Hombre","Aysén","Pesca",416627,380762,456806
"21","Hombre","Bíobío","Pesca",276513,239635,327784
"22","Hombre","Coquimbo","Pesca",380733,209366,267374
"23","Hombre","Los Lagos","Pesca",318100,288478,356501
"24","Hombre","Los Ríos","Pesca",334239,183731,233014
"25","Hombre","Magallanes","Pesca",384367,461966,551718
"26","Hombre","Maule","Pesca",212071,198359,225709
"27","Hombre","Metropolitana","Pesca",879576,201500,1067000
"28","Hombre","O'Higgins","Pesca",418111,211250,250787
"29","Hombre","Tarapacá","Pesca",430310,429303,315180
"30","Hombre","Valparaíso","Pesca",305509,225642,280132
"31","Hombre","Antofagasta","Explotación de Minas y Canteras",735556,797822,828636
"32","Hombre","Araucanía","Explotación de Minas y Canteras",657736,536409,498552
"33","Hombre","Arica y Parinacota","Explotación de Minas y Canteras",703981,540366,753424
"34","Hombre","Atacama","Explotación de Minas y Canteras",545966,602286,708186
"35","Hombre","Aysén","Explotación de Minas y Canteras",591608,564405,808500
"36","Hombre","Bíobío","Explotación de Minas y Canteras",432420,534896,677890
"37","Hombre","Coquimbo","Explotación de Minas y Canteras",526553,596962,644804
"38","Hombre","Los Lagos","Explotación de Minas y Canteras",295380,483977,301917
"39","Hombre","Los Ríos","Explotación de Minas y Canteras",392606,376792,421500
"40","Hombre","Magallanes","Explotación de Minas y Canteras",747583,752467,1029311
"41","Hombre","Maule","Explotación de Minas y Canteras",530897,563352,590007
"42","Hombre","Metropolitana","Explotación de Minas y Canteras",1014804,936399,1336849
"43","Hombre","O'Higgins","Explotación de Minas y Canteras",580108,687726,757574
"44","Hombre","Tarapacá","Explotación de Minas y Canteras",681532,732268,671126
"45","Hombre","Valparaíso","Explotación de Minas y Canteras",674200,664034,772034
"46","Hombre","Antofagasta","Industrias Manufactureras",610144,528512,695736
"47","Hombre","Araucanía","Industrias Manufactureras",286032,258711,319534
"48","Hombre","Arica y Parinacota","Industrias Manufactureras",413901,319020,318567
"49","Hombre","Atacama","Industrias Manufactureras",420004,391371,486176
"50","Hombre","Aysén","Industrias Manufactureras",441962,363831,354379
"51","Hombre","Bíobío","Industrias Manufactureras",382990,354550,395089
"52","Hombre","Coquimbo","Industrias Manufactureras",422148,381071,430873
"53","Hombre","Los Lagos","Industrias Manufactureras",358189,322799,333295
"54","Hombre","Los Ríos","Industrias Manufactureras",327179,288127,350852
"55","Hombre","Magallanes","Industrias Manufactureras",619164,484787,478062
"56","Hombre","Maule","Industrias Manufactureras",335481,294227,323151
"57","Hombre","Metropolitana","Industrias Manufactureras",482129,436758,492555
"58","Hombre","O'Higgins","Industrias Manufactureras",337127,324983,414203
"59","Hombre","Tarapacá","Industrias Manufactureras",438932,509776,437875
"60","Hombre","Valparaíso","Industrias Manufactureras",412316,442735,429844
"61","Hombre","Antofagasta","Electricidad, Gas y Agua",630001,611359,767226
"62","Hombre","Araucanía","Electricidad, Gas y Agua",282313,373250,307593
"63","Hombre","Arica y Parinacota","Electricidad, Gas y Agua",432641,565268,437500
"64","Hombre","Atacama","Electricidad, Gas y Agua",381660,604883,686130
"65","Hombre","Aysén","Electricidad, Gas y Agua",379496,642647,308400
"66","Hombre","Bíobío","Electricidad, Gas y Agua",404369,304526,456270
"67","Hombre","Coquimbo","Electricidad, Gas y Agua",434671,499862,381162
"68","Hombre","Los Lagos","Electricidad, Gas y Agua",367240,550573,449965
"69","Hombre","Los Ríos","Electricidad, Gas y Agua",430555,546778,331800
"70","Hombre","Magallanes","Electricidad, Gas y Agua",679086,773301,514045
"71","Hombre","Maule","Electricidad, Gas y Agua",438187,446049,497800
"72","Hombre","Metropolitana","Electricidad, Gas y Agua",1082078,589055,877799
"73","Hombre","O'Higgins","Electricidad, Gas y Agua",465802,317255,398718
"74","Hombre","Tarapacá","Electricidad, Gas y Agua",764363,612632,350143
"75","Hombre","Valparaíso","Electricidad, Gas y Agua",492575,596819,696209
"76","Hombre","Antofagasta","Construcción",549237,443047,488590
"77","Hombre","Araucanía","Construcción",327637,304792,317247
"78","Hombre","Arica y Parinacota","Construcción",349208,280015,346704
"79","Hombre","Atacama","Construcción",433425,457291,459961
"80","Hombre","Aysén","Construcción",436120,426877,485769
"81","Hombre","Bíobío","Construcción",345566,311824,359791
"82","Hombre","Coquimbo","Construcción",365022,332586,424008
"83","Hombre","Los Lagos","Construcción",315410,310835,323817
"84","Hombre","Los Ríos","Construcción",319115,305458,304765
"85","Hombre","Magallanes","Construcción",453047,404681,485101
"86","Hombre","Maule","Construcción",303427,325552,391174
"87","Hombre","Metropolitana","Construcción",483468,441956,527383
"88","Hombre","O'Higgins","Construcción",383322,310428,372460
"89","Hombre","Tarapacá","Construcción",423466,421532,434765
"90","Hombre","Valparaíso","Construcción",370251,364367,389743
"91","Hombre","Antofagasta","Comercio",523618,456819,467124
"92","Hombre","Araucanía","Comercio",309938,295364,292864
"93","Hombre","Arica y Parinacota","Comercio",357289,281033,294969
"94","Hombre","Atacama","Comercio",418197,363355,426099
"95","Hombre","Aysén","Comercio",419775,369532,387945
"96","Hombre","Bíobío","Comercio",356325,303656,339756
"97","Hombre","Coquimbo","Comercio",319326,348025,350815
"98","Hombre","Los Lagos","Comercio",377204,300053,336108
"99","Hombre","Los Ríos","Comercio",345420,273542,282472
"100","Hombre","Magallanes","Comercio",423370,366228,411317
"101","Hombre","Maule","Comercio",291669,294124,316488
"102","Hombre","Metropolitana","Comercio",506414,411933,494382
"103","Hombre","O'Higgins","Comercio",311260,307463,326182
"104","Hombre","Tarapacá","Comercio",445126,420167,425585
"105","Hombre","Valparaíso","Comercio",342363,358397,368497
"106","Hombre","Antofagasta","Hoteles y Restaurantes",551348,316734,648845
"107","Hombre","Araucanía","Hoteles y Restaurantes",366352,304634,324282
"108","Hombre","Arica y Parinacota","Hoteles y Restaurantes",302245,293791,329059
"109","Hombre","Atacama","Hoteles y Restaurantes",483517,412255,452000
"110","Hombre","Aysén","Hoteles y Restaurantes",432851,389527,353500
