"","sexo","rama","comuna","2011","2013","2015"
"1","Hombre","Agricultura, Ganadería, Caza y Silvicultura","Algarrobo",191450,290000,240000
"2","Hombre","Electricidad, Gas y Agua","Algarrobo",142220,380000,NA
"3","Hombre","Construcción","Algarrobo",448200,230000,275000
"4","Hombre","Comercio","Algarrobo",472420,6e+05,275000
"5","Hombre","Hoteles y Restaurantes","Algarrobo",393840,280000,4e+05
"6","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler","Algarrobo",223040,917642,1200000
"7","Hombre","Administración Pública y Defensa","Algarrobo",207860,350000,4e+05
"8","Hombre","Enseñanza","Algarrobo",328200,350000,1400000
"9","Hombre","Servicios Sociales y de Salud","Algarrobo",415720,162000,NA
"10","Hombre","Servicios Comunitarios, Sociales y Personales","Algarrobo",268030,4e+05,255000
"11","Hombre","Servicio Doméstico","Algarrobo",213330,255000,280000
"12","Hombre","Agricultura, Ganadería, Caza y Silvicultura","Alhué",240680,240000,253846
"13","Hombre","Explotación de Minas y Canteras","Alhué",382900,5e+05,5e+05
"14","Hombre","Construcción","Alhué",273500,250000,272500
"15","Hombre","Comercio","Alhué",158630,550000,240000
"16","Hombre","Transporte, Almacenamiento y Comunicaciones","Alhué",318354,180000,425000
"17","Hombre","Servicios Comunitarios, Sociales y Personales","Alhué",246480,3e+05,NA
"18","Hombre","Agricultura, Ganadería, Caza y Silvicultura","Alto Bíobío",199108,190000,50000
"19","Hombre","Explotación de Minas y Canteras","Alto Bíobío",240680,NA,450000
"20","Hombre","Industrias Manufactureras","Alto Bíobío",218800,155000,185000
"21","Hombre","Electricidad, Gas y Agua","Alto Bíobío",229740,5e+05,3e+05
"22","Hombre","Construcción","Alto Bíobío",205400,3e+05,279000
"23","Hombre","Hoteles y Restaurantes","Alto Bíobío",4261160,NA,3e+06
"24","Hombre","Transporte, Almacenamiento y Comunicaciones","Alto Bíobío",547000,5e+05,NA
"25","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler","Alto Bíobío",975650,392087,2e+05
"26","Hombre","Administración Pública y Defensa","Alto Bíobío",262560,210000,285000
"27","Hombre","Enseñanza","Alto Bíobío",252988,NA,250000
"28","Hombre","Servicios Sociales y de Salud","Alto Bíobío",497770,540000,NA
"29","Hombre","Servicios Comunitarios, Sociales y Personales","Alto Bíobío",199655,205000,3e+05
"30","Hombre","Servicio Doméstico","Alto Bíobío",246480,NA,NA
"31","Hombre","Agricultura, Ganadería, Caza y Silvicultura","Alto del Carmen",207860,210000,350000
"32","Hombre","Explotación de Minas y Canteras","Alto del Carmen",410800,255000,6e+05
"33","Hombre","Electricidad, Gas y Agua","Alto del Carmen",128217,NA,NA
"34","Hombre","Construcción","Alto del Carmen",393840,210000,3e+05
"35","Hombre","Comercio","Alto del Carmen",262560,NA,2e+05
"36","Hombre","Transporte, Almacenamiento y Comunicaciones","Alto del Carmen",325465,255000,3e+05
"37","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler","Alto del Carmen",492300,NA,NA
"38","Hombre","Administración Pública y Defensa","Alto del Carmen",629050,290000,NA
"39","Hombre","Enseñanza","Alto del Carmen",240680,5e+05,NA
"40","Hombre","Servicios Sociales y de Salud","Alto del Carmen",547000,NA,350000
"41","Hombre","Servicios Comunitarios, Sociales y Personales","Alto del Carmen",109400,NA,NA
"42","Hombre","Agricultura, Ganadería, Caza y Silvicultura","Alto Hospicio",390260,150000,424000
"43","Hombre","Pesca","Alto Hospicio",437600,3e+05,325000
"44","Hombre","Explotación de Minas y Canteras","Alto Hospicio",547000,585000,593489
"45","Hombre","Industrias Manufactureras","Alto Hospicio",328200,355000,350000
"46","Hombre","Electricidad, Gas y Agua","Alto Hospicio",284440,4e+05,5e+05
"47","Hombre","Construcción","Alto Hospicio",306320,310000,350000
"48","Hombre","Comercio","Alto Hospicio",306320,3e+05,3e+05
"49","Hombre","Hoteles y Restaurantes","Alto Hospicio",369720,270000,297500
"50","Hombre","Transporte, Almacenamiento y Comunicaciones","Alto Hospicio",393840,4e+05,350000
"51","Hombre","Intermediación Financiera","Alto Hospicio",286081,374220,950000
"52","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler","Alto Hospicio",278970,3e+05,350000
"53","Hombre","Administración Pública y Defensa","Alto Hospicio",415720,450000,5e+05
"54","Hombre","Enseñanza","Alto Hospicio",492300,6e+05,480000
"55","Hombre","Servicios Sociales y de Salud","Alto Hospicio",328200,490000,320000
"56","Hombre","Servicios Comunitarios, Sociales y Personales","Alto Hospicio",328200,320000,4e+05
"57","Hombre","Servicio Doméstico","Alto Hospicio",196920,225000,282500
"58","Hombre","Agricultura, Ganadería, Caza y Silvicultura","Ancud",205400,115000,185000
"59","Hombre","Pesca","Ancud",205400,190000,2e+05
"60","Hombre","Industrias Manufactureras","Ancud",229740,210000,240500
"61","Hombre","Electricidad, Gas y Agua","Ancud",382900,NA,NA
"62","Hombre","Construcción","Ancud",202254,256383,260000
"63","Hombre","Comercio","Ancud",263030,250000,245000
"64","Hombre","Hoteles y Restaurantes","Ancud",214830,180000,1e+05
"65","Hombre","Transporte, Almacenamiento y Comunicaciones","Ancud",390260,215000,280000
"66","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler","Ancud",159724,330000,250000
"67","Hombre","Administración Pública y Defensa","Ancud",557940,1e+06,4e+05
"68","Hombre","Enseñanza","Ancud",200202,4e+05,607500
"69","Hombre","Servicios Sociales y de Salud","Ancud",202390,257813,390000
"70","Hombre","Servicios Comunitarios, Sociales y Personales","Ancud",205400,180000,282500
"71","Hombre","Servicio Doméstico","Ancud",123240,167500,190000
"72","Hombre","Agricultura, Ganadería, Caza y Silvicultura","Andacollo",181967,120000,110000
"73","Hombre","Explotación de Minas y Canteras","Andacollo",437600,350000,4e+05
"74","Hombre","Industrias Manufactureras","Andacollo",199108,5e+05,350000
"75","Hombre","Electricidad, Gas y Agua","Andacollo",328200,NA,210000
"76","Hombre","Construcción","Andacollo",342150,260000,320000
"77","Hombre","Comercio","Andacollo",306320,330000,125000
"78","Hombre","Transporte, Almacenamiento y Comunicaciones","Andacollo",616200,405000,3e+05
"79","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler","Andacollo",917866,229979,350000
"80","Hombre","Administración Pública y Defensa","Andacollo",202390,NA,458528
"81","Hombre","Agricultura, Ganadería, Caza y Silvicultura","Angol",191450,210000,250000
"82","Hombre","Explotación de Minas y Canteras","Angol",218910,360000,6e+05
"83","Hombre","Industrias Manufactureras","Angol",225364,3e+05,350000
"84","Hombre","Construcción","Angol",199108,250000,280000
"85","Hombre","Comercio","Angol",200990,250000,250000
"86","Hombre","Hoteles y Restaurantes","Angol",131280,211000,2e+05
"87","Hombre","Transporte, Almacenamiento y Comunicaciones","Angol",208954,310000,3e+05
"88","Hombre","Intermediación Financiera","Angol",376200,270000,NA
