"","sexo","rama","2011","2013","2015"
"1","Hombre","Agricultura, Ganadería, Caza y Silvicultura",199108,210000,241000
"2","Hombre","Pesca",284440,210000,260000
"3","Hombre","Explotación de Minas y Canteras",492300,5e+05,6e+05
"4","Hombre","Industrias Manufactureras",273500,270000,3e+05
"5","Hombre","Electricidad, Gas y Agua",328200,350000,4e+05
"6","Hombre","Construcción",273500,278574,3e+05
"7","Hombre","Comercio",246480,250000,290000
"8","Hombre","Hoteles y Restaurantes",229740,250000,280000
"9","Hombre","Transporte, Almacenamiento y Comunicaciones",328200,3e+05,350000
"10","Hombre","Intermediación Financiera",547000,6e+05,686756
"11","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler",382900,4e+05,5e+05
"12","Hombre","Administración Pública y Defensa",470420,480000,5e+05
"13","Hombre","Enseñanza",426660,450000,5e+05
"14","Hombre","Servicios Sociales y de Salud",410800,4e+05,480000
"15","Hombre","Servicios Comunitarios, Sociales y Personales",262560,250000,3e+05
"16","Hombre","Servicio Doméstico",218800,210000,250000
"17","Hombre","Organizaciones y órganos Extraterritoriales",525120,390000,1822500
"18","Mujer","Agricultura, Ganadería, Caza y Silvicultura",196920,2e+05,240000
"19","Mujer","Pesca",201296,202500,250000
"20","Mujer","Explotación de Minas y Canteras",328200,350000,450000
"21","Mujer","Industrias Manufactureras",202390,210000,241000
"22","Mujer","Electricidad, Gas y Agua",273500,242500,3e+05
"23","Mujer","Construcción",308100,280000,350000
"24","Mujer","Comercio",200202,2e+05,240000
"25","Mujer","Hoteles y Restaurantes",199108,210000,241000
"26","Mujer","Transporte, Almacenamiento y Comunicaciones",262560,250000,3e+05
"27","Mujer","Intermediación Financiera",382900,409000,5e+05
"28","Mujer","Actividades Inmobiliarias, Empresariales y de Alquiler",283172,280000,350000
"29","Mujer","Administración Pública y Defensa",328200,380000,450000
"30","Mujer","Enseñanza",317260,3e+05,350000
"31","Mujer","Servicios Sociales y de Salud",306320,304000,360000
"32","Mujer","Servicios Comunitarios, Sociales y Personales",218800,210000,250000
"33","Mujer","Servicio Doméstico",148883,150000,180000
"34","Mujer","Organizaciones y órganos Extraterritoriales",231381,240000,850000
