"","sexo","rama","provincia","2011","2013","2015"
"1","Hombre","Agricultura, Ganadería, Caza y Silvicultura","Antofagasta",350080,199392,3e+05
"2","Hombre","Pesca","Antofagasta",410800,3e+05,2e+05
"3","Hombre","Explotación de Minas y Canteras","Antofagasta",601700,7e+05,7e+05
"4","Hombre","Industrias Manufactureras","Antofagasta",437600,4e+05,5e+05
"5","Hombre","Electricidad, Gas y Agua","Antofagasta",437600,565000,620000
"6","Hombre","Construcción","Antofagasta",383529,4e+05,4e+05
"7","Hombre","Comercio","Antofagasta",393840,350000,4e+05
"8","Hombre","Hoteles y Restaurantes","Antofagasta",306320,270000,350000
"9","Hombre","Transporte, Almacenamiento y Comunicaciones","Antofagasta",415720,450000,5e+05
"10","Hombre","Intermediación Financiera","Antofagasta",782760,6e+05,450000
"11","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler","Antofagasta",462477,6e+05,4e+05
"12","Hombre","Administración Pública y Defensa","Antofagasta",497770,510000,5e+05
"13","Hombre","Enseñanza","Antofagasta",617422,6e+05,4e+05
"14","Hombre","Servicios Sociales y de Salud","Antofagasta",656400,450000,5e+05
"15","Hombre","Servicios Comunitarios, Sociales y Personales","Antofagasta",273500,3e+05,365000
"16","Hombre","Servicio Doméstico","Antofagasta",254355,332634,425000
"17","Hombre","Agricultura, Ganadería, Caza y Silvicultura","Arauco",199108,210000,241000
"18","Hombre","Pesca","Arauco",210760,150000,2e+05
"19","Hombre","Explotación de Minas y Canteras","Arauco",218800,4e+05,352000
"20","Hombre","Industrias Manufactureras","Arauco",273500,275000,3e+05
"21","Hombre","Electricidad, Gas y Agua","Arauco",207860,170000,3e+05
"22","Hombre","Construcción","Arauco",218800,210000,241000
"23","Hombre","Comercio","Arauco",196920,220000,240000
"24","Hombre","Hoteles y Restaurantes","Arauco",325070,210000,270000
"25","Hombre","Transporte, Almacenamiento y Comunicaciones","Arauco",218800,3e+05,3e+05
"26","Hombre","Intermediación Financiera","Arauco",361020,1400000,490000
"27","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler","Arauco",300850,335000,270000
"28","Hombre","Administración Pública y Defensa","Arauco",185980,220000,251000
"29","Hombre","Enseñanza","Arauco",196920,380000,530672
"30","Hombre","Servicios Sociales y de Salud","Arauco",382900,380000,430000
"31","Hombre","Servicios Comunitarios, Sociales y Personales","Arauco",196920,220000,245000
"32","Hombre","Servicio Doméstico","Arauco",308100,135000,120000
"33","Hombre","Agricultura, Ganadería, Caza y Silvicultura","Arica",218800,210000,2e+05
"34","Hombre","Pesca","Arica",328420,3e+05,4e+05
"35","Hombre","Explotación de Minas y Canteras","Arica",459480,480000,508155
"36","Hombre","Industrias Manufactureras","Arica",273500,247186,251000
"37","Hombre","Electricidad, Gas y Agua","Arica",273500,345000,375000
"38","Hombre","Construcción","Arica",267525,250000,3e+05
"39","Hombre","Comercio","Arica",256750,210000,250000
"40","Hombre","Hoteles y Restaurantes","Arica",206219,225000,260000
"41","Hombre","Transporte, Almacenamiento y Comunicaciones","Arica",369720,3e+05,3e+05
"42","Hombre","Intermediación Financiera","Arica",247244,350000,260000
"43","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler","Arica",328200,290000,480000
"44","Hombre","Administración Pública y Defensa","Arica",568880,555000,550000
"45","Hombre","Enseñanza","Arica",525120,4e+05,615000
"46","Hombre","Servicios Sociales y de Salud","Arica",295380,365000,564500
"47","Hombre","Servicios Comunitarios, Sociales y Personales","Arica",218800,228525,135000
"48","Hombre","Servicio Doméstico","Arica",212100,2e+05,2e+05
"49","Hombre","Agricultura, Ganadería, Caza y Silvicultura","Aysén",245603,210000,3e+05
"50","Hombre","Pesca","Aysén",308100,295000,360000
"51","Hombre","Explotación de Minas y Canteras","Aysén",328200,437500,4e+05
"52","Hombre","Industrias Manufactureras","Aysén",278970,3e+05,245000
"53","Hombre","Electricidad, Gas y Agua","Aysén",328200,347500,265000
"54","Hombre","Construcción","Aysén",278970,3e+05,310000
"55","Hombre","Comercio","Aysén",284440,290000,290000
"56","Hombre","Hoteles y Restaurantes","Aysén",410800,3e+05,350000
"57","Hombre","Transporte, Almacenamiento y Comunicaciones","Aysén",308100,3e+05,4e+05
"58","Hombre","Intermediación Financiera","Aysén",328200,NA,717000
"59","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler","Aysén",437600,350000,385000
"60","Hombre","Administración Pública y Defensa","Aysén",590760,595000,7e+05
"61","Hombre","Enseñanza","Aysén",547000,7e+05,590000
"62","Hombre","Servicios Sociales y de Salud","Aysén",377430,550000,6e+05
"63","Hombre","Servicios Comunitarios, Sociales y Personales","Aysén",317260,312500,3e+05
"64","Hombre","Servicio Doméstico","Aysén",256750,6e+05,350000
"65","Hombre","Agricultura, Ganadería, Caza y Silvicultura","Bíobío",196920,210000,241000
"66","Hombre","Pesca","Bíobío",224270,320000,282500
"67","Hombre","Explotación de Minas y Canteras","Bíobío",265723,5e+05,6e+05
"68","Hombre","Industrias Manufactureras","Bíobío",211891,245000,3e+05
"69","Hombre","Electricidad, Gas y Agua","Bíobío",229740,3e+05,390000
"70","Hombre","Construcción","Bíobío",207860,250000,277500
"71","Hombre","Comercio","Bíobío",218800,210000,250000
"72","Hombre","Hoteles y Restaurantes","Bíobío",210595,210000,243000
"73","Hombre","Transporte, Almacenamiento y Comunicaciones","Bíobío",284440,280000,3e+05
"74","Hombre","Intermediación Financiera","Bíobío",339140,NA,8e+05
"75","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler","Bíobío",273500,371044,4e+05
"76","Hombre","Administración Pública y Defensa","Bíobío",328200,3e+05,410000
"77","Hombre","Enseñanza","Bíobío",218800,4e+05,4e+05
"78","Hombre","Servicios Sociales y de Salud","Bíobío",328200,465000,475000
"79","Hombre","Servicios Comunitarios, Sociales y Personales","Bíobío",199655,220000,3e+05
"80","Hombre","Servicio Doméstico","Bíobío",150491,201500,195000
"81","Hombre","Agricultura, Ganadería, Caza y Silvicultura","Cachapoal",204578,210000,250000
"82","Hombre","Explotación de Minas y Canteras","Cachapoal",539889,6e+05,550000
"83","Hombre","Industrias Manufactureras","Cachapoal",295380,290000,350000
"84","Hombre","Electricidad, Gas y Agua","Cachapoal",350080,3e+05,322500
"85","Hombre","Construcción","Cachapoal",306320,270000,3e+05
"86","Hombre","Comercio","Cachapoal",218800,240000,280000
"87","Hombre","Hoteles y Restaurantes","Cachapoal",218800,242668,3e+05
"88","Hombre","Transporte, Almacenamiento y Comunicaciones","Cachapoal",312680,3e+05,350000
"89","Hombre","Intermediación Financiera","Cachapoal",475890,415000,8e+05
"90","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler","Cachapoal",306320,410000,450000
"91","Hombre","Administración Pública y Defensa","Cachapoal",437600,4e+05,416132
"92","Hombre","Enseñanza","Cachapoal",382900,4e+05,5e+05
"93","Hombre","Servicios Sociales y de Salud","Cachapoal",393840,5e+05,4e+05
"94","Hombre","Servicios Comunitarios, Sociales y Personales","Cachapoal",204578,250000,280000
