"","sexo","region","rama","2011","2013","2015"
"1","Hombre","Antofagasta","Agricultura, Ganadería, Caza y Silvicultura",246150,2e+05,3e+05
"2","Hombre","Araucanía","Agricultura, Ganadería, Caza y Silvicultura",185980,181500,210000
"3","Hombre","Arica y Parinacota","Agricultura, Ganadería, Caza y Silvicultura",218800,2e+05,2e+05
"4","Hombre","Atacama","Agricultura, Ganadería, Caza y Silvicultura",218800,210000,325000
"5","Hombre","Aysén","Agricultura, Ganadería, Caza y Silvicultura",246480,210000,250000
"6","Hombre","Bíobío","Agricultura, Ganadería, Caza y Silvicultura",196920,2e+05,240000
"7","Hombre","Coquimbo","Agricultura, Ganadería, Caza y Silvicultura",199108,210000,240000
"8","Hombre","Los Lagos","Agricultura, Ganadería, Caza y Silvicultura",201296,190000,240000
"9","Hombre","Los Ríos","Agricultura, Ganadería, Caza y Silvicultura",199636,2e+05,241000
"10","Hombre","Magallanes","Agricultura, Ganadería, Caza y Silvicultura",262560,266230,330000
"11","Hombre","Maule","Agricultura, Ganadería, Caza y Silvicultura",199108,210000,241000
"12","Hombre","Metropolitana","Agricultura, Ganadería, Caza y Silvicultura",218800,210000,280000
"13","Hombre","O'Higgins","Agricultura, Ganadería, Caza y Silvicultura",199108,210000,250000
"14","Hombre","Tarapacá","Agricultura, Ganadería, Caza y Silvicultura",218800,145000,2e+05
"15","Hombre","Valparaíso","Agricultura, Ganadería, Caza y Silvicultura",199108,210000,245000
"16","Hombre","Antofagasta","Pesca",410800,250000,2e+05
"17","Hombre","Araucanía","Pesca",240680,210000,247000
"18","Hombre","Arica y Parinacota","Pesca",328420,3e+05,4e+05
"19","Hombre","Atacama","Pesca",410800,3e+05,242500
"20","Hombre","Aysén","Pesca",308100,305500,375000
"21","Hombre","Bíobío","Pesca",218800,2e+05,245000
"22","Hombre","Coquimbo","Pesca",308100,2e+05,240000
"23","Hombre","Los Lagos","Pesca",218800,205116,280000
"24","Hombre","Los Ríos","Pesca",212100,150000,180000
"25","Hombre","Magallanes","Pesca",328200,320000,4e+05
"26","Hombre","Maule","Pesca",196920,2e+05,219214
"27","Hombre","Metropolitana","Pesca",879576,201500,536000
"28","Hombre","O'Higgins","Pesca",308100,190000,240000
"29","Hombre","Tarapacá","Pesca",328200,250000,3e+05
"30","Hombre","Valparaíso","Pesca",213230,2e+05,240000
"31","Hombre","Antofagasta","Explotación de Minas y Canteras",547000,614855,660000
"32","Hombre","Araucanía","Explotación de Minas y Canteras",547000,4e+05,4e+05
"33","Hombre","Arica y Parinacota","Explotación de Minas y Canteras",459480,480000,534546
"34","Hombre","Atacama","Explotación de Minas y Canteras",437600,5e+05,6e+05
"35","Hombre","Aysén","Explotación de Minas y Canteras",449634,475000,6e+05
"36","Hombre","Bíobío","Explotación de Minas y Canteras",307210,5e+05,504730
"37","Hombre","Coquimbo","Explotación de Minas y Canteras",437600,450000,5e+05
"38","Hombre","Los Lagos","Explotación de Minas y Canteras",306320,350000,265000
"39","Hombre","Los Ríos","Explotación de Minas y Canteras",348960,310000,4e+05
"40","Hombre","Magallanes","Explotación de Minas y Canteras",547000,650000,8e+05
"41","Hombre","Maule","Explotación de Minas y Canteras",437600,454000,465000
"42","Hombre","Metropolitana","Explotación de Minas y Canteras",492300,525000,7e+05
"43","Hombre","O'Higgins","Explotación de Minas y Canteras",525120,570000,550000
"44","Hombre","Tarapacá","Explotación de Minas y Canteras",547000,6e+05,570000
"45","Hombre","Valparaíso","Explotación de Minas y Canteras",437600,5e+05,536000
"46","Hombre","Antofagasta","Industrias Manufactureras",437600,445000,5e+05
"47","Hombre","Araucanía","Industrias Manufactureras",205400,210000,250000
"48","Hombre","Arica y Parinacota","Industrias Manufactureras",273500,247186,250500
"49","Hombre","Atacama","Industrias Manufactureras",375230,350000,410000
"50","Hombre","Aysén","Industrias Manufactureras",306320,280000,3e+05
"51","Hombre","Bíobío","Industrias Manufactureras",251620,258000,3e+05
"52","Hombre","Coquimbo","Industrias Manufactureras",299264,3e+05,340000
"53","Hombre","Los Lagos","Industrias Manufactureras",224270,240000,260000
"54","Hombre","Los Ríos","Industrias Manufactureras",240680,215000,250000
"55","Hombre","Magallanes","Industrias Manufactureras",383994,350000,380000
"56","Hombre","Maule","Industrias Manufactureras",218800,220000,253472
"57","Hombre","Metropolitana","Industrias Manufactureras",273500,3e+05,350000
