"","geography_level","geography_name","geography_id","year","branch","sex","weighted_mean_income","weighted_median_income","ci_weighted_mean_income","ci_weighted_median_income"
"1","pais","País","pais","2011","Agricultura, Ganadería, Caza y Silvicultura","Hombre",287229,199108,"[272738, 303547]","[199108, 199108]"
"2","pais","País","pais","2011","Agricultura, Ganadería, Caza y Silvicultura","Mujer",237156,196920,"[211148, 267825]","[196920, 196920]"
"3","pais","País","pais","2011","Pesca","Hombre",337324,218800,"[308592, 389587]","[205400, 249178]"
"4","pais","País","pais","2011","Pesca","Mujer",244973,196920,"[188471, 406369]","[164100, 210954]"
"5","pais","País","pais","2011","Explotación de Minas y Canteras","Hombre",680752,487703,"[627688, 795968]","[437600, 538788]"
"6","pais","País","pais","2011","Explotación de Minas y Canteras","Mujer",700716,437600,"[537137, 1069095]","[328200, 437600]"
"7","pais","País","pais","2011","Industrias Manufactureras","Hombre",426839,273500,"[396170, 457710]","[270098, 273500]"
"8","pais","País","pais","2011","Industrias Manufactureras","Mujer",344912,207860,"[314803, 402304]","[202412, 218800]"
"9","pais","País","pais","2011","Electricidad, Gas y Agua","Hombre",705608,328200,"[578253, 948750]","[284440, 382900]"
"10","pais","País","pais","2011","Electricidad, Gas y Agua","Mujer",475251,275004,"[360546, 628503]","[218800, 403577]"
"11","pais","País","pais","2011","Construcción","Hombre",404453,273500,"[379691, 422593]","[265446, 273500]"
"12","pais","País","pais","2011","Construcción","Mujer",590070,382900,"[518745, 703493]","[328200, 492300]"
"13","pais","País","pais","2011","Comercio","Hombre",447484,262560,"[418557, 474412]","[246480, 273500]"
"14","pais","País","pais","2011","Comercio","Mujer",284364,203484,"[269500, 301022]","[199915, 205400]"
"15","pais","País","pais","2011","Hoteles y Restaurantes","Hombre",385712,218800,"[323621, 458760]","[218800, 239219]"
"16","pais","País","pais","2011","Hoteles y Restaurantes","Mujer",275569,199108,"[252803, 313517]","[199108, 201587]"
"17","pais","País","pais","2011","Transporte, Almacenamiento y Comunicaciones","Hombre",468855,328200,"[437058, 529216]","[306320, 328200]"
"18","pais","País","pais","2011","Transporte, Almacenamiento y Comunicaciones","Mujer",497109,273500,"[427294, 578160]","[245876, 308100]"
"19","pais","País","pais","2011","Intermediación Financiera","Hombre",1011700,547000,"[799586, 1387463]","[496658, 765800]"
"20","pais","País","pais","2011","Intermediación Financiera","Mujer",629505,437600,"[547740, 756767]","[371084, 492300]"
"21","pais","País","pais","2011","Actividades Inmobiliarias, Empresariales y de Alquiler","Hombre",804847,382900,"[723952, 920344]","[328200, 437600]"
"22","pais","País","pais","2011","Actividades Inmobiliarias, Empresariales y de Alquiler","Mujer",637914,328200,"[576393, 741657]","[307166, 397547]"
"23","pais","País","pais","2011","Administración Pública y Defensa","Hombre",636790,437600,"[573456, 725287]","[382900, 452533]"
"24","pais","País","pais","2011","Administración Pública y Defensa","Mujer",468347,328200,"[424940, 516623]","[306320, 366763]"
"25","pais","País","pais","2011","Enseñanza","Hombre",591709,415720,"[533687, 693764]","[349716, 437600]"
"26","pais","País","pais","2011","Enseñanza","Mujer",423897,328200,"[404834, 447970]","[303448, 350080]"
"27","pais","País","pais","2011","Servicios Sociales y de Salud","Hombre",930550,421190,"[783665, 1142063]","[350080, 461825]"
"28","pais","País","pais","2011","Servicios Sociales y de Salud","Mujer",490167,295380,"[441925, 559302]","[273500, 328200]"
"29","pais","País","pais","2011","Otras Actividades de Servicios","Hombre",497148,306320,"[450183, 566025]","[273500, 328985]"
"30","pais","País","pais","2011","Otras Actividades de Servicios","Mujer",394765,246480,"[353605, 449898]","[218800, 308100]"
"31","pais","País","pais","2011","Servicio Doméstico","Hombre",302213,251620,"[268215, 355361]","[218800, 273500]"
"32","pais","País","pais","2011","Servicio Doméstico","Mujer",172420,164100,"[166151, 179657]","[158056, 168799]"
"33","pais","País","pais","2011","Organizaciones y Órganos Extraterritoriales","Hombre",1150061,248424,"[222548, 3784899]","[196920, 5135000]"
"34","pais","País","pais","2011","Organizaciones y Órganos Extraterritoriales","Mujer",314428,159292,"[155022, 533130]","[80534, 382900]"
