"","geography_level","geography_name","geography_id","year","sex","branch","weighted_mean_income","weighted_median_income","ci_weighted_mean_income","ci_weighted_median_income"
"1","provincia","Antofagasta","p21","2011","Hombre","Agricultura, Ganadería, Caza y Silvicultura",393993,315361,"[220188, 576031]","[217881, 683585]"
"2","provincia","Antofagasta","p21","2011","Hombre","Pesca",464586,410800,"[390331, 547499]","[308100, 513500]"
"3","provincia","Antofagasta","p21","2011","Hombre","Explotación de Minas y Canteras",810752,746957,"[677954, 966550]","[542689, 875200]"
"4","provincia","Antofagasta","p21","2011","Hombre","Industrias Manufactureras",635000,437600,"[562509, 731810]","[410800, 481958]"
"5","provincia","Antofagasta","p21","2011","Hombre","Electricidad, Gas y Agua",622795,472409,"[487501, 779985]","[382900, 820500]"
"6","provincia","Antofagasta","p21","2011","Hombre","Construcción",607762,437600,"[498076, 813516]","[380441, 616200]"
"7","provincia","Antofagasta","p21","2011","Hombre","Comercio",528867,410800,"[461669, 728263]","[328200, 488611]"
"8","provincia","Antofagasta","p21","2011","Hombre","Hoteles y Restaurantes",561242,307833,"[412173, 942377]","[262391, 437600]"
"9","provincia","Antofagasta","p21","2011","Hombre","Transporte, Almacenamiento y Comunicaciones",523988,415720,"[473257, 572765]","[382900, 437600]"
"10","provincia","Antofagasta","p21","2011","Hombre","Intermediación Financiera",705895,638977,"[533403, 904438]","[433260, 938039]"
"11","provincia","Antofagasta","p21","2011","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler",658244,437600,"[574806, 761696]","[382900, 492300]"
"12","provincia","Antofagasta","p21","2011","Hombre","Administración Pública y Defensa",529551,355533,"[359184, 1467284]","[267086, 806310]"
"13","provincia","Antofagasta","p21","2011","Hombre","Enseñanza",659609,567133,"[546093, 755178]","[437600, 656400]"
"14","provincia","Antofagasta","p21","2011","Hombre","Servicios Sociales y de Salud",772434,656400,"[626163, 921889]","[463582, 875200]"
"15","provincia","Antofagasta","p21","2011","Hombre","Otras Actividades de Servicios",373312,302309,"[311728, 451464]","[257249, 377703]"
"16","provincia","Antofagasta","p21","2011","Hombre","Servicio Doméstico",285689,289910,"[193128, 416687]","[186956, 289910]"
"17","provincia","Antofagasta","p21","2011","Hombre","No Bien Especificado",770635,395435,"[311888, 1354926]","[254006, 1872240]"
"18","provincia","Antofagasta","p21","2011","Mujer","Agricultura, Ganadería, Caza y Silvicultura",2057547,437600,"[322643, 9541864]","[218800, 11582634]"
"19","provincia","Antofagasta","p21","2011","Mujer","Pesca",240680,240680,"[240680, 240680]","[240680, 240680]"
"20","provincia","Antofagasta","p21","2011","Mujer","Explotación de Minas y Canteras",545334,437600,"[349478, 1040965]","[222776, 1285918]"
"21","provincia","Antofagasta","p21","2011","Mujer","Industrias Manufactureras",408693,334206,"[350618, 491628]","[275659, 410800]"
"22","provincia","Antofagasta","p21","2011","Mujer","Electricidad, Gas y Agua",970332,376822,"[390202, 1725713]","[333122, 2218726]"
"23","provincia","Antofagasta","p21","2011","Mujer","Construcción",486356,306320,"[338930, 650782]","[255980, 432162]"
"24","provincia","Antofagasta","p21","2011","Mujer","Comercio",355924,206031,"[277596, 483547]","[205400, 273500]"
"25","provincia","Antofagasta","p21","2011","Mujer","Hoteles y Restaurantes",346429,251620,"[267453, 417694]","[199108, 273500]"
"26","provincia","Antofagasta","p21","2011","Mujer","Transporte, Almacenamiento y Comunicaciones",512682,382900,"[408649, 667425]","[311494, 522211]"
"27","provincia","Antofagasta","p21","2011","Mujer","Intermediación Financiera",786884,624224,"[518498, 1074804]","[332623, 1183086]"
"28","provincia","Antofagasta","p21","2011","Mujer","Actividades Inmobiliarias, Empresariales y de Alquiler",455944,338676,"[382885, 554997]","[306320, 404502]"
"29","provincia","Antofagasta","p21","2011","Mujer","Administración Pública y Defensa",461469,357363,"[368858, 573456]","[273500, 454830]"
"30","provincia","Antofagasta","p21","2011","Mujer","Enseñanza",423399,328200,"[372595, 478052]","[273500, 382781]"
"31","provincia","Antofagasta","p21","2011","Mujer","Servicios Sociales y de Salud",407951,306320,"[344162, 496416]","[273500, 328200]"
"32","provincia","Antofagasta","p21","2011","Mujer","Otras Actividades de Servicios",396460,272740,"[295117, 568111]","[218800, 330104]"
"33","provincia","Antofagasta","p21","2011","Mujer","Servicio Doméstico",189565,184148,"[170593, 218331]","[160166, 201753]"
"34","provincia","Antofagasta","p21","2011","Mujer","Organizaciones y Órganos Extraterritoriales",328200,328200,"[328200, 328200]","[328200, 328200]"
"35","provincia","Antofagasta","p21","2011","Mujer","No Bien Especificado",340842,254038,"[199108, 547000]","[199108, 547000]"
"36","provincia","Arauco","p82","2011","Hombre","Agricultura, Ganadería, Caza y Silvicultura",209597,199108,"[186843, 240130]","[196920, 222994]"
"37","provincia","Arauco","p82","2011","Hombre","Pesca",213750,164320,"[149447, 284325]","[131280, 261182]"
"38","provincia","Arauco","p82","2011","Hombre","Explotación de Minas y Canteras",246588,218595,"[181742, 476228]","[153160, 218800]"
"39","provincia","Arauco","p82","2011","Hombre","Industrias Manufactureras",301060,255712,"[262836, 368921]","[218800, 305493]"
"40","provincia","Arauco","p82","2011","Hombre","Electricidad, Gas y Agua",175864,189033,"[122773, 224592]","[74392, 231302]"
"41","provincia","Arauco","p82","2011","Hombre","Construcción",242522,196920,"[215011, 276721]","[175981, 243725]"
"42","provincia","Arauco","p82","2011","Hombre","Comercio",248042,199108,"[205833, 324297]","[161517, 287560]"
"43","provincia","Arauco","p82","2011","Hombre","Hoteles y Restaurantes",301357,301357,"[218800, 431340]","[218800, 431340]"
"44","provincia","Arauco","p82","2011","Hombre","Transporte, Almacenamiento y Comunicaciones",324756,243315,"[257685, 409115]","[196920, 339711]"
"45","provincia","Arauco","p82","2011","Hombre","Intermediación Financiera",403676,403676,"[175040, 547000]","[175040, 547000]"
"46","provincia","Arauco","p82","2011","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler",542359,341875,"[331549, 807647]","[270891, 515822]"
"47","provincia","Arauco","p82","2011","Hombre","Administración Pública y Defensa",226588,186243,"[176450, 269509]","[159724, 218800]"
"48","provincia","Arauco","p82","2011","Hombre","Enseñanza",367822,441220,"[223031, 491766]","[155806, 519650]"
"49","provincia","Arauco","p82","2011","Hombre","Servicios Sociales y de Salud",395111,356616,"[304225, 521157]","[245398, 547000]"
"50","provincia","Arauco","p82","2011","Hombre","Otras Actividades de Servicios",209590,183911,"[155348, 293371]","[155348, 328200]"
"51","provincia","Arauco","p82","2011","Hombre","Servicio Doméstico",308100,308100,"[308100, 308100]","[308100, 308100]"
"52","provincia","Arauco","p82","2011","Mujer","Agricultura, Ganadería, Caza y Silvicultura",173695,158986,"[112093, 260147]","[102700, 299206]"
"53","provincia","Arauco","p82","2011","Mujer","Pesca",112949,112949,"[65640, 143780]","[65640, 143780]"
"54","provincia","Arauco","p82","2011","Mujer","Industrias Manufactureras",131095,132846,"[72753, 203658]","[61620, 196920]"
