"","geography_level","geography_name","geography_id","year","sex","branch","weighted_mean_income","weighted_median_income","ci_weighted_mean_income","ci_weighted_median_income"
"1","region","Antofagasta","2","2011","Hombre","Agricultura, Ganadería, Caza y Silvicultura",304660,278115,"[231659, 388268]","[204643, 347318]"
"2","region","Antofagasta","2","2011","Hombre","Pesca",453616,410800,"[402995, 509415]","[338887, 513500]"
"3","region","Antofagasta","2","2011","Hombre","Explotación de Minas y Canteras",764003,656400,"[696665, 837442]","[547000, 765800]"
"4","region","Antofagasta","2","2011","Hombre","Industrias Manufactureras",586624,437600,"[520984, 646730]","[388370, 437600]"
"5","region","Antofagasta","2","2011","Hombre","Electricidad, Gas y Agua",602070,439852,"[478021, 773163]","[354182, 767415]"
"6","region","Antofagasta","2","2011","Hombre","Construcción",600278,437600,"[504048, 793727]","[382900, 547000]"
"7","region","Antofagasta","2","2011","Hombre","Comercio",524184,410800,"[460083, 600497]","[328200, 437600]"
"8","region","Antofagasta","2","2011","Hombre","Hoteles y Restaurantes",527025,312120,"[396384, 845572]","[273500, 453264]"
"9","region","Antofagasta","2","2011","Hombre","Transporte, Almacenamiento y Comunicaciones",532934,415720,"[491710, 573222]","[387187, 437600]"
"10","region","Antofagasta","2","2011","Hombre","Intermediación Financiera",619508,492300,"[477148, 883513]","[437600, 875200]"
"11","region","Antofagasta","2","2011","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler",642612,437870,"[570006, 737073]","[382900, 492300]"
"12","region","Antofagasta","2","2011","Hombre","Administración Pública y Defensa",550082,328200,"[415231, 1232432]","[328200, 653218]"
"13","region","Antofagasta","2","2011","Hombre","Enseñanza",669487,590536,"[577099, 781207]","[547000, 656400]"
"14","region","Antofagasta","2","2011","Hombre","Servicios Sociales y de Salud",657984,514915,"[545093, 754770]","[400034, 656400]"
"15","region","Antofagasta","2","2011","Hombre","Otras Actividades de Servicios",379717,328200,"[321251, 445582]","[264850, 382900]"
"16","region","Antofagasta","2","2011","Hombre","Servicio Doméstico",299632,289910,"[223478, 408265]","[230647, 322923]"
"17","region","Antofagasta","2","2011","Hombre","No Bien Especificado",810954,412529,"[352182, 1322984]","[258601, 1435832]"
"18","region","Antofagasta","2","2011","Mujer","Agricultura, Ganadería, Caza y Silvicultura",1134506,252320,"[197400, 4740948]","[179790, 503342]"
"19","region","Antofagasta","2","2011","Mujer","Pesca",301347,241907,"[133218, 536239]","[64770, 314278]"
"20","region","Antofagasta","2","2011","Mujer","Explotación de Minas y Canteras",532205,437090,"[373613, 990816]","[306320, 701479]"
"21","region","Antofagasta","2","2011","Mujer","Industrias Manufactureras",488223,328200,"[374911, 595117]","[251286, 382363]"
"22","region","Antofagasta","2","2011","Mujer","Electricidad, Gas y Agua",798122,365134,"[348564, 1300608]","[311771, 875200]"
"23","region","Antofagasta","2","2011","Mujer","Construcción",504562,314599,"[373844, 712526]","[273500, 477257]"
"24","region","Antofagasta","2","2011","Mujer","Comercio",356288,218800,"[296491, 464329]","[205400, 270306]"
"25","region","Antofagasta","2","2011","Mujer","Hoteles y Restaurantes",351171,240680,"[283229, 462030]","[216903, 273500]"
"26","region","Antofagasta","2","2011","Mujer","Transporte, Almacenamiento y Comunicaciones",470228,350080,"[381484, 573697]","[306320, 390187]"
"27","region","Antofagasta","2","2011","Mujer","Intermediación Financiera",542938,413129,"[397246, 760924]","[328200, 547000]"
"28","region","Antofagasta","2","2011","Mujer","Actividades Inmobiliarias, Empresariales y de Alquiler",487551,331128,"[414167, 551136]","[306320, 409005]"
"29","region","Antofagasta","2","2011","Mujer","Administración Pública y Defensa",432735,334808,"[361704, 507221]","[273500, 437600]"
"30","region","Antofagasta","2","2011","Mujer","Enseñanza",426810,328200,"[386144, 479823]","[292517, 376385]"
"31","region","Antofagasta","2","2011","Mujer","Servicios Sociales y de Salud",426443,306320,"[381452, 490308]","[273500, 328200]"
"32","region","Antofagasta","2","2011","Mujer","Otras Actividades de Servicios",384134,273500,"[297191, 541098]","[223996, 328200]"
"33","region","Antofagasta","2","2011","Mujer","Servicio Doméstico",189790,175663,"[172400, 212489]","[164100, 198110]"
"34","region","Antofagasta","2","2011","Mujer","Organizaciones y Órganos Extraterritoriales",328200,328200,"[328200, 328200]","[328200, 328200]"
"35","region","Antofagasta","2","2011","Mujer","No Bien Especificado",340842,254038,"[199108, 547000]","[199108, 547000]"
"36","region","Araucanía","9","2011","Hombre","Agricultura, Ganadería, Caza y Silvicultura",215560,175040,"[189557, 250477]","[163421, 196920]"
"37","region","Araucanía","9","2011","Hombre","Pesca",262701,244782,"[217931, 299491]","[189502, 312884]"
"38","region","Araucanía","9","2011","Hombre","Explotación de Minas y Canteras",851401,547000,"[432574, 1319699]","[317260, 851272]"
"39","region","Araucanía","9","2011","Hombre","Industrias Manufactureras",301303,205562,"[271043, 346975]","[199108, 235483]"
"40","region","Araucanía","9","2011","Hombre","Electricidad, Gas y Agua",288112,283007,"[226756, 438062]","[164793, 351067]"
"41","region","Araucanía","9","2011","Hombre","Construcción",328543,208145,"[285590, 385385]","[202390, 218800]"
"42","region","Araucanía","9","2011","Hombre","Comercio",321102,199108,"[264610, 403010]","[191450, 219157]"
"43","region","Araucanía","9","2011","Hombre","Hoteles y Restaurantes",334052,198792,"[198027, 455202]","[193695, 218800]"
"44","region","Araucanía","9","2011","Hombre","Transporte, Almacenamiento y Comunicaciones",576731,328200,"[440339, 794550]","[218800, 545954]"
"45","region","Araucanía","9","2011","Hombre","Intermediación Financiera",734523,547000,"[383160, 1100221]","[328200, 1306854]"
"46","region","Araucanía","9","2011","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler",561040,252181,"[392348, 841497]","[201296, 686483]"
"47","region","Araucanía","9","2011","Hombre","Administración Pública y Defensa",526234,382900,"[431157, 645549]","[328200, 536607]"
"48","region","Araucanía","9","2011","Hombre","Enseñanza",562517,437600,"[456868, 800608]","[321269, 656400]"
"49","region","Araucanía","9","2011","Hombre","Servicios Sociales y de Salud",523720,328200,"[383446, 848916]","[219990, 443396]"
"50","region","Araucanía","9","2011","Hombre","Otras Actividades de Servicios",333426,215508,"[253457, 447650]","[196920, 323003]"
"51","region","Araucanía","9","2011","Hombre","Servicio Doméstico",194312,166410,"[156312, 242571]","[123240, 205400]"
"52","region","Araucanía","9","2011","Hombre","Organizaciones y Órganos Extraterritoriales",525120,525120,"[525120, 525120]","[525120, 525120]"
"53","region","Araucanía","9","2011","Hombre","No Bien Especificado",765800,765800,"[765800, 765800]","[765800, 765800]"
"54","region","Araucanía","9","2011","Mujer","Agricultura, Ganadería, Caza y Silvicultura",171776,158493,"[134206, 221873]","[107999, 164100]"
"55","region","Araucanía","9","2011","Mujer","Pesca",203158,206430,"[112311, 319097]","[120379, 333996]"
"56","region","Araucanía","9","2011","Mujer","Industrias Manufactureras",289185,203367,"[202349, 438381]","[91916, 285505]"
"57","region","Araucanía","9","2011","Mujer","Electricidad, Gas y Agua",279212,234245,"[120050, 547000]","[87520, 547000]"
"58","region","Araucanía","9","2011","Mujer","Construcción",449321,484534,"[264607, 601902]","[197140, 711100]"
"59","region","Araucanía","9","2011","Mujer","Comercio",296290,196920,"[242879, 353257]","[194465, 203698]"
"60","region","Araucanía","9","2011","Mujer","Hoteles y Restaurantes",223294,196920,"[183750, 289389]","[164100, 207222]"
"61","region","Araucanía","9","2011","Mujer","Transporte, Almacenamiento y Comunicaciones",1512799,1503230,"[550680, 2027011]","[205987, 2054000]"
"62","region","Araucanía","9","2011","Mujer","Intermediación Financiera",503393,385894,"[346247, 734096]","[205428, 656400]"
"63","region","Araucanía","9","2011","Mujer","Actividades Inmobiliarias, Empresariales y de Alquiler",828347,944191,"[436672, 1184018]","[140745, 1422200]"
"64","region","Araucanía","9","2011","Mujer","Administración Pública y Defensa",377297,252540,"[289704, 523580]","[196920, 328200]"
"65","region","Araucanía","9","2011","Mujer","Enseñanza",360781,316149,"[330070, 393052]","[219446, 397533]"
"66","region","Araucanía","9","2011","Mujer","Servicios Sociales y de Salud",350859,273500,"[298478, 417881]","[218800, 319743]"
"67","region","Araucanía","9","2011","Mujer","Otras Actividades de Servicios",274314,200147,"[223679, 335521]","[185976, 313870]"
"68","region","Araucanía","9","2011","Mujer","Servicio Doméstico",116816,98460,"[103152, 132906]","[82112, 131280]"
"69","region","Araucanía","9","2011","Mujer","Organizaciones y Órganos Extraterritoriales",80956,80956,"[80956, 80956]","[80956, 80956]"
"70","region","Arica y Parinacota","15","2011","Hombre","Agricultura, Ganadería, Caza y Silvicultura",330323,199108,"[241728, 521765]","[185980, 298947]"
"71","region","Arica y Parinacota","15","2011","Hombre","Pesca",439686,328627,"[346858, 536387]","[239078, 435405]"
"72","region","Arica y Parinacota","15","2011","Hombre","Explotación de Minas y Canteras",655548,492300,"[524254, 861222]","[437600, 547000]"
"73","region","Arica y Parinacota","15","2011","Hombre","Industrias Manufactureras",423228,305928,"[347207, 509160]","[240680, 364630]"
"74","region","Arica y Parinacota","15","2011","Hombre","Electricidad, Gas y Agua",520335,338775,"[338041, 738846]","[271542, 894345]"
"75","region","Arica y Parinacota","15","2011","Hombre","Construcción",350336,222957,"[286612, 426668]","[218800, 273500]"
"76","region","Arica y Parinacota","15","2011","Hombre","Comercio",365707,240082,"[323518, 409910]","[218800, 306320]"
"77","region","Arica y Parinacota","15","2011","Hombre","Hoteles y Restaurantes",279349,201925,"[204718, 402059]","[178445, 242441]"
"78","region","Arica y Parinacota","15","2011","Hombre","Transporte, Almacenamiento y Comunicaciones",500432,373143,"[431124, 608239]","[328200, 410800]"
"79","region","Arica y Parinacota","15","2011","Hombre","Intermediación Financiera",318266,219035,"[220326, 493229]","[218800, 393121]"
"80","region","Arica y Parinacota","15","2011","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler",799862,407243,"[570095, 1132060]","[288119, 592991]"
"81","region","Arica y Parinacota","15","2011","Hombre","Administración Pública y Defensa",593809,522689,"[510155, 704555]","[407735, 609262]"
"82","region","Arica y Parinacota","15","2011","Hombre","Enseñanza",595617,525120,"[509597, 685283]","[415031, 547000]"
"83","region","Arica y Parinacota","15","2011","Hombre","Servicios Sociales y de Salud",524764,328711,"[341613, 752179]","[273500, 684993]"
"84","region","Arica y Parinacota","15","2011","Hombre","Otras Actividades de Servicios",315529,218800,"[244935, 414626]","[199108, 369720]"
"85","region","Arica y Parinacota","15","2011","Hombre","Servicio Doméstico",220933,208516,"[192872, 264775]","[184860, 277911]"
"86","region","Arica y Parinacota","15","2011","Hombre","No Bien Especificado",266608,201759,"[135508, 395963]","[103625, 437600]"
"87","region","Arica y Parinacota","15","2011","Mujer","Agricultura, Ganadería, Caza y Silvicultura",248410,218800,"[207163, 300315]","[164100, 255333]"
"88","region","Arica y Parinacota","15","2011","Mujer","Pesca",189583,196920,"[150497, 221532]","[159065, 218800]"
"89","region","Arica y Parinacota","15","2011","Mujer","Explotación de Minas y Canteras",316573,305382,"[263999, 407875]","[249243, 328200]"
"90","region","Arica y Parinacota","15","2011","Mujer","Industrias Manufactureras",280868,218800,"[224447, 347870]","[164320, 333776]"
"91","region","Arica y Parinacota","15","2011","Mujer","Electricidad, Gas y Agua",322766,328200,"[222352, 421350]","[218800, 492300]"
"92","region","Arica y Parinacota","15","2011","Mujer","Construcción",421468,226093,"[253041, 583799]","[199108, 616200]"
"93","region","Arica y Parinacota","15","2011","Mujer","Comercio",281447,218800,"[250750, 340779]","[202390, 257263]"
"94","region","Arica y Parinacota","15","2011","Mujer","Hoteles y Restaurantes",255517,196920,"[204178, 335921]","[189373, 205010]"
"95","region","Arica y Parinacota","15","2011","Mujer","Transporte, Almacenamiento y Comunicaciones",449161,261030,"[308982, 750890]","[197959, 395596]"
"96","region","Arica y Parinacota","15","2011","Mujer","Intermediación Financiera",331777,245056,"[266012, 423314]","[213330, 382900]"
"97","region","Arica y Parinacota","15","2011","Mujer","Actividades Inmobiliarias, Empresariales y de Alquiler",357387,204578,"[272426, 476979]","[199108, 273500]"
"98","region","Arica y Parinacota","15","2011","Mujer","Administración Pública y Defensa",460319,391391,"[393155, 541696]","[382900, 547000]"
"99","region","Arica y Parinacota","15","2011","Mujer","Enseñanza",382327,328200,"[347472, 418258]","[269476, 382900]"
