"","branch","sex","2011","2013","2015"
"1","Agricultura, Ganadería, Caza y Silvicultura","Hombre",287229,256305,306382
"2","Agricultura, Ganadería, Caza y Silvicultura","Mujer",237156,214692,245821
"3","Pesca","Hombre",337324,307756,365831
"4","Pesca","Mujer",244973,227169,317419
"5","Explotación de Minas y Canteras","Hombre",680752,747991,867677
"6","Explotación de Minas y Canteras","Mujer",700716,715933,827701
"7","Industrias Manufactureras","Hombre",426839,409143,446265
"8","Industrias Manufactureras","Mujer",344912,259539,321986
"9","Electricidad, Gas y Agua","Hombre",705608,530011,724471
"10","Electricidad, Gas y Agua","Mujer",475251,394486,492510
"11","Construcción","Hombre",404453,403960,445995
"12","Construcción","Mujer",590070,426063,488586
"13","Comercio","Hombre",447484,372904,419483
"14","Comercio","Mujer",284364,239907,276416
"15","Hoteles y Restaurantes","Hombre",385712,347290,376585
"16","Hoteles y Restaurantes","Mujer",275569,247907,265031
"17","Transporte, Almacenamiento y Comunicaciones","Hombre",468855,440086,485481
"18","Transporte, Almacenamiento y Comunicaciones","Mujer",497109,407662,441410
"19","Intermediación Financiera","Hombre",1011700,1093191,1052666
"20","Intermediación Financiera","Mujer",629505,716817,708634
"21","Actividades Inmobiliarias, Empresariales y de Alquiler","Hombre",804847,905363,874628
"22","Actividades Inmobiliarias, Empresariales y de Alquiler","Mujer",637914,517773,573830
"23","Administración Pública y Defensa","Hombre",636790,638794,739000
"24","Administración Pública y Defensa","Mujer",468347,570380,607462
"25","Enseñanza","Hombre",591709,601692,690956
"26","Enseñanza","Mujer",423897,441738,474052
"27","Servicios Sociales y de Salud","Hombre",930550,784051,966097
"28","Servicios Sociales y de Salud","Mujer",490167,496735,544442
"29","Otras Actividades de Servicios","Hombre",497148,401678,431817
"30","Otras Actividades de Servicios","Mujer",394765,313959,327142
"31","Servicio Doméstico","Hombre",302213,242430,273212
"32","Servicio Doméstico","Mujer",172420,175644,208968
"33","Organizaciones y Órganos Extraterritoriales","Hombre",1150061,388206,2622812
"34","Organizaciones y Órganos Extraterritoriales","Mujer",314428,575812,1068580
"35","No Bien Especificado","Hombre",455564,526881,584802
"36","No Bien Especificado","Mujer",302682,392693,335560
