"","comuna","sex","branch","2011","2013","2015"
"1","Algarrobo","Hombre","Agricultura, Ganadería, Caza y Silvicultura",191450,236471,240000
"2","Algarrobo","Hombre","Electricidad, Gas y Agua",142220,380000,NA
"3","Algarrobo","Hombre","Construcción",473582,262207,275000
"4","Algarrobo","Hombre","Comercio",472420,446962,275000
"5","Algarrobo","Hombre","Hoteles y Restaurantes",393840,276261,400000
"6","Algarrobo","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler",226811,893419,1200000
"7","Algarrobo","Hombre","Administración Pública y Defensa",207860,350000,400000
"8","Algarrobo","Hombre","Enseñanza",328200,366861,1400000
"9","Algarrobo","Hombre","Servicios Sociales y de Salud",415720,162000,NA
"10","Algarrobo","Hombre","Otras Actividades de Servicios",295004,400000,255000
"11","Algarrobo","Hombre","Servicio Doméstico",213330,255809,280000
"12","Algarrobo","Mujer","Agricultura, Ganadería, Caza y Silvicultura",142220,NA,175000
"13","Algarrobo","Mujer","Industrias Manufactureras",941940,180000,230000
"14","Algarrobo","Mujer","Comercio",410800,238299,237500
"15","Algarrobo","Mujer","Hoteles y Restaurantes",410800,254027,180000
"16","Algarrobo","Mujer","Actividades Inmobiliarias, Empresariales y de Alquiler",180510,NA,750000
"17","Algarrobo","Mujer","Administración Pública y Defensa",328200,310000,NA
"18","Algarrobo","Mujer","Otras Actividades de Servicios",237623,NA,300000
"19","Algarrobo","Mujer","Servicio Doméstico",87142,263478,125000
"20","Alhué","Hombre","Agricultura, Ganadería, Caza y Silvicultura",240680,237857,253846
"21","Alhué","Hombre","Explotación de Minas y Canteras",382900,500000,500000
"22","Alhué","Hombre","Construcción",279414,250000,272500
"23","Alhué","Hombre","Comercio",152392,550000,240000
"24","Alhué","Hombre","Transporte, Almacenamiento y Comunicaciones",356755,188000,425000
"25","Alhué","Hombre","Otras Actividades de Servicios",246480,300000,NA
"26","Alhué","Mujer","Agricultura, Ganadería, Caza y Silvicultura",196920,300000,210000
"27","Alhué","Mujer","Explotación de Minas y Canteras",295380,160000,307500
"28","Alhué","Mujer","Comercio",320640,193571,260000
"29","Alhué","Mujer","Hoteles y Restaurantes",218800,30000,250000
"30","Alhué","Mujer","Administración Pública y Defensa",196920,200000,NA
"31","Alhué","Mujer","Enseñanza",169138,487429,334532
"32","Alhué","Mujer","Servicios Sociales y de Salud",207860,250000,240000
"33","Alhué","Mujer","Otras Actividades de Servicios",227395,290000,NA
"34","Alhué","Mujer","Servicio Doméstico",106521,140000,50000
"35","Alto Bíobío","Hombre","Agricultura, Ganadería, Caza y Silvicultura",199108,155570,50000
"36","Alto Bíobío","Hombre","Explotación de Minas y Canteras",240680,NA,450000
"37","Alto Bíobío","Hombre","Industrias Manufactureras",218800,200949,185000
"38","Alto Bíobío","Hombre","Electricidad, Gas y Agua",220441,500000,300000
"39","Alto Bíobío","Hombre","Construcción",205400,249088,279000
"40","Alto Bíobío","Hombre","Hoteles y Restaurantes",4261160,NA,3000000
"41","Alto Bíobío","Hombre","Transporte, Almacenamiento y Comunicaciones",547000,500000,NA
"42","Alto Bíobío","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler",975650,400404,200000
"43","Alto Bíobío","Hombre","Administración Pública y Defensa",262560,210000,285000
"44","Alto Bíobío","Hombre","Enseñanza",252988,NA,250000
"45","Alto Bíobío","Hombre","Servicios Sociales y de Salud",497770,537778,NA
"46","Alto Bíobío","Hombre","Otras Actividades de Servicios",199655,208898,300000
"47","Alto Bíobío","Hombre","Servicio Doméstico",246480,NA,NA
"48","Alto Bíobío","Mujer","Agricultura, Ganadería, Caza y Silvicultura",199655,210000,250000
"49","Alto Bíobío","Mujer","Construcción",191450,198000,NA
"50","Alto Bíobío","Mujer","Comercio",153160,255000,250000
"51","Alto Bíobío","Mujer","Hoteles y Restaurantes",123201,160000,180000
"52","Alto Bíobío","Mujer","Transporte, Almacenamiento y Comunicaciones",222902,NA,NA
"53","Alto Bíobío","Mujer","Administración Pública y Defensa",306320,270370,245500
"54","Alto Bíobío","Mujer","Enseñanza",160873,146835,250000
"55","Alto Bíobío","Mujer","Servicios Sociales y de Salud",252714,422000,NA
"56","Alto Bíobío","Mujer","Otras Actividades de Servicios",437600,287000,NA
"57","Alto Bíobío","Mujer","Servicio Doméstico",153160,110000,NA
"58","Alto del Carmen","Hombre","Agricultura, Ganadería, Caza y Silvicultura",207860,210000,350000
"59","Alto del Carmen","Hombre","Explotación de Minas y Canteras",405638,240000,600000
"60","Alto del Carmen","Hombre","Electricidad, Gas y Agua",136878,NA,NA
"61","Alto del Carmen","Hombre","Construcción",377996,210000,300000
"62","Alto del Carmen","Hombre","Comercio",269566,NA,200000
"63","Alto del Carmen","Hombre","Transporte, Almacenamiento y Comunicaciones",324610,255000,300000
"64","Alto del Carmen","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler",492300,NA,NA
"65","Alto del Carmen","Hombre","Administración Pública y Defensa",629050,290000,NA
"66","Alto del Carmen","Hombre","Enseñanza",230117,500000,NA
"67","Alto del Carmen","Hombre","Servicios Sociales y de Salud",600181,NA,350000
"68","Alto del Carmen","Hombre","Otras Actividades de Servicios",109400,NA,NA
"69","Alto del Carmen","Mujer","Agricultura, Ganadería, Caza y Silvicultura",196920,232000,220000
"70","Alto del Carmen","Mujer","Industrias Manufactureras",328200,100000,NA
"71","Alto del Carmen","Mujer","Comercio",308100,200000,30000
"72","Alto del Carmen","Mujer","Hoteles y Restaurantes",196920,NA,NA
"73","Alto del Carmen","Mujer","Actividades Inmobiliarias, Empresariales y de Alquiler",131280,NA,NA
"74","Alto del Carmen","Mujer","Administración Pública y Defensa",218800,NA,NA
"75","Alto del Carmen","Mujer","Enseñanza",240680,210000,225000
"76","Alto del Carmen","Mujer","Servicios Sociales y de Salud",382900,300000,NA
"77","Alto del Carmen","Mujer","Otras Actividades de Servicios",328200,NA,NA
"78","Alto del Carmen","Mujer","Servicio Doméstico",213330,NA,NA
"79","Alto Hospicio","Hombre","Agricultura, Ganadería, Caza y Silvicultura",427752,146739,394667
"80","Alto Hospicio","Hombre","Pesca",350843,300000,321951
"81","Alto Hospicio","Hombre","Explotación de Minas y Canteras",458485,586304,547654
"82","Alto Hospicio","Hombre","Industrias Manufactureras",369720,350000,500000
"83","Alto Hospicio","Hombre","Electricidad, Gas y Agua",230856,380851,500000
"84","Alto Hospicio","Hombre","Construcción",306320,350000,400000
"85","Alto Hospicio","Hombre","Comercio",305510,300000,300000
"86","Alto Hospicio","Hombre","Hoteles y Restaurantes",315273,263654,270109
"87","Alto Hospicio","Hombre","Transporte, Almacenamiento y Comunicaciones",380057,400000,350000
"88","Alto Hospicio","Hombre","Intermediación Financiera",288660,331499,947253
"89","Alto Hospicio","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler",248534,319000,400000
"90","Alto Hospicio","Hombre","Administración Pública y Defensa",399807,476351,580000
"91","Alto Hospicio","Hombre","Enseñanza",550531,608025,426667
"92","Alto Hospicio","Hombre","Servicios Sociales y de Salud",328200,460921,262857
"93","Alto Hospicio","Hombre","Otras Actividades de Servicios",232381,340625,366239
"94","Alto Hospicio","Hombre","Servicio Doméstico",319972,195600,284485
"95","Alto Hospicio","Mujer","Agricultura, Ganadería, Caza y Silvicultura",460167,122826,NA
"96","Alto Hospicio","Mujer","Pesca",216980,NA,NA
"97","Alto Hospicio","Mujer","Explotación de Minas y Canteras",217516,393939,470370
"98","Alto Hospicio","Mujer","Industrias Manufactureras",199483,206739,245495
"99","Alto Hospicio","Mujer","Electricidad, Gas y Agua",218800,530000,NA
"100","Alto Hospicio","Mujer","Construcción",295870,263229,314500
"101","Alto Hospicio","Mujer","Comercio",218800,220000,240000
"102","Alto Hospicio","Mujer","Hoteles y Restaurantes",196920,210000,250000
"103","Alto Hospicio","Mujer","Transporte, Almacenamiento y Comunicaciones",246559,250000,350000
"104","Alto Hospicio","Mujer","Intermediación Financiera",745554,378496,427000
"105","Alto Hospicio","Mujer","Actividades Inmobiliarias, Empresariales y de Alquiler",218800,300025,300000
"106","Alto Hospicio","Mujer","Administración Pública y Defensa",248318,322500,342456
"107","Alto Hospicio","Mujer","Enseñanza",218800,256480,300000
"108","Alto Hospicio","Mujer","Servicios Sociales y de Salud",412571,500000,367179
"109","Alto Hospicio","Mujer","Otras Actividades de Servicios",194115,200968,211082
"110","Alto Hospicio","Mujer","Servicio Doméstico",191772,173415,193038
"111","Alto Hospicio","Mujer","Organizaciones y Órganos Extraterritoriales",112682,NA,NA
"112","Ancud","Hombre","Agricultura, Ganadería, Caza y Silvicultura",205400,120000,189259
"113","Ancud","Hombre","Pesca",205400,190000,200000
"114","Ancud","Hombre","Industrias Manufactureras",238394,235136,240176
"115","Ancud","Hombre","Electricidad, Gas y Agua",382900,NA,NA
"116","Ancud","Hombre","Construcción",199108,256383,257500
"117","Ancud","Hombre","Comercio",228751,254171,245000
"118","Ancud","Hombre","Hoteles y Restaurantes",212521,139701,112941
"119","Ancud","Hombre","Transporte, Almacenamiento y Comunicaciones",447283,250761,280000
"120","Ancud","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler",158934,231386,399241
"121","Ancud","Hombre","Administración Pública y Defensa",545750,774305,467879
"122","Ancud","Hombre","Enseñanza",220446,396891,596163
"123","Ancud","Hombre","Servicios Sociales y de Salud",246584,516224,450000
"124","Ancud","Hombre","Otras Actividades de Servicios",202316,184427,293476
"125","Ancud","Hombre","Servicio Doméstico",123240,184075,195806
"126","Ancud","Mujer","Agricultura, Ganadería, Caza y Silvicultura",102700,49500,119828
