"","branch","sex","2011","2013","2015"
"1","Agricultura, Ganadería, Caza y Silvicultura","Hombre",199108,210000,241000
"2","Agricultura, Ganadería, Caza y Silvicultura","Mujer",196920,205000,240000
"3","Pesca","Hombre",218800,210000,280000
"4","Pesca","Mujer",196920,209933,260000
"5","Explotación de Minas y Canteras","Hombre",487703,550000,600000
"6","Explotación de Minas y Canteras","Mujer",437600,407840,500000
"7","Industrias Manufactureras","Hombre",273500,300000,320000
"8","Industrias Manufactureras","Mujer",207860,210000,250000
"9","Electricidad, Gas y Agua","Hombre",328200,350000,420626
"10","Electricidad, Gas y Agua","Mujer",275004,216905,300000
"11","Construcción","Hombre",273500,300000,320000
"12","Construcción","Mujer",382900,300000,350000
"13","Comercio","Hombre",262560,250000,300000
"14","Comercio","Mujer",203484,200000,240000
"15","Hoteles y Restaurantes","Hombre",218800,256595,300000
"16","Hoteles y Restaurantes","Mujer",199108,210000,241000
"17","Transporte, Almacenamiento y Comunicaciones","Hombre",328200,300000,360000
"18","Transporte, Almacenamiento y Comunicaciones","Mujer",273500,300000,300000
"19","Intermediación Financiera","Hombre",547000,800000,650000
"20","Intermediación Financiera","Mujer",437600,500000,500000
"21","Actividades Inmobiliarias, Empresariales y de Alquiler","Hombre",382900,500000,500000
"22","Actividades Inmobiliarias, Empresariales y de Alquiler","Mujer",328200,300000,380000
"23","Administración Pública y Defensa","Hombre",437600,450000,550000
"24","Administración Pública y Defensa","Mujer",328200,430000,471509
"25","Enseñanza","Hombre",415720,450000,500000
"26","Enseñanza","Mujer",328200,341077,380000
"27","Servicios Sociales y de Salud","Hombre",421190,450000,500000
"28","Servicios Sociales y de Salud","Mujer",295380,331290,380000
"29","Otras Actividades de Servicios","Hombre",306320,250000,300000
"30","Otras Actividades de Servicios","Mujer",246480,235405,250000
"31","Servicio Doméstico","Hombre",251620,230000,250000
"32","Servicio Doméstico","Mujer",164100,180000,200000
"33","Organizaciones y Órganos Extraterritoriales","Hombre",248424,392714,1964400
"34","Organizaciones y Órganos Extraterritoriales","Mujer",159292,199796,1409137
"35","No Bien Especificado","Hombre",271825,350000,309903
"36","No Bien Especificado","Mujer",214364,265424,292145
