"","provincia","sex","branch","2011","2013","2015"
"1","Antofagasta","Hombre","Agricultura, Ganadería, Caza y Silvicultura",315361,225813,300000
"2","Antofagasta","Hombre","Pesca",410800,300000,242976
"3","Antofagasta","Hombre","Explotación de Minas y Canteras",746957,700000,800000
"4","Antofagasta","Hombre","Industrias Manufactureras",437600,400000,500000
"5","Antofagasta","Hombre","Electricidad, Gas y Agua",472409,697750,839500
"6","Antofagasta","Hombre","Construcción",437600,400000,484396
"7","Antofagasta","Hombre","Comercio",410800,358493,400000
"8","Antofagasta","Hombre","Hoteles y Restaurantes",307833,280000,400000
"9","Antofagasta","Hombre","Transporte, Almacenamiento y Comunicaciones",415720,400000,500000
"10","Antofagasta","Hombre","Intermediación Financiera",638977,584807,497458
"11","Antofagasta","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler",437600,613792,500000
"12","Antofagasta","Hombre","Administración Pública y Defensa",355533,550000,543919
"13","Antofagasta","Hombre","Enseñanza",567133,600000,400000
"14","Antofagasta","Hombre","Servicios Sociales y de Salud",656400,800000,500000
"15","Antofagasta","Hombre","Otras Actividades de Servicios",302309,250000,374062
"16","Antofagasta","Hombre","Servicio Doméstico",289910,319474,463174
"17","Antofagasta","Hombre","No Bien Especificado",395435,700000,670588
"18","Antofagasta","Mujer","Agricultura, Ganadería, Caza y Silvicultura",437600,210000,200000
"19","Antofagasta","Mujer","Pesca",240680,84000,208333
"20","Antofagasta","Mujer","Explotación de Minas y Canteras",437600,629157,555400
"21","Antofagasta","Mujer","Industrias Manufactureras",334206,233072,352563
"22","Antofagasta","Mujer","Electricidad, Gas y Agua",376822,570000,317969
"23","Antofagasta","Mujer","Construcción",306320,400000,466667
"24","Antofagasta","Mujer","Comercio",206031,231311,300000
"25","Antofagasta","Mujer","Hoteles y Restaurantes",251620,260000,250000
"26","Antofagasta","Mujer","Transporte, Almacenamiento y Comunicaciones",382900,250000,414423
"27","Antofagasta","Mujer","Intermediación Financiera",624224,570283,600000
"28","Antofagasta","Mujer","Actividades Inmobiliarias, Empresariales y de Alquiler",338676,300000,350000
"29","Antofagasta","Mujer","Administración Pública y Defensa",357363,550000,500000
"30","Antofagasta","Mujer","Enseñanza",328200,361970,400000
"31","Antofagasta","Mujer","Servicios Sociales y de Salud",306320,375323,427303
"32","Antofagasta","Mujer","Otras Actividades de Servicios",272740,208333,255428
"33","Antofagasta","Mujer","Servicio Doméstico",184148,193408,218885
"34","Antofagasta","Mujer","Organizaciones y Órganos Extraterritoriales",328200,NA,NA
"35","Antofagasta","Mujer","No Bien Especificado",254038,312000,200000
"36","Arauco","Hombre","Agricultura, Ganadería, Caza y Silvicultura",199108,210000,260000
"37","Arauco","Hombre","Pesca",164320,147692,200000
"38","Arauco","Hombre","Explotación de Minas y Canteras",218595,392958,403529
"39","Arauco","Hombre","Industrias Manufactureras",255712,272689,300000
"40","Arauco","Hombre","Electricidad, Gas y Agua",189033,170000,405187
"41","Arauco","Hombre","Construcción",196920,210000,241000
"42","Arauco","Hombre","Comercio",199108,250000,240000
"43","Arauco","Hombre","Hoteles y Restaurantes",301357,202105,235227
"44","Arauco","Hombre","Transporte, Almacenamiento y Comunicaciones",243315,300000,300000
"45","Arauco","Hombre","Intermediación Financiera",403676,1400000,440200
"46","Arauco","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler",341875,497297,270000
"47","Arauco","Hombre","Administración Pública y Defensa",186243,365200,250000
"48","Arauco","Hombre","Enseñanza",441220,308163,598018
"49","Arauco","Hombre","Servicios Sociales y de Salud",356616,350000,401500
"50","Arauco","Hombre","Otras Actividades de Servicios",183911,218629,245986
"51","Arauco","Hombre","Servicio Doméstico",308100,138119,120000
"52","Arauco","Mujer","Agricultura, Ganadería, Caza y Silvicultura",158986,170031,180000
"53","Arauco","Mujer","Pesca",112949,41181,112432
"54","Arauco","Mujer","Industrias Manufactureras",132846,156880,115472
"55","Arauco","Mujer","Comercio",156012,170000,180000
"56","Arauco","Mujer","Hoteles y Restaurantes",193637,179610,200000
"57","Arauco","Mujer","Transporte, Almacenamiento y Comunicaciones",54700,243796,259483
"58","Arauco","Mujer","Intermediación Financiera",765800,700000,364706
"59","Arauco","Mujer","Actividades Inmobiliarias, Empresariales y de Alquiler",183972,179667,197379
"60","Arauco","Mujer","Administración Pública y Defensa",160303,183355,204365
"61","Arauco","Mujer","Enseñanza",196920,305367,299573
"62","Arauco","Mujer","Servicios Sociales y de Salud",306320,267674,348000
"63","Arauco","Mujer","Otras Actividades de Servicios",153160,181484,190000
"64","Arauco","Mujer","Servicio Doméstico",87520,90000,131250
"65","Arauco","Mujer","Organizaciones y Órganos Extraterritoriales",161912,210000,NA
"66","Arica","Hombre","Agricultura, Ganadería, Caza y Silvicultura",199108,210000,249682
"67","Arica","Hombre","Pesca",328627,300000,418405
"68","Arica","Hombre","Explotación de Minas y Canteras",492300,486000,600000
"69","Arica","Hombre","Industrias Manufactureras",302840,210000,284444
"70","Arica","Hombre","Electricidad, Gas y Agua",338775,402800,372727
"71","Arica","Hombre","Construcción",227590,250000,300000
"72","Arica","Hombre","Comercio",235054,210000,250000
"73","Arica","Hombre","Hoteles y Restaurantes",201925,210000,256509
"74","Arica","Hombre","Transporte, Almacenamiento y Comunicaciones",373143,300000,300000
"75","Arica","Hombre","Intermediación Financiera",219035,350000,260000
"76","Arica","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler",407243,348800,497609
"77","Arica","Hombre","Administración Pública y Defensa",522689,554722,550000
"78","Arica","Hombre","Enseñanza",530917,380000,605114
"79","Arica","Hombre","Servicios Sociales y de Salud",332290,350000,730683
"80","Arica","Hombre","Otras Actividades de Servicios",218800,238460,156667
"81","Arica","Hombre","Servicio Doméstico",208516,187027,200000
"82","Arica","Hombre","No Bien Especificado",201759,348485,300000
"83","Arica","Mujer","Agricultura, Ganadería, Caza y Silvicultura",218800,200000,209456
"84","Arica","Mujer","Pesca",196920,327500,NA
"85","Arica","Mujer","Explotación de Minas y Canteras",305382,350000,350000
"86","Arica","Mujer","Industrias Manufactureras",218800,150000,250000
"87","Arica","Mujer","Electricidad, Gas y Agua",328200,800000,NA
"88","Arica","Mujer","Construcción",259278,210588,340306
"89","Arica","Mujer","Comercio",218800,153148,200000
"90","Arica","Mujer","Hoteles y Restaurantes",196920,189528,189679
"91","Arica","Mujer","Transporte, Almacenamiento y Comunicaciones",261030,210000,220000
"92","Arica","Mujer","Intermediación Financiera",245056,298551,910106
"93","Arica","Mujer","Actividades Inmobiliarias, Empresariales y de Alquiler",204578,250000,300000
"94","Arica","Mujer","Administración Pública y Defensa",393350,400002,580000
"95","Arica","Mujer","Enseñanza",328200,300000,320000
"96","Arica","Mujer","Servicios Sociales y de Salud",328200,300000,485228
"97","Arica","Mujer","Otras Actividades de Servicios",205400,152222,204194
"98","Arica","Mujer","Servicio Doméstico",135656,120000,156867
"99","Arica","Mujer","No Bien Especificado",268527,293929,NA
