"","region","sex","branch","2011","2013","2015"
"1","Antofagasta","Hombre","Agricultura, Ganadería, Caza y Silvicultura",278115,299030,300000
"2","Antofagasta","Hombre","Pesca",410800,286364,226250
"3","Antofagasta","Hombre","Explotación de Minas y Canteras",656400,700000,715667
"4","Antofagasta","Hombre","Industrias Manufactureras",437600,448725,500000
"5","Antofagasta","Hombre","Electricidad, Gas y Agua",439852,600000,651538
"6","Antofagasta","Hombre","Construcción",437600,400000,450000
"7","Antofagasta","Hombre","Comercio",410800,280000,381188
"8","Antofagasta","Hombre","Hoteles y Restaurantes",312120,281113,400000
"9","Antofagasta","Hombre","Transporte, Almacenamiento y Comunicaciones",415720,400000,500000
"10","Antofagasta","Hombre","Intermediación Financiera",492300,536038,615152
"11","Antofagasta","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler",437870,600000,500000
"12","Antofagasta","Hombre","Administración Pública y Defensa",328200,550000,550000
"13","Antofagasta","Hombre","Enseñanza",590536,655462,521397
"14","Antofagasta","Hombre","Servicios Sociales y de Salud",514915,676471,445333
"15","Antofagasta","Hombre","Otras Actividades de Servicios",328200,248760,369355
"16","Antofagasta","Hombre","Servicio Doméstico",289910,325615,332400
"17","Antofagasta","Hombre","No Bien Especificado",412529,700000,470127
"18","Antofagasta","Mujer","Agricultura, Ganadería, Caza y Silvicultura",252320,176667,272297
"19","Antofagasta","Mujer","Pesca",241907,100000,202222
"20","Antofagasta","Mujer","Explotación de Minas y Canteras",437090,496842,500000
"21","Antofagasta","Mujer","Industrias Manufactureras",328200,216096,300000
"22","Antofagasta","Mujer","Electricidad, Gas y Agua",365134,473571,348828
"23","Antofagasta","Mujer","Construcción",314599,391582,580087
"24","Antofagasta","Mujer","Comercio",218800,228987,269830
"25","Antofagasta","Mujer","Hoteles y Restaurantes",240680,260000,260000
"26","Antofagasta","Mujer","Transporte, Almacenamiento y Comunicaciones",350080,250000,357500
"27","Antofagasta","Mujer","Intermediación Financiera",413129,560377,600000
"28","Antofagasta","Mujer","Actividades Inmobiliarias, Empresariales y de Alquiler",331128,286667,350000
"29","Antofagasta","Mujer","Administración Pública y Defensa",334808,500000,460524
"30","Antofagasta","Mujer","Enseñanza",328200,396230,400000
"31","Antofagasta","Mujer","Servicios Sociales y de Salud",306320,399626,400000
"32","Antofagasta","Mujer","Otras Actividades de Servicios",273500,250000,300000
"33","Antofagasta","Mujer","Servicio Doméstico",175663,202029,200000
"34","Antofagasta","Mujer","Organizaciones y Órganos Extraterritoriales",328200,NA,NA
"35","Antofagasta","Mujer","No Bien Especificado",254038,263385,200000
"36","Araucanía","Hombre","Agricultura, Ganadería, Caza y Silvicultura",175040,190000,200000
"37","Araucanía","Hombre","Pesca",244782,211408,240000
"38","Araucanía","Hombre","Explotación de Minas y Canteras",547000,450000,317526
"39","Araucanía","Hombre","Industrias Manufactureras",205562,210000,250000
"40","Araucanía","Hombre","Electricidad, Gas y Agua",283007,349187,250000
"41","Araucanía","Hombre","Construcción",208145,230000,280000
"42","Araucanía","Hombre","Comercio",199108,210000,250000
"43","Araucanía","Hombre","Hoteles y Restaurantes",198792,224188,240113
"44","Araucanía","Hombre","Transporte, Almacenamiento y Comunicaciones",328200,250000,295907
