"","geography_level","geography_name","geography_id","year","sexo","oficio","mean_income","median_income","ci_mean_income","ci_median_income"
"1","comuna","Alhué","2","1990","Hombre","Empleados de Oficina",49387,45904,"[33484, 65937]","[39864, 74896]"
"2","comuna","Alhué","2","1990","Hombre","Miembros del Poder Ejecutivo y Cuerpos Legislativos",78520,78520,"[76104, 80936]","[76104, 80936]"
"3","comuna","Alhué","2","1990","Hombre","Profesionales, Científicos e Intelectuales",87709,78520,"[61890, 120045]","[42240, 144960]"
"4","comuna","Alhué","2","1990","Hombre","Técnicos y Profesionales de Nivel Medio",63170,63170,"[29700, 96640]","[29700, 96640]"
"5","comuna","Alhué","2","1990","Hombre","Trabajadores Agropecuarios y Pesqueros",40214,36240,"[36625, 43912]","[33824, 36240]"
"6","comuna","Alhué","2","1990","Hombre","Trabajadores de Artes Mecánicas y Otros",47354,37920,"[36583, 58414]","[34972, 48130]"
"7","comuna","Alhué","2","1990","Hombre","Trabajadores de Servicios y Vendedores",44316,32616,"[31169, 63842]","[26935, 61125]"
"8","comuna","Andacollo","7","1990","Hombre","Empleados de Oficina",34056,34056,"[694, 31307]","[694, 31307]"
"9","comuna","Andacollo","7","1990","Hombre","Profesionales, Científicos e Intelectuales",82753,79200,"[66816, 102486]","[55440, 114277]"
"10","comuna","Andacollo","7","1990","Hombre","Técnicos y Profesionales de Nivel Medio",33884,33884,"[31408, 36361]","[31408, 36361]"
"11","comuna","Andacollo","7","1990","Hombre","Trabajadores Agropecuarios y Pesqueros",52378,51944,"[44128, 61687]","[36568, 59400]"
"12","comuna","Andacollo","7","1990","Hombre","Trabajadores de Artes Mecánicas y Otros",51791,49500,"[32790, 71443]","[31166, 72722]"
"13","comuna","Andacollo","7","1990","Hombre","Trabajadores de Servicios y Vendedores",30200,30200,"[28992, 31408]","[28992, 31408]"
"14","comuna","Angol","8","1990","Hombre","Empleados de Oficina",41418,28475,"[24851, 69641]","[24160, 84560]"
"15","comuna","Angol","8","1990","Hombre","Fuerzas Armadas",152546,132880,"[99168, 219788]","[91122, 181200]"
"16","comuna","Angol","8","1990","Hombre","Miembros del Poder Ejecutivo y Cuerpos Legislativos",297000,297000,"[6050, 273022]","[6050, 273022]"
"17","comuna","Angol","8","1990","Hombre","Operadores y Montadores de Instalaciones y Máquinas",72480,72480,"[60400, 84560]","[60400, 84560]"
"18","comuna","Angol","8","1990","Hombre","Profesionales, Científicos e Intelectuales",163701,127520,"[71564, 262680]","[44504, 181200]"
"19","comuna","Angol","8","1990","Hombre","Técnicos y Profesionales de Nivel Medio",139449,39600,"[59580, 243922]","[33824, 199320]"
"20","comuna","Angol","8","1990","Hombre","Trabajadores Agropecuarios y Pesqueros",33385,31408,"[29420, 37286]","[30200, 42280]"
"21","comuna","Angol","8","1990","Hombre","Trabajadores de Artes Mecánicas y Otros",50621,45904,"[40397, 62812]","[42349, 60400]"
"22","comuna","Angol","8","1990","Hombre","Trabajadores de Servicios y Vendedores",35032,35032,"[21744, 48320]","[21744, 48320]"
"23","comuna","Antofagasta","9","1990","Hombre","Empleados de Oficina",51764,43488,"[43467, 60118]","[36240, 54360]"
"24","comuna","Antofagasta","9","1990","Hombre","Fuerzas Armadas",224976,144960,"[179012, 293959]","[108720, 195696]"
"25","comuna","Antofagasta","9","1990","Hombre","Miembros del Poder Ejecutivo y Cuerpos Legislativos",301288,198000,"[174896, 422776]","[144960, 495000]"
"26","comuna","Antofagasta","9","1990","Hombre","Operadores y Montadores de Instalaciones y Máquinas",97018,76104,"[67076, 124177]","[54360, 93771]"
"27","comuna","Antofagasta","9","1990","Hombre","Profesionales, Científicos e Intelectuales",139301,84560,"[114000, 165132]","[63269, 107512]"
"28","comuna","Antofagasta","9","1990","Hombre","Técnicos y Profesionales de Nivel Medio",125954,51930,"[87106, 160563]","[41576, 67946]"
"29","comuna","Antofagasta","9","1990","Hombre","Trabajadores Agropecuarios y Pesqueros",88179,79200,"[69332, 107439]","[59400, 96640]"
"30","comuna","Antofagasta","9","1990","Hombre","Trabajadores de Artes Mecánicas y Otros",58581,48320,"[53101, 65091]","[45766, 54360]"
"31","comuna","Antofagasta","9","1990","Hombre","Trabajadores de Servicios y Vendedores",81247,61608,"[67968, 93549]","[48320, 72480]"
"32","comuna","Arica","12","1990","Hombre","Empleados de Oficina",68382,45300,"[49045, 90616]","[37448, 52346]"
"33","comuna","Arica","12","1990","Hombre","Fuerzas Armadas",109029,84560,"[88085, 127431]","[74076, 120800]"
"34","comuna","Arica","12","1990","Hombre","Miembros del Poder Ejecutivo y Cuerpos Legislativos",427349,362400,"[234753, 652999]","[156436, 725404]"
"35","comuna","Arica","12","1990","Hombre","Operadores y Montadores de Instalaciones y Máquinas",99124,96640,"[84891, 114534]","[84560, 118794]"
"36","comuna","Arica","12","1990","Hombre","Profesionales, Científicos e Intelectuales",112231,72480,"[79703, 155213]","[60400, 99000]"
"37","comuna","Arica","12","1990","Hombre","Técnicos y Profesionales de Nivel Medio",74162,56108,"[59024, 88606]","[36082, 66949]"
"38","comuna","Arica","12","1990","Hombre","Trabajadores Agropecuarios y Pesqueros",47983,39600,"[42903, 52429]","[36240, 49500]"
"39","comuna","Arica","12","1990","Hombre","Trabajadores de Artes Mecánicas y Otros",59994,48320,"[53524, 67635]","[42280, 54360]"
"40","comuna","Arica","12","1990","Hombre","Trabajadores de Servicios y Vendedores",86533,59400,"[71067, 102280]","[59400, 60400]"
"41","comuna","Aysén","13","1990","Hombre","Empleados de Oficina",68187,62816,"[54021, 89732]","[41978, 76104]"
"42","comuna","Aysén","13","1990","Hombre","Fuerzas Armadas",163770,72480,"[77131, 290999]","[65232, 241600]"
"43","comuna","Aysén","13","1990","Hombre","Miembros del Poder Ejecutivo y Cuerpos Legislativos",225878,207720,"[158682, 316800]","[131672, 356400]"
"44","comuna","Aysén","13","1990","Hombre","Operadores y Montadores de Instalaciones y Máquinas",163080,163080,"[144960, 181200]","[144960, 181200]"
"45","comuna","Aysén","13","1990","Hombre","Profesionales, Científicos e Intelectuales",140834,99000,"[111398, 180628]","[79954, 116406]"
"46","comuna","Aysén","13","1990","Hombre","Técnicos y Profesionales de Nivel Medio",137371,99000,"[91668, 193654]","[59400, 159900]"
"47","comuna","Aysén","13","1990","Hombre","Trabajadores Agropecuarios y Pesqueros",50141,36240,"[41244, 61000]","[31408, 50332]"
"48","comuna","Aysén","13","1990","Hombre","Trabajadores de Artes Mecánicas y Otros",60903,57984,"[52900, 68777]","[46917, 62816]"
"49","comuna","Aysén","13","1990","Hombre","Trabajadores de Servicios y Vendedores",67422,57984,"[56210, 79919]","[51480, 64024]"
"50","comuna","Aysén","13","1990","Hombre","Trabajadores No Calificados",33824,33824,"[689, 31094]","[689, 31094]"
"51","comuna","Buin","14","1990","Hombre","Empleados de Oficina",47035,41918,"[35083, 73268]","[31982, 48320]"
"52","comuna","Buin","14","1990","Hombre","Fuerzas Armadas",396680,308905,"[112574, 797064]","[44696, 1208000]"
"53","comuna","Buin","14","1990","Hombre","Operadores y Montadores de Instalaciones y Máquinas",60400,60400,"[1231, 55524]","[1231, 55524]"
"54","comuna","Buin","14","1990","Hombre","Profesionales, Científicos e Intelectuales",93064,75500,"[73234, 114989]","[57637, 84560]"
"55","comuna","Buin","14","1990","Hombre","Técnicos y Profesionales de Nivel Medio",288265,138600,"[105345, 489501]","[79200, 185996]"
"56","comuna","Buin","14","1990","Hombre","Trabajadores Agropecuarios y Pesqueros",38813,36240,"[34871, 44487]","[33824, 36240]"
"57","comuna","Buin","14","1990","Hombre","Trabajadores de Artes Mecánicas y Otros",62974,54360,"[52705, 78226]","[45149, 60400]"
"58","comuna","Buin","14","1990","Hombre","Trabajadores de Servicios y Vendedores",65117,48320,"[48402, 88522]","[42280, 57531]"
"59","comuna","Bulnes","15","1990","Hombre","Empleados de Oficina",24160,24160,"[493, 22210]","[493, 22210]"
"60","comuna","Bulnes","15","1990","Hombre","Fuerzas Armadas",72480,72480,"[1477, 66629]","[1477, 66629]"
"61","comuna","Bulnes","15","1990","Hombre","Profesionales, Científicos e Intelectuales",103047,33676,"[40780, 203867]","[18414, 49030]"
"62","comuna","Bulnes","15","1990","Hombre","Técnicos y Profesionales de Nivel Medio",60148,67443,"[36660, 79636]","[19800, 99000]"
"63","comuna","Bulnes","15","1990","Hombre","Trabajadores Agropecuarios y Pesqueros",30998,30200,"[25995, 35218]","[27724, 34428]"
"64","comuna","Bulnes","15","1990","Hombre","Trabajadores de Artes Mecánicas y Otros",27301,31408,"[18845, 32501]","[9664, 33824]"
"65","comuna","Bulnes","15","1990","Hombre","Trabajadores de Servicios y Vendedores",41072,33824,"[31408, 57410]","[31408, 65232]"
