"","geography_level","geography_name","geography_id","year","sexo","oficio","mean_income","median_income","ci_mean_income","ci_median_income"
"1","pais","País","pais","1990","Hombre","Empleados de Oficina",54045,36240,"[49581, 59040]","[36240, 36932]"
"2","pais","País","pais","1990","Hombre","Fuerzas Armadas",164866,99000,"[154845, 172775]","[96640, 108720]"
"3","pais","País","pais","1990","Hombre","Miembros del Poder Ejecutivo y Cuerpos Legislativos",554517,396000,"[496588, 620727]","[362400, 422800]"
"4","pais","País","pais","1990","Hombre","Operadores y Montadores de Instalaciones y Máquinas",90285,84560,"[85140, 96693]","[78520, 84560]"
"5","pais","País","pais","1990","Hombre","Profesionales, Científicos e Intelectuales",128300,65232,"[120001, 135831]","[60400, 67648]"
"6","pais","País","pais","1990","Hombre","Técnicos y Profesionales de Nivel Medio",111240,59400,"[103317, 120332]","[59400, 59400]"
"7","pais","País","pais","1990","Hombre","Trabajadores Agropecuarios y Pesqueros",42851,35640,"[41813, 43815]","[34482, 36240]"
"8","pais","País","pais","1990","Hombre","Trabajadores de Artes Mecánicas y Otros",61220,48320,"[59384, 63598]","[47900, 48320]"
"9","pais","País","pais","1990","Hombre","Trabajadores de Servicios y Vendedores",71364,48320,"[67079, 75018]","[48320, 50162]"
"10","pais","País","pais","1990","Hombre","Trabajadores No Calificados",64442,48184,"[50541, 80732]","[36240, 70354]"
"11","pais","País","pais","1990","Mujer","Empleados de Oficina",32377,24160,"[30670, 34155]","[24160, 25414]"
"12","pais","País","pais","1990","Mujer","Fuerzas Armadas",78546,60400,"[75940, 81253]","[60400, 60400]"
"13","pais","País","pais","1990","Mujer","Miembros del Poder Ejecutivo y Cuerpos Legislativos",364163,217440,"[255332, 520512]","[151965, 259400]"
"14","pais","País","pais","1990","Mujer","Operadores y Montadores de Instalaciones y Máquinas",77379,60400,"[38587, 115844]","[26576, 72480]"
"15","pais","País","pais","1990","Mujer","Profesionales, Científicos e Intelectuales",73962,48320,"[69978, 77932]","[48320, 50736]"
"16","pais","País","pais","1990","Mujer","Técnicos y Profesionales de Nivel Medio",70572,39600,"[65873, 74368]","[39600, 42280]"
"17","pais","País","pais","1990","Mujer","Trabajadores Agropecuarios y Pesqueros",41004,32616,"[37643, 44223]","[31408, 33824]"
"18","pais","País","pais","1990","Mujer","Trabajadores de Artes Mecánicas y Otros",40990,31408,"[36214, 46598]","[31408, 33824]"
"19","pais","País","pais","1990","Mujer","Trabajadores de Servicios y Vendedores",47823,36240,"[42888, 53955]","[36240, 41096]"
"20","pais","País","pais","1990","Mujer","Trabajadores No Calificados",61535,42280,"[34220, 95950]","[30804, 69300]"
"21","pais","País","pais","1992","Hombre","Empleados de Oficina",120320,85840,"[115654, 125630]","[85840, 96570]"
"22","pais","País","pais","1992","Hombre","Fuerzas Armadas",147487,118030,"[136423, 162362]","[112665, 128760]"
"23","pais","País","pais","1992","Hombre","Miembros del Poder Ejecutivo y Cuerpos Legislativos",534293,271115,"[492342, 586164]","[235420, 293550]"
"24","pais","País","pais","1992","Hombre","Operadores y Montadores de Instalaciones y Máquinas",106909,75110,"[103314, 110723]","[75110, 78280]"
"25","pais","País","pais","1992","Hombre","Profesionales, Científicos e Intelectuales",374306,214600,"[351352, 399192]","[214600, 232626]"
"26","pais","País","pais","1992","Hombre","Técnicos y Profesionales de Nivel Medio",204445,139490,"[190633, 221844]","[128760, 150857]"
"27","pais","País","pais","1992","Hombre","Trabajadores Agropecuarios y Pesqueros",97917,58710,"[92341, 102725]","[58710, 58710]"
"28","pais","País","pais","1992","Hombre","Trabajadores de Artes Mecánicas y Otros",98969,75110,"[96814, 101865]","[75110, 75110]"
"29","pais","País","pais","1992","Hombre","Trabajadores de Servicios y Vendedores",110635,70452,"[104471, 115198]","[68834, 75110]"
"30","pais","País","pais","1992","Hombre","Trabajadores No Calificados",56643,45066,"[55702, 57489]","[42920, 46139]"
"31","pais","País","pais","1992","Mujer","Empleados de Oficina",85233,69745,"[82959, 87769]","[64380, 70331]"
"32","pais","País","pais","1992","Mujer","Fuerzas Armadas",96928,81548,"[71891, 137344]","[71891, 137344]"
"33","pais","País","pais","1992","Mujer","Miembros del Poder Ejecutivo y Cuerpos Legislativos",308386,156560,"[275678, 341230]","[136990, 156560]"
"34","pais","País","pais","1992","Mujer","Operadores y Montadores de Instalaciones y Máquinas",94410,58862,"[74860, 114803]","[48285, 64380]"
"35","pais","País","pais","1992","Mujer","Profesionales, Científicos e Intelectuales",159844,103008,"[149934, 169266]","[97850, 107300]"
"36","pais","País","pais","1992","Mujer","Técnicos y Profesionales de Nivel Medio",120347,85840,"[111237, 129418]","[78813, 85840]"
"37","pais","País","pais","1992","Mujer","Trabajadores Agropecuarios y Pesqueros",77377,48285,"[63128, 96214]","[43124, 51504]"
"38","pais","País","pais","1992","Mujer","Trabajadores de Artes Mecánicas y Otros",65282,48285,"[59772, 72360]","[42920, 48925]"
